display_id,safe_id,user_id,device_model,manufacturer,design_capacity,n_samples,first_ts,last_ts,observation_days,median_sample_gap_min,fcc_first,fcc_last,fcc_peak,soh_design_pct,soh_peak_pct,capacity_fade_pct,cycle_count_last,cycles_in_window,cycles_per_month,cycles_per_year,fade_pct_per_100_cycles,ac_event_ratio,ac_time_ratio,battery_time_ratio,mean_pct_remaining,median_pct_remaining,time_ratio_below_20pct,time_ratio_full_on_ac,hours_at_full_charge_last,hours_high_temp_last,total_charged_capacity_last,total_awake_hrs_last,frac_awake_high_temp,n_discharge_sessions,mean_dod_pct,median_dod_pct,mean_session_minutes,median_drain_pct_per_hr,sleep_events,sleep_total_hours,fade_pct_per_year,persona,persona_label
user_f9331e47,IMIHO-PF2SCRY9_imiho,IMIHO-PF2SCRY9_imiho,ThinkPad T14 Gen 1,LGC,50500.0,12743,2023-02-13T09:15:58,2024-10-09T15:46:21,604.27,30.0,51480.0,51480.0,51480.0,101.94,100.0,0.0,272.0,159.0,8.01,96.11,,0.7932,0.8381,0.1619,94.08,99.0,0.002,0.7729,8575.0,0.0,6060.0,19881.0,0.0,441,24.76,21.0,257.9,14.54,32,165.07,,2,mixed use · high cycling
user_7ec11193,PF3MC0GA_TP-Telemetry,PF3MC0GA_TP-Telemetry,ThinkPad X1 Carbon Gen 10,SMP,57050.0,669,2024-07-26T12:28:36,2024-12-13T19:05:55,140.28,30.0,58960.0,58960.0,58960.0,103.35,100.0,0.0,4.0,1.0,0.22,2.6,,0.9716,0.9713,0.0287,83.72,79.0,0.0,0.2575,429.0,0.0,289.0,10132.0,0.0,4,8.0,9.0,485.8,1.67,122,192.07,,3,desk-bound (mostly AC) · low cycling
user_c409957b,LAPTOP-STAV4QJC_PQM,LAPTOP-STAV4QJC_PQM,ThinkPad X1 Yoga Gen 8,Sunwoda,57000.0,4877,2023-03-05T21:06:10,2023-12-28T08:46:33,297.49,30.0,57570.0,57570.0,57570.0,101.0,100.0,0.0,145.0,120.0,12.28,147.33,,0.6225,0.4808,0.5192,86.27,95.0,0.0078,0.335,6309.0,0.0,7761.0,9736.0,0.0,383,21.04,16.0,405.6,10.92,1275,665.74,,1,mobile (heavy battery use) · high cycling
user_12fdf7f5,CSILVA30-674ERX_csilva30,CSILVA30-674ERX_csilva30,ThinkPad T14s 2-in-1 Gen 2,Sunwoda,58000.0,413,2026-04-22T13:22:00,2026-05-26T16:27:53,34.13,30.0,58030.0,58010.0,58030.0,100.02,99.97,0.03,4.0,2.0,1.78,21.4,,0.8039,0.8493,0.1507,96.83,98.0,0.0,0.8365,817.0,0.0,240.0,1862.0,0.0,14,10.71,6.0,811.5,6.38,564,168.51,,0,mixed use · low cycling
user_0ce5442c,DONGQZ-PF66VXBZ_dongqz,DONGQZ-PF66VXBZ_dongqz,ThinkPad X1 Carbon Gen 14,SMP,58000.0,528,2026-04-01T16:15:07,2026-05-04T14:07:56,32.91,30.0,58030.0,57970.0,58030.0,99.95,99.9,0.1,7.0,6.0,5.55,66.59,2.068,0.7822,0.8017,0.1983,94.49,99.0,0.0051,0.7423,761.0,0.0,452.0,1535.0,0.0,23,17.35,14.0,299.4,11.48,409,193.27,,0,mixed use · low cycling
user_a1f62ae3,DESKTOP-CDUSM1A_T14s,DESKTOP-CDUSM1A_T14s,ThinkPad T14s Gen 6,Sunwoda2023,58000.0,511,2024-08-26T07:48:54,2024-10-11T10:08:34,46.1,13.28,58410.0,58330.0,58410.0,100.57,99.86,0.14,16.0,7.0,4.62,55.46,1.957,0.4971,0.4175,0.5825,87.89,96.0,0.0,0.3402,0.0,0.0,0.0,0.0,,21,20.81,19.0,1647.9,1.77,1157,670.28,1.111,1,mobile (heavy battery use) · high cycling
user_b9fd8d46,AMIGDOL-F67CCZ1_amigdol,AMIGDOL-F67CCZ1_amigdol,ThinkPad T14 Gen 7,ATL,60000.0,291,2026-05-04T15:20:47,2026-06-01T09:56:49,27.78,30.0,60120.0,60010.0,60120.0,100.02,99.82,0.18,12.0,9.0,9.86,118.35,2.033,0.3333,0.2838,0.7162,74.15,76.0,0.0,0.1635,178.0,0.0,656.0,1815.0,0.0,20,37.55,38.0,1458.2,2.52,143,218.01,,1,mobile (heavy battery use) · high cycling
user_7e125e0c,RANDERSON4-Q4VG_randerson4,RANDERSON4-Q4VG_randerson4,ThinkPad T16 Gen 4,Celxpert,86000.0,4738,2025-05-13T14:46:19,2026-05-26T14:53:34,378.01,30.0,85990.0,85780.0,85990.0,99.74,99.76,0.24,14.0,13.0,1.05,12.56,1.879,0.9274,0.9614,0.0386,91.07,92.0,0.0,0.3657,3896.0,0.0,1223.0,9707.0,0.0,16,13.62,4.5,992.9,6.53,82,191.5,0.241,3,desk-bound (mostly AC) · low cycling
user_fbfa0d58,JEREMY_jeremyca,JEREMY_jeremyca,ThinkPad P16s Gen 5,COSMX,90000.0,1470,2026-01-22T11:14:26,2026-05-12T10:14:51,109.96,30.0,90010.0,89760.0,90010.0,99.73,99.72,0.28,17.0,17.0,4.71,56.47,1.736,0.7667,0.7282,0.2718,93.08,98.0,0.0059,0.6821,1943.0,0.0,1527.0,3250.0,0.0,55,24.27,18.0,710.9,6.53,175,131.82,1.128,0,mixed use · low cycling
user_c70ce5c2,MPCD-TNA_HWPA,MPCD-TNA_HWPA,ThinkPad T14s Gen 6,Sunwoda2023,58000.0,1190,2025-01-23T15:14:26,2025-06-25T07:14:53,152.67,30.0,58030.0,57810.0,58030.0,99.67,99.62,0.38,21.0,20.0,3.99,47.85,1.995,0.6126,0.5598,0.4402,76.25,79.0,0.0334,0.2218,0.0,0.0,0.0,0.0,,62,23.52,19.0,1485.4,5.2,10,689.44,0.992,1,mobile (heavy battery use) · high cycling
user_5bdc1482,ANIETO1-F5GNTSH_anieto1,ANIETO1-F5GNTSH_anieto1,ThinkPad T14 Gen 6,Celxpert,57000.0,1033,2025-05-06T14:13:15,2026-03-17T07:57:38,314.74,30.0,57000.0,56750.0,57000.0,99.56,99.56,0.44,17.0,17.0,1.64,19.73,2.741,0.6931,0.6572,0.3428,91.34,99.0,0.0,0.5483,2183.0,0.0,976.0,4696.0,0.0,59,22.66,17.0,414.4,8.08,6,4195.07,0.522,0,mixed use · low cycling
user_cdd66a67,SSUGIMOTO2-PSSK_ssugimoto2,SSUGIMOTO2-PSSK_ssugimoto2,ThinkPad P1 Gen 8,Sunwoda,90000.0,2703,2025-09-04T09:58:55,2026-05-15T10:01:16,253.0,30.0,90010.0,90750.0,93150.0,100.83,97.42,2.58,23.0,21.0,2.53,30.32,18.403,0.8494,0.8754,0.1246,95.05,99.0,0.0028,0.805,4308.0,1.0,2143.0,6563.0,0.0002,67,17.63,13.0,302.8,13.69,17,86.94,5.957,0,mixed use · low cycling
user_dbff3fbc,DESKTOP-0R32PSA_ah,DESKTOP-0R32PSA_ah,ThinkPad T14s Gen 6,Sunwoda2023,58000.0,6204,2024-07-17T17:12:32,2025-02-27T18:46:30,225.07,30.0,57420.0,54870.0,57420.0,94.6,95.56,4.44,22.0,16.0,2.16,25.97,27.756,0.8835,0.9147,0.0853,98.22,100.0,0.0007,0.863,0.0,0.0,0.0,0.0,,138,7.7,6.0,104.6,6.73,331,191.06,7.504,0,mixed use · low cycling
user_1694e77c,JKLEISSLER-DNZK_jkleissler,JKLEISSLER-DNZK_jkleissler,ThinkPad X1 Carbon Gen 13,BYD,57030.0,699,2025-01-24T10:08:32,2025-03-14T10:00:37,48.99,30.0,57040.0,56160.0,59480.0,98.47,94.42,5.58,23.0,22.0,13.67,164.01,93.028,0.6581,0.5702,0.4298,85.55,98.0,0.0231,0.4675,511.0,0.0,1274.0,2335.0,0.0,43,34.77,24.0,593.8,12.26,135,166.39,,1,mobile (heavy battery use) · high cycling
user_b658fcf7,JUAN_jnunez5,JUAN_jnunez5,ThinkPad T14s 2-in-1 Gen 1,SMP,58020.0,1225,2025-05-13T12:46:49,2026-01-05T10:19:23,236.9,30.0,58030.0,53730.0,59090.0,92.61,90.93,9.07,41.0,40.0,5.14,61.67,32.396,0.5159,0.3983,0.6017,72.79,89.0,0.0689,0.2534,1007.0,0.0,2376.0,6223.0,0.0,78,40.6,35.0,2546.3,1.91,828,671.88,19.734,1,mobile (heavy battery use) · high cycling
user_a7f2cf3b,RPHILLIPS1-MR01_rphillips1,RPHILLIPS1-MR01_rphillips1,ThinkPad P16 Gen 3,SMP,99900.0,7861,2025-10-13T15:25:48,2026-05-25T15:47:51,224.02,30.0,99890.0,90420.0,99890.0,90.51,90.52,9.48,40.0,37.0,5.03,60.33,25.623,0.9298,0.9253,0.0747,96.0,99.0,0.0055,0.8934,4891.0,4.0,3742.0,5975.0,0.0007,72,29.43,23.0,187.0,16.66,88,190.11,15.598,2,mixed use · high cycling
user_911260b9,TSCOTT2-F4RVJLS_tscott2,TSCOTT2-F4RVJLS_tscott2,ThinkPad T14s Gen 5,SMP,58020.0,3643,2024-04-17T09:59:07,2025-06-02T22:10:34,411.51,30.0,58030.0,48910.0,58030.0,84.3,84.28,15.72,95.0,93.0,6.88,82.55,16.899,0.6138,0.4676,0.5324,85.28,95.0,0.0127,0.3483,3357.0,0.0,5042.0,10169.0,0.0,237,31.72,28.0,1008.6,3.43,11,562.94,14.057,1,mobile (heavy battery use) · high cycling
user_11d0f648,ANUPT14S_avachali,ANUPT14S_avachali,ThinkPad X13 2-in-1 Gen 5,BYD,54700.0,7586,2024-03-13T10:00:21,2025-11-11T11:35:33,608.07,30.0,54740.0,44780.0,54970.0,81.86,81.46,18.54,94.0,94.0,4.71,56.46,31.961,0.7864,0.7273,0.2727,92.38,97.0,0.0054,0.6577,7859.0,0.0,4918.0,15930.0,0.0,289,20.29,12.0,740.1,5.67,210,200.91,20.958,0,mixed use · low cycling
user_d6db2459,CQUEEN-PW06FV2M_cqueen,CQUEEN-PW06FV2M_cqueen,ThinkPad P1 Gen 5,SMP,90090.0,16556,2023-10-23T08:37:45,2026-05-13T14:02:10,933.23,30.0,92670.0,74190.0,93510.0,82.35,79.34,20.66,316.0,315.0,10.27,123.29,7.379,0.8036,0.7912,0.2088,89.11,99.0,0.015,0.6922,6907.0,0.0,25025.0,21826.0,0.0,623,39.58,35.0,498.8,18.97,268,267.41,8.497,2,mixed use · high cycling
user_547c80a2,JBARRETT-4SA7XV_jbarrett,JBARRETT-4SA7XV_jbarrett,ThinkPad X13 Gen 5,BYD,54700.0,7853,2024-04-03T12:03:15,2025-09-03T14:55:38,518.12,30.0,54740.0,34850.0,54740.0,63.71,63.66,36.34,135.0,133.0,7.81,93.76,27.527,0.831,0.8212,0.1788,92.42,100.0,0.0103,0.7568,10687.0,0.0,5512.0,13980.0,0.0,284,34.86,32.5,292.7,19.55,284,191.2,25.939,2,mixed use · high cycling
