,count,mean,median,std,min,max
observation_days,20.0,279.86249999999995,230.985,239.64732009822927,27.78,933.23
n_samples,20.0,4139.65,2086.5,4518.619645713897,291.0,16556.0
soh_design_pct,20.0,94.73949999999999,99.7,9.852059082135812,63.71,103.35
soh_peak_pct,20.0,93.78999999999999,99.59,9.725651919699672,63.66,100.0
capacity_fade_pct,20.0,6.209999999999999,0.41000000000000003,9.72565191969967,0.0,36.34
cycle_count_last,20.0,65.9,22.5,89.03393794089509,4.0,316.0
cycles_per_year,20.0,67.1405,58.4,45.1447002747248,2.6,164.01
fade_pct_per_year,13.0,9.402923076923077,7.504,8.948085414038195,0.241,25.939
fade_pct_per_100_cycles,16.0,18.461312500000002,12.139,23.332004948050077,1.736,93.028
ac_time_ratio,20.0,0.7020150000000001,0.7597,0.20902934640354864,0.2838,0.9713
mean_pct_remaining,20.0,88.7985,91.205,7.4153022971349385,72.79,98.22
time_ratio_below_20pct,20.0,0.009929999999999998,0.00525,0.01639971437491969,0.0,0.0689
time_ratio_full_on_ac,20.0,0.5501550000000001,0.603,0.2453809787056167,0.1635,0.8934
n_discharge_sessions,20.0,146.45,64.5,173.13380131532588,4.0,623.0
mean_dod_pct,20.0,24.0435,23.09,10.133615385906142,7.7,40.6
median_drain_pct_per_hr,20.0,8.7245,6.630000000000001,5.716516674928609,1.67,19.55
hours_high_temp_last,20.0,0.25,0.0,0.910465468000326,0.0,4.0
frac_awake_high_temp,17.0,5.294117647058823e-05,0.0,0.00017362908403700523,0.0,0.0007
