group_type,value,n_total,n_fw_check,raw_fw_check_rate,shrunk_fw_check_rate,fw_check_ci_low,fw_check_ci_high,n_gauge_reset,raw_gauge_reset_rate,shrunk_gauge_reset_rate,gauge_reset_ci_low,gauge_reset_ci_high,fw_fisher_p,fw_fisher_q_bh,rank_fw_check_shrunk,rank_gauge_reset_shrunk,analysis_timestamp
batt_fru,5B10W51863,4,2,0.5,0.2337,0.0361,0.5414,0,0.0,0.0133,0.0,0.1223,,,1,103,2026-06-03T16:38:27
batt_fru,5B10W13975,26,6,0.2308,0.1968,0.0793,0.3513,3,0.1154,0.1007,0.0229,0.2265,0.0,0.0001,2,11,2026-06-03T16:38:27
batt_fru,5B11H56426,2,1,0.5,0.1571,0.0061,0.4819,1,0.5,0.1607,0.0067,0.4867,,,3,2,2026-06-03T16:38:27
batt_fru,(none),22,3,0.1364,0.1147,0.0261,0.2565,0,0.0,0.0044,0.0,0.0407,0.00643,0.14467,4,151,2026-06-03T16:38:27
batt_fru,5B10W13973,30,2,0.0667,0.0599,0.0081,0.1577,4,0.1333,0.1178,0.0349,0.2416,0.104,1.0,5,10,2026-06-03T16:38:27
batt_fru,LNV-5B10W51879,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,LNV-5B11H56403?,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,01AV446,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,01AV471,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,01AV479,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,01AV495,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,02DL003,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
batt_fru,02DL005,1,0,0.0,0.0155,0.0,0.1567,0,0.0,0.0199,0.0,0.1834,,,6,13,2026-06-03T16:38:27
