user_id,final_label,recommended_action,confidence,subreason,review_priority,gauge_reset_score_0_100,fw_check_score_0_100,ml_fw_support_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_80_20_80_ok,tail_n_unresponded_80_20_80_complete_window,tail_n_unresponded_90_10_90_complete_window,tail_n_80_20_80_large_gap,tail_ac_time_ratio,tail_min_rsoc,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
MHAGI-PF3YCK6H_mhagi,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,,57.5,100.0,99.6,"flat_tail=589.5d, fcc_changes=3, tail_cyc=253.0, tail_ok[90/80]=10/36, unresp_complete[90/80]=10/36, large_gap[90/80]=9/16 -> complete-window opportunities present but FCC did not respond",589.5,3,253.0,36,36,10,16,0.8532,1.0,708.88,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
TNAKAMURA8-CRZW_tnakamura8,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,,55.0,100.0,98.3,"flat_tail=328.4d, fcc_changes=11, tail_cyc=108.0, tail_ok[90/80]=3/3, unresp_complete[90/80]=3/3, large_gap[90/80]=11/13 -> complete-window opportunities present but FCC did not respond",328.4,11,108.0,3,3,3,13,0.6882,0.0,852.9,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
KSHIBATAX3Y83N9_KSHIBATA,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,ZERO_UPDATE_AFTER_OPPORTUNITIES,,57.4,100.0,90.2,"flat_tail=970.9d, fcc_changes=0, tail_cyc=250.0, tail_ok[90/80]=2/13, unresp_complete[90/80]=2/13, large_gap[90/80]=31/44 -> complete-window opportunities present but FCC did not respond",970.9,0,250.0,13,13,2,44,0.848,2.0,970.92,QUALITY_OK,ThinkPad X1 Yoga Gen 7,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
EB16034-F4414Y8_eb16034,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,,48.6,100.0,82.1,"flat_tail=203.0d, fcc_changes=0, tail_cyc=80.0, tail_ok[90/80]=2/2, unresp_complete[90/80]=2/2, large_gap[90/80]=2/2 -> complete-window opportunities present but FCC did not respond",203.0,0,80.0,2,2,2,2,0.2516,2.0,203.03,QUALITY_OK,ThinkPad X1 Carbon Gen 11,,,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
CHIKARA7-3PAB5T_chikara7,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,ZERO_UPDATE_AFTER_OPPORTUNITIES,,51.8,100.0,63.6,"flat_tail=539.3d, fcc_changes=0, tail_cyc=222.0, tail_ok[90/80]=0/5, unresp_complete[90/80]=0/5, large_gap[90/80]=2/64 -> complete-window opportunities present but FCC did not respond",539.3,0,222.0,5,5,0,64,0.5728,1.0,539.26,QUALITY_OK,ThinkPad X1 Yoga Gen 6,SMP,5B10W13973,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
LAPTOP-TH5V7J86_CQE_Test,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,ZERO_UPDATE_AFTER_OPPORTUNITIES,,49.9,96.2,81.2,"flat_tail=157.0d, fcc_changes=0, tail_cyc=65.0, tail_ok[90/80]=1/8, unresp_complete[90/80]=1/8, large_gap[90/80]=13/18 -> complete-window opportunities present but FCC did not respond",157.0,0,65.0,8,8,1,18,0.6437,1.0,156.99,QUALITY_OK,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
CARBON9TH_Dexter,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,,57.0,94.0,77.1,"flat_tail=332.7d, fcc_changes=4, tail_cyc=139.0, tail_ok[90/80]=0/4, unresp_complete[90/80]=0/4, large_gap[90/80]=3/23 -> complete-window opportunities present but FCC did not respond",332.7,4,139.0,4,4,0,23,0.8053,2.0,488.91,QUALITY_OK,ThinkPad X1 Carbon Gen 9,SMP,5B10W13973,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
CARLLAPTOP_CarlWu,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,,44.2,93.8,93.8,"flat_tail=142.8d, fcc_changes=5, tail_cyc=83.0, tail_ok[90/80]=3/9, unresp_complete[90/80]=3/9, large_gap[90/80]=8/9 -> complete-window opportunities present but FCC did not respond",142.8,5,83.0,9,9,3,9,0.4648,0.0,436.76,QUALITY_OK,ThinkPad X1 Carbon Gen 11,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
MATT-T16G1_lietzke,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,,53.6,91.5,92.5,"flat_tail=139.9d, fcc_changes=2, tail_cyc=41.0, tail_ok[90/80]=2/4, unresp_complete[90/80]=2/4, large_gap[90/80]=2/4 -> complete-window opportunities present but FCC did not respond",139.9,2,41.0,4,4,2,4,0.9012,5.0,389.69,QUALITY_OK,ThinkPad T16 Gen 1,,,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
JESTROFF-4G0AHW_jestroff,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,,51.6,86.2,75.7,"flat_tail=228.2d, fcc_changes=2, tail_cyc=41.0, tail_ok[90/80]=0/3, unresp_complete[90/80]=0/3, large_gap[90/80]=9/14 -> complete-window opportunities present but FCC did not respond",228.2,2,41.0,3,3,0,14,0.5104,5.0,354.04,QUALITY_OK,ThinkPad T14 Gen 4,LG,5B10W51863,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
KMAKI-PF45ET63_kmaki,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,ZERO_UPDATE_AFTER_OPPORTUNITIES,,44.8,86.0,94.0,"flat_tail=132.2d, fcc_changes=0, tail_cyc=86.0, tail_ok[90/80]=0/4, unresp_complete[90/80]=0/4, large_gap[90/80]=5/12 -> complete-window opportunities present but FCC did not respond",132.2,0,86.0,4,4,0,12,0.5668,2.0,132.21,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
LAPTOP-SJCL3CJL_scollins1,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,,61.4,86.0,79.0,"flat_tail=741.0d, fcc_changes=1, tail_cyc=40.0, tail_ok[90/80]=0/3, unresp_complete[90/80]=0/3, large_gap[90/80]=0/7 -> complete-window opportunities present but FCC did not respond",741.0,1,40.0,3,3,0,7,0.9551,0.0,840.16,QUALITY_OK,ThinkPad T14s Gen 2a,,,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会（完全窓・OK品質）が複数回確認されるのにFCCが応答していません。BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T16:38:27
