user_id,final_label,recommended_action,confidence,subreason,review_priority,gauge_reset_score_0_100,fw_check_score_0_100,ml_fw_support_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_80_20_80_ok,tail_n_unresponded_80_20_80_complete_window,tail_n_unresponded_90_10_90_complete_window,tail_n_80_20_80_large_gap,tail_ac_time_ratio,tail_min_rsoc,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
ANIETO1-F5GNTSH_anieto1,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,,100.0,40.0,0.0,"flat_tail=181.8d, fcc_changes=16, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=1.00, min_rsoc=2.0 -> insufficient learning opportunity",181.8,16,0.0,0,0,0,0,1.0,2.0,314.74,QUALITY_OK,ThinkPad T14 Gen 6,Celxpert,5B11M90126,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
JG3-SIT-OS_Maru1tom,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,,99.3,40.0,0.0,"flat_tail=208.8d, fcc_changes=0, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.96, min_rsoc=77.0 -> insufficient learning opportunity",208.8,0,0.0,0,0,0,0,0.9627,77.0,208.78,QUALITY_OK,ThinkPad X1 Yoga Gen 8,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
PF3KG4XY_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,,97.1,39.6,0.0,"flat_tail=173.8d, fcc_changes=0, tail_cyc=3.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.98, min_rsoc=6.0 -> insufficient learning opportunity",173.8,0,3.0,0,0,0,0,0.9792,6.0,173.84,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
LWANG5-PW0A203M_lwang5,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,,94.9,40.8,0.0,"flat_tail=235.6d, fcc_changes=3, tail_cyc=4.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.84, min_rsoc=2.0 -> insufficient learning opportunity",235.6,3,4.0,0,0,0,0,0.8437,2.0,801.38,QUALITY_OK,ThinkPad L13 2-in-1 Gen 5,LG,5B11H56426,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
LIUHY24-X1EGEN4_liuhy24,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,,94.9,39.2,0.0,"flat_tail=168.0d, fcc_changes=3, tail_cyc=6.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.99, min_rsoc=53.0 -> insufficient learning opportunity",168.0,3,6.0,0,0,0,0,0.9933,53.0,790.94,QUALITY_OK,ThinkPad X1 Extreme Gen 4i,SMP,5B11B79217,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
KMORIGUCHI-SY92_kmoriguchi,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,,94.5,41.4,0.0,"flat_tail=397.8d, fcc_changes=1, tail_cyc=7.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.90, min_rsoc=64.0 -> insufficient learning opportunity",397.8,1,7.0,0,0,0,0,0.9024,64.0,1133.08,QUALITY_OK,ThinkPad X1 Carbon Gen 10,SMP,5B11M90056,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
PF3MC0GA_TP-Telemetry,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,,92.3,33.6,0.0,"flat_tail=140.3d, fcc_changes=0, tail_cyc=1.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.97, min_rsoc=75.0 -> insufficient learning opportunity",140.3,0,1.0,0,0,0,0,0.9713,75.0,140.28,QUALITY_OK,ThinkPad X1 Carbon Gen 10,SMP,5B10W13973,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
AMANDELBLOO-VBQ_amandelbloom,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,,92.0,40.0,0.0,"flat_tail=214.9d, fcc_changes=25, tail_cyc=0.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.60, min_rsoc=30.0 -> insufficient learning opportunity",214.9,25,0.0,0,0,0,0,0.5984,30.0,454.88,QUALITY_OK,ThinkPad X13 Gen 4,Sunwoda,5B11H56368,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
KURADA-4_kurada,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_SHALLOW_RANGE,,89.6,44.0,0.0,"flat_tail=366.6d, fcc_changes=5, tail_cyc=20.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.98, min_rsoc=23.0 -> insufficient learning opportunity",366.6,5,20.0,0,0,0,0,0.9823,23.0,464.94,QUALITY_OK,ThinkPad X12 Detachable Gen 2,SMP,5B10Z26480,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
PR2-SVT-M1_MARUICHIT,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,,89.6,31.7,0.0,"flat_tail=127.8d, fcc_changes=0, tail_cyc=2.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0, ac=0.97, min_rsoc=76.0 -> insufficient learning opportunity",127.8,0,2.0,0,0,0,0,0.9657,76.0,127.76,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が十分に確認できません（OK品質の機会が無く、large-gapを含めても判定可能な機会がない）。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T16:38:27
