dimension,variant,n_candidates,n_review,n_normal,n_fw_check,n_gauge_reset,n_watch,n_ok_episodes,n_users_with_ok,ok_response_rate_72h,analysis_timestamp
candidate_pct,p05,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
candidate_pct,p10,126.0,338,299,14,19,82,,,,2026-06-03T16:38:27
flat_tail_days[gauge_hi],60,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
flat_tail_days[gauge_hi],120,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
flat_tail_days[gauge_hi],180,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
response_window,24h,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
response_window,72h,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
response_window,168h,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
ac_time_ratio[gauge_hi],0.7,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
ac_time_ratio[gauge_hi],0.8,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
ac_time_ratio[gauge_hi],0.9,96.0,338,327,14,18,55,,,,2026-06-03T16:38:27
episode_max_gap_h,6,,338,327,6,18,63,1620.0,196.0,0.7141,2026-06-03T16:38:27
episode_max_gap_h,12,,338,327,14,18,55,4397.0,294.0,0.7194,2026-06-03T16:38:27
episode_max_gap_h,24,,338,327,20,18,49,9823.0,390.0,0.7184,2026-06-03T16:38:27
