user_id,final_label,recommended_action,confidence,subreason,review_priority,gauge_reset_score_0_100,fw_check_score_0_100,ml_fw_support_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_80_20_80_ok,tail_n_unresponded_80_20_80_complete_window,tail_n_unresponded_90_10_90_complete_window,tail_n_80_20_80_large_gap,tail_ac_time_ratio,tail_min_rsoc,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,watch_subreason,analysis_timestamp
AGEORGE3-4SA7W2_ageorge3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,78.6,42.6,0.0,"flat_tail=185.4d, fcc_changes=1, tail_cyc=13.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/1 -> ambiguous (watch)",185.4,1,13.0,0,0,0,1,0.8823,17.0,203.88,QUALITY_OK,ThinkPad X13 Gen 5,SMP,5B11M90048,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
AH-PF2PXA6R_ah,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,71.5,76.0,19.6,"flat_tail=336.9d, fcc_changes=1, tail_cyc=66.0, tail_ok[90/80]=0/1, unresp_complete[90/80]=0/1, large_gap[90/80]=0/0 -> ambiguous (watch)",336.9,1,66.0,1,1,0,0,0.9503,6.0,344.96,QUALITY_OK,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_OTHER_AMBIGUOUS,2026-06-03T16:38:27
AIII1-PF55Q7L6_aiii1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,51.7,48.0,0.0,"flat_tail=242.8d, fcc_changes=0, tail_cyc=40.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/15 -> ambiguous (watch)",242.8,0,40.0,0,0,0,15,0.5085,4.0,242.85,QUALITY_OK,ThinkPad T16 Gen 4,SMP,5B11H56412,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
AMIKAMI-F49VQPZ_amikami,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,70.3,16.3,0.0,"flat_tail=31.9d, fcc_changes=2, tail_cyc=5.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/0 -> ambiguous (watch)",31.9,2,5.0,0,0,0,0,0.873,46.0,629.72,QUALITY_OK,ThinkPad X1 Yoga Gen 7,SMP,5B10W13973,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_ACTIVE_LOW_CADENCE,2026-06-03T16:38:27
ANAKAMURA8-3ZVB_anakamura8,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,50.1,12.4,0.0,"flat_tail=11.0d, fcc_changes=10, tail_cyc=3.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=1/1 -> ambiguous (watch)",11.0,10,3.0,0,0,0,1,0.612,2.0,1195.33,QUALITY_OK,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
ATOKYO-PF3TQD0N_atokyo,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,54.7,76.0,32.3,"flat_tail=526.1d, fcc_changes=0, tail_cyc=172.0, tail_ok[90/80]=0/1, unresp_complete[90/80]=0/1, large_gap[90/80]=2/7 -> ambiguous (watch)",526.1,0,172.0,1,1,0,7,0.5946,2.0,526.05,QUALITY_OK,ThinkPad X1 Yoga Gen 6,Sunwoda,5B10W13975,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_OTHER_AMBIGUOUS,2026-06-03T16:38:27
BMIAO-PF4CFQ04_bmiao,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,79.1,37.3,0.0,"flat_tail=156.8d, fcc_changes=0, tail_cyc=6.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=1/1 -> ambiguous (watch)",156.8,0,6.0,0,0,0,1,0.9251,2.0,156.82,QUALITY_OK,ThinkPad T16 Gen 2,Celxpert,5B10W51872,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
BRYAN_X1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,59.5,50.0,0.0,"flat_tail=539.2d, fcc_changes=13, tail_cyc=51.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=4/9 -> ambiguous (watch)",539.2,13,51.0,0,0,0,9,0.8481,2.0,917.64,QUALITY_OK,ThinkPad X1 Yoga Gen 8,SMP,5B11M90056,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
DESKTOP-F4I6BLL_jl240,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,80.2,40.4,0.0,"flat_tail=241.5d, fcc_changes=1, tail_cyc=2.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=0/1 -> ambiguous (watch)",241.5,1,2.0,0,0,0,1,0.6835,6.0,346.54,QUALITY_OK,ThinkPad X1 Yoga Gen 5,LG,5B10W13930,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
DESKTOP-MMH8JIS_chee1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,,65.7,38.3,0.0,"flat_tail=156.7d, fcc_changes=0, tail_cyc=11.0, tail_ok[90/80]=0/0, unresp_complete[90/80]=0/0, large_gap[90/80]=2/2 -> ambiguous (watch)",156.7,0,11.0,0,0,0,2,0.5889,3.0,156.72,QUALITY_OK,ThinkPad X13s Gen 1,Celxpert,LNV-5B10W51879,FCC更新率は低いが完全凍結ではない/学習機会がlarge-gapまたは打ち切りで確証が弱い/境界的のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,WATCH_POSSIBLE_OPPORTUNITY_WITH_LARGE_GAPS,2026-06-03T16:38:27
