user_id,final_label,recommended_action,confidence,sub_reason,gauge_reset_score_0_100,fw_check_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_90_10_90_ok,tail_n_80_20_80_ok,tail_n_85_15_85_ok,tail_response_rate_80_20_80_72h,relevant_response_rate_72h,tail_ac_time_ratio,tail_min_rsoc,tail_max_rsoc,tail_rsoc_swing,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
MHAGI-PF3YCK6H_mhagi,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,57.6,100.0,"flat_tail=589.5d, fcc_changes=3, tail_cyc=253.0, tail_ok[90/80/85]=10/36/15, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",589.5,3,253.0,10,36,15,0.0,0.0,0.8532,1.0,100.0,99.0,708.88,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
CHIKARA7-3PAB5T_chikara7,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,ZERO_UPDATE_AFTER_OPPORTUNITIES,55.6,100.0,"flat_tail=539.3d, fcc_changes=0, tail_cyc=222.0, tail_ok[90/80/85]=0/5/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",539.3,0,222.0,0,5,0,0.0,0.0,0.5728,1.0,100.0,99.0,539.26,QUALITY_OK,ThinkPad X1 Yoga Gen 6,SMP,5B10W13973,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
EB16034-F4414Y8_eb16034,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,50.0,100.0,"flat_tail=203.0d, fcc_changes=0, tail_cyc=80.0, tail_ok[90/80/85]=2/2/2, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",203.0,0,80.0,2,2,2,0.0,0.0,0.2516,2.0,100.0,98.0,203.03,QUALITY_OK,ThinkPad X1 Carbon Gen 11,,,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
KSHIBATAX3Y83N9_KSHIBATA,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,ZERO_UPDATE_AFTER_OPPORTUNITIES,58.5,100.0,"flat_tail=970.9d, fcc_changes=0, tail_cyc=250.0, tail_ok[90/80/85]=2/13/9, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",970.9,0,250.0,2,13,9,0.0,0.0,0.848,2.0,100.0,98.0,970.92,QUALITY_OK,ThinkPad X1 Yoga Gen 7,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
TNAKAMURA8-CRZW_tnakamura8,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,57.3,100.0,"flat_tail=328.4d, fcc_changes=11, tail_cyc=108.0, tail_ok[90/80/85]=3/3/3, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",328.4,11,108.0,3,3,3,0.0,0.0,0.6882,0.0,100.0,100.0,852.9,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
LAPTOP-TH5V7J86_CQE_Test,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,ZERO_UPDATE_AFTER_OPPORTUNITIES,51.5,96.2,"flat_tail=157.0d, fcc_changes=0, tail_cyc=65.0, tail_ok[90/80/85]=1/8/3, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",157.0,0,65.0,1,8,3,0.0,0.0,0.6437,1.0,100.0,99.0,156.99,QUALITY_OK,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
CARBON9TH_Dexter,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,61.1,94.0,"flat_tail=332.7d, fcc_changes=4, tail_cyc=139.0, tail_ok[90/80/85]=0/4/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",332.7,4,139.0,0,4,0,0.0,0.0,0.8053,2.0,100.0,98.0,488.91,QUALITY_OK,ThinkPad X1 Carbon Gen 9,SMP,5B10W13973,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
CARLLAPTOP_CarlWu,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,45.0,93.8,"flat_tail=142.8d, fcc_changes=5, tail_cyc=83.0, tail_ok[90/80/85]=3/9/5, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",142.8,5,83.0,3,9,5,0.0,0.0,0.4648,0.0,100.0,100.0,436.76,QUALITY_OK,ThinkPad X1 Carbon Gen 11,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
MATT-T16G1_lietzke,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,54.9,91.5,"flat_tail=139.9d, fcc_changes=2, tail_cyc=41.0, tail_ok[90/80/85]=2/4/2, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",139.9,2,41.0,2,4,2,0.0,0.0,0.9012,5.0,100.0,95.0,389.69,QUALITY_OK,ThinkPad T16 Gen 1,,,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
JESTROFF-4G0AHW_jestroff,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,56.5,86.2,"flat_tail=228.2d, fcc_changes=2, tail_cyc=41.0, tail_ok[90/80/85]=0/3/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",228.2,2,41.0,0,3,0,0.0,0.0,0.5104,5.0,100.0,95.0,354.04,QUALITY_OK,ThinkPad T14 Gen 4,LG,5B10W51863,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
KMAKI-PF45ET63_kmaki,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,48.4,86.0,"flat_tail=132.2d, fcc_changes=0, tail_cyc=86.0, tail_ok[90/80/85]=0/4/1, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",132.2,0,86.0,0,4,1,0.0,0.0,0.5668,2.0,100.0,98.0,132.21,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
LAPTOP-SJCL3CJL_scollins1,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,high,TERMINAL_FREEZE_AFTER_OPPORTUNITIES,65.4,86.0,"flat_tail=741.0d, fcc_changes=1, tail_cyc=40.0, tail_ok[90/80/85]=0/3/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",741.0,1,40.0,0,3,0,0.0,0.0,0.9551,0.0,86.0,86.0,840.16,QUALITY_OK,ThinkPad T14s Gen 2a,,,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
JANUMOLU-0A203W_janumolu,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,55.7,82.0,"flat_tail=213.4d, fcc_changes=1, tail_cyc=85.0, tail_ok[90/80/85]=0/2/1, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",213.4,1,85.0,0,2,1,0.0,0.0,0.3677,1.0,100.0,99.0,228.4,QUALITY_OK,ThinkPad L13 2-in-1 Gen 5,LG,5B11H56426,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
TBERDAR-F4G0ASQ_tberdar,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,57.3,77.8,"flat_tail=155.1d, fcc_changes=1, tail_cyc=61.0, tail_ok[90/80/85]=0/2/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",155.1,1,61.0,0,2,0,0.0,0.0,0.657,4.0,100.0,96.0,182.12,QUALITY_OK,ThinkPad T14 Gen 4,LG,5B10W51863,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
AH-PF2PXA6R_ah,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,71.5,76.0,"flat_tail=336.9d, fcc_changes=1, tail_cyc=66.0, tail_ok[90/80/85]=0/1/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",336.9,1,66.0,0,1,0,0.0,0.0,0.9503,6.0,100.0,94.0,344.96,QUALITY_OK,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
LAPTOP-CPPVM862_LL,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,69.1,76.0,"flat_tail=553.5d, fcc_changes=1, tail_cyc=63.0, tail_ok[90/80/85]=0/1/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",553.5,1,63.0,0,1,0,0.0,0.0,0.8289,5.0,100.0,95.0,589.94,QUALITY_OK,ThinkPad X13 Yoga Gen 3,LG,5B11A14635,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
