user_id,final_label,recommended_action,confidence,sub_reason,gauge_reset_score_0_100,fw_check_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_90_10_90_ok,tail_n_80_20_80_ok,tail_n_85_15_85_ok,tail_response_rate_80_20_80_72h,relevant_response_rate_72h,tail_ac_time_ratio,tail_min_rsoc,tail_max_rsoc,tail_rsoc_swing,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
ANIETO1-F5GNTSH_anieto1,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,100.0,40.0,"flat_tail=181.8d, fcc_changes=16, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0, ac=1.00, min_rsoc=2.0, swing=93.0 -> no learning opportunity in flat tail",181.8,16,0.0,0,0,0,,,1.0,2.0,95.0,93.0,314.74,QUALITY_OK,ThinkPad T14 Gen 6,Celxpert,5B11M90126,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
JG3-SIT-OS_Maru1tom,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,99.3,40.0,"flat_tail=208.8d, fcc_changes=0, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0, ac=0.96, min_rsoc=77.0, swing=23.0 -> no learning opportunity in flat tail",208.8,0,0.0,0,0,0,,,0.9627,77.0,100.0,23.0,208.78,QUALITY_OK,ThinkPad X1 Yoga Gen 8,Sunwoda,5B10W13975,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
TMOCHIZUKI-FHMH_tmochizuki,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,97.6,40.8,"flat_tail=312.3d, fcc_changes=0, tail_cyc=4.0, tail_ok[90/80/85]=0/0/0, ac=0.98, min_rsoc=2.0, swing=98.0 -> no learning opportunity in flat tail",312.3,0,4.0,0,0,0,,,0.9788,2.0,100.0,98.0,312.26,QUALITY_OK,ThinkPad T14 Gen 4,Celxpert,5B10W51866,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
PF3KG4XY_TP-Telemetry,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,97.1,39.6,"flat_tail=173.8d, fcc_changes=0, tail_cyc=3.0, tail_ok[90/80/85]=0/0/0, ac=0.98, min_rsoc=6.0, swing=94.0 -> no learning opportunity in flat tail",173.8,0,3.0,0,0,0,,,0.9792,6.0,100.0,94.0,173.84,QUALITY_OK,ThinkPad X1 Carbon Gen 10,Sunwoda,5B10W13975,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
LWANG5-PW0A203M_lwang5,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,94.9,40.8,"flat_tail=235.6d, fcc_changes=3, tail_cyc=4.0, tail_ok[90/80/85]=0/0/0, ac=0.84, min_rsoc=2.0, swing=98.0 -> no learning opportunity in flat tail",235.6,3,4.0,0,0,0,,,0.8437,2.0,100.0,98.0,801.38,QUALITY_OK,ThinkPad L13 2-in-1 Gen 5,LG,5B11H56426,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
LIUHY24-X1EGEN4_liuhy24,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,94.9,39.2,"flat_tail=168.0d, fcc_changes=3, tail_cyc=6.0, tail_ok[90/80/85]=0/0/0, ac=0.99, min_rsoc=53.0, swing=47.0 -> no learning opportunity in flat tail",168.0,3,6.0,0,0,0,,,0.9933,53.0,100.0,47.0,790.94,QUALITY_OK,ThinkPad X1 Extreme Gen 4i,SMP,5B11B79217,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
KMORIGUCHI-SY92_kmoriguchi,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,94.5,41.4,"flat_tail=397.8d, fcc_changes=1, tail_cyc=7.0, tail_ok[90/80/85]=0/0/0, ac=0.90, min_rsoc=64.0, swing=36.0 -> no learning opportunity in flat tail",397.8,1,7.0,0,0,0,,,0.9024,64.0,100.0,36.0,1133.08,QUALITY_OK,ThinkPad X1 Carbon Gen 10,SMP,5B11M90056,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
DESKTOP-F4I6BLL_jl240,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING,92.7,40.4,"flat_tail=241.5d, fcc_changes=1, tail_cyc=2.0, tail_ok[90/80/85]=0/0/0, ac=0.68, min_rsoc=6.0, swing=74.0 -> no learning opportunity in flat tail",241.5,1,2.0,0,0,0,,,0.6835,6.0,80.0,74.0,346.54,QUALITY_OK,ThinkPad X1 Yoga Gen 5,LG,5B10W13930,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
PF3MC0GA_TP-Telemetry,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,92.3,33.6,"flat_tail=140.3d, fcc_changes=0, tail_cyc=1.0, tail_ok[90/80/85]=0/0/0, ac=0.97, min_rsoc=75.0, swing=25.0 -> no learning opportunity in flat tail",140.3,0,1.0,0,0,0,,,0.9713,75.0,100.0,25.0,140.28,QUALITY_OK,ThinkPad X1 Carbon Gen 10,SMP,5B10W13973,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
AMANDELBLOO-VBQ_amandelbloom,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_LOW_CYCLING;NO_OPPORTUNITY_SHALLOW_RANGE,92.0,40.0,"flat_tail=214.9d, fcc_changes=25, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0, ac=0.60, min_rsoc=30.0, swing=69.0 -> no learning opportunity in flat tail",214.9,25,0.0,0,0,0,,,0.5984,30.0,99.0,69.0,454.88,QUALITY_OK,ThinkPad X13 Gen 4,Sunwoda,5B11H56368,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
