user_id,final_label,recommended_action,confidence,sub_reason,gauge_reset_score_0_100,fw_check_score_0_100,primary_evidence,flat_tail_days,fcc_changes,tail_cycle_delta,tail_n_90_10_90_ok,tail_n_80_20_80_ok,tail_n_85_15_85_ok,tail_response_rate_80_20_80_72h,relevant_response_rate_72h,tail_ac_time_ratio,tail_min_rsoc,tail_max_rsoc,tail_rsoc_swing,obs_days,data_quality_label,device_model,batt_vendor,batt_fru,operational_message,analysis_timestamp
0350LQ-PF593HRF_0350LQ,REVIEW_INSUFFICIENT_DATA,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,review,,65.2,5.2,"obs_days=83.0, n_samples=532, quality=QUALITY_SHORT_OBS -> insufficient/uncertain data",1.0,5,0.0,0,0,0,,,1.0,100.0,100.0,0.0,82.98,QUALITY_SHORT_OBS,ThinkPad X1 2-in-1 Gen 10,SMP,5B11M90097,観測期間・サンプル数・カウンタ整合性のいずれかが不足しており、信頼できる介入判定ができません。追加データ収集または手動レビューが必要です。,2026-06-03T12:47:30
ABUCKNER-0B0WH8_abuckner,NORMAL_OR_RESPONDING,ACTION_NONE,high,,71.2,11.8,"flat_tail=10.9d, fcc_changes=50, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0 -> FCC still updating / not a no-low-change candidate",10.9,50,0.0,0,0,0,,,0.9692,74.0,81.0,7.0,756.01,QUALITY_OK,ThinkPad P1 Gen 7,Sunwoda,5B11M37553,,2026-06-03T12:47:30
ADAMSTHAMESLNLB_Howes,NORMAL_OR_RESPONDING,ACTION_NONE,high,,64.5,10.2,"flat_tail=0.9d, fcc_changes=76, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0 -> FCC still updating / not a no-low-change candidate",0.9,76,0.0,0,0,0,,,0.6815,83.0,100.0,17.0,197.5,QUALITY_OK,ThinkPad X1 Carbon Gen 13,SMP,5B11M90097,,2026-06-03T12:47:30
ADAMS_ALLOY,NORMAL_OR_RESPONDING,ACTION_NONE,high,,72.2,12.2,"flat_tail=12.9d, fcc_changes=16, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0 -> FCC still updating / not a no-low-change candidate",12.9,16,0.0,0,0,0,,,1.0,53.0,94.0,41.0,274.94,QUALITY_OK,ThinkPad X9-14 Gen 1,Sunwoda,LNV-5B11M90102,,2026-06-03T12:47:30
ADAMS_JAGUAR3,NORMAL_OR_RESPONDING,ACTION_NONE,high,,81.2,26.0,"flat_tail=89.8d, fcc_changes=11, tail_cyc=5.0, tail_ok[90/80/85]=0/0/0 -> FCC still updating / not a no-low-change candidate",89.8,11,5.0,0,0,0,,,0.9359,2.0,100.0,98.0,738.71,QUALITY_OK,ThinkPad X1 Yoga Gen 8,SMP,5B10W13973,,2026-06-03T12:47:30
ADIEHL-PF4CNVD9_adiehl,NORMAL_OR_RESPONDING,ACTION_NONE,high,,67.3,10.5,"flat_tail=1.7d, fcc_changes=29, tail_cyc=1.0, tail_ok[90/80/85]=0/0/0 -> FCC still updating / not a no-low-change candidate",1.7,29,1.0,0,0,0,,,0.877,1.0,100.0,99.0,238.98,QUALITY_OK,ThinkPad T14s Gen 4,SMP,5B10W51875,,2026-06-03T12:47:30
AGEORGE3-4SA7W2_ageorge3,ACTIONABLE_GAUGE_RESET_NO_OPPORTUNITY,ACTION_GAUGE_RESET,high,NO_OPPORTUNITY_AC_BOUND;NO_OPPORTUNITY_LOW_CYCLING,91.1,42.6,"flat_tail=185.4d, fcc_changes=1, tail_cyc=13.0, tail_ok[90/80/85]=0/0/0, ac=0.88, min_rsoc=17.0, swing=83.0 -> no learning opportunity in flat tail",185.4,1,13.0,0,0,0,,,0.8823,17.0,100.0,83.0,203.88,QUALITY_OK,ThinkPad X13 Gen 5,SMP,5B11M90048,FCC/SoHが長期間更新されていませんが、ログ上は深い放電→再充電の学習機会が不足しています。安全な環境でOEM推奨のバッテリーゲージリセット/キャリブレーションを実施し、その後72h〜7日間のテレメトリでFCC更新有無を確認してください。,2026-06-03T12:47:30
AH-PF2PXA6R_ah,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTION_FW_CHECK,medium,LOW_UPDATE_RATE_WITH_OPPORTUNITIES,71.5,76.0,"flat_tail=336.9d, fcc_changes=1, tail_cyc=66.0, tail_ok[90/80/85]=0/1/0, resp72h(rel)=0.000 -> opportunities present but FCC did not respond",336.9,1,66.0,0,1,0,0.0,0.0,0.9503,6.0,100.0,94.0,344.96,QUALITY_OK,ThinkPad X1 Carbon Gen 9,Sunwoda,5B10W13975,FCC/SoHが長期間更新されておらず、ログ上は深い放電→再充電の学習機会が複数回確認されています。通常のキャリブレーション機会があったにもかかわらずFCC応答がないため、BIOS/EC/バッテリー関連FWのVersion確認とアップデート有無確認を優先してください。アップデート後、次回の学習機会後72h〜7日間でFCC更新有無を確認してください。,2026-06-03T12:47:30
AH-PF4KXDJ8_ah,NORMAL_OR_RESPONDING,ACTION_NONE,high,,68.8,10.1,"flat_tail=0.8d, fcc_changes=45, tail_cyc=0.0, tail_ok[90/80/85]=0/0/0 -> FCC still updating / not a no-low-change candidate",0.8,45,0.0,0,0,0,,,0.9324,83.0,100.0,17.0,239.96,QUALITY_OK,ThinkPad X1 Carbon Gen 12,Celxpert,5B11H56384,,2026-06-03T12:47:30
AIII1-PF55Q7L6_aiii1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTION_MONITOR_OR_MANUAL_REVIEW,low,,75.2,48.0,"flat_tail=242.8d, fcc_changes=0, tail_cyc=40.0, tail_ok[90/80/85]=0/0/0, resp72h(rel)=NA -> ambiguous low-update",242.8,0,40.0,0,0,0,,,0.5085,4.0,98.0,94.0,242.85,QUALITY_OK,ThinkPad T16 Gen 4,SMP,5B11H56412,FCC更新率は低いものの完全凍結ではない/学習機会が少ない/データ品質が中程度のため、FW確認に回す前にモニタリングまたは手動レビューを推奨します。,2026-06-03T12:47:30
