user_id,final_label,cluster_id,cluster_description,analysis_timestamp
AGEORGE3-4SA7W2_ageorge3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
AH-PF2PXA6R_ah,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
AIII1-PF55Q7L6_aiii1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
AMANDELBLOO-VBQ_amandelbloom,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
AMIKAMI-F49VQPZ_amikami,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
ANAKAMURA8-3ZVB_anakamura8,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
ANDY_zuyin,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
ANIETO1-F5GNTSH_anieto1,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
ATOKYO-PF3TQD0N_atokyo,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
BFALEIRO-0A1NXZ_bfaleiro,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,3,LOW_CYCLING,2026-06-03T16:38:27
BMIAO-PF4CFQ04_bmiao,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
BRYAN_X1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
CARBON9TH_Dexter,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
CARLLAPTOP_CarlWu,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
CHIKARA7-3PAB5T_chikara7,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
DESKTOP-F4I6BLL_jl240,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
DESKTOP-MMH8JIS_chee1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
E14_test,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,1,MIXED,2026-06-03T16:38:27
EB16034-F2RY6ZG_eb16034,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
EB16034-F4414Y8_eb16034,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
FANG_X13,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
GTORRES3-5AZJEC_gtorres3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
HIDEKIK-F3T9NA0_hidekik,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
HIKAWAXPF3Z84A1_hikawa,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
HIROSE-PF4AKXKG_hirose,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,0,AC_BOUND+SHALLOW_RANGE+LOW_CYCLING,2026-06-03T16:38:27
HSUMIXPF3T9QH8_hsumi,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
IMIHO-PF2SCRY9_imiho,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
IYOSHIMITSU-VKS_iyoshimitsu,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,1,MIXED,2026-06-03T16:38:27
JANUMOLU-0A203W_janumolu,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,1,MIXED,2026-06-03T16:38:27
