metric,key,value,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
snapshot_count,STATEFUL_NORMAL,439.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
snapshot_count,STATEFUL_REVIEW,166.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
snapshot_count,STATEFUL_WATCH,99.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
snapshot_count,STATEFUL_GAUGE_RESET_CANDIDATE,45.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
snapshot_count,STATEFUL_FW_CHECK_CANDIDATE,3.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,stateful_detection_n,24.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,stateless_detection_n,14.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,stateful_only_detection_n,16.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,stateless_only_detection_n,6.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,overlap_detection_n,8.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,action_fw_n,3.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,action_gauge_n,45.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,actionable_n,48.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,actionable_active_false_n,34.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,active_false_alert_rate,0.7083,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,actionable_eff_recent_update_n,0.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
comparison,active_false_alert_rate_effective_step,0.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
lead_time_days_median,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,83.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
n_alerted_of_proxy,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,4.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
lead_time_days_median,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,172.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
n_alerted_of_proxy,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,12.0,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
