feature,weight,weight_std,kind,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
recent_30d_fcc_effective_changes_before_episode,0.29214,0.00699,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
recent_30d_cycle_delta_before_episode,0.03922,0.00217,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
cycle_count_before_episode,0.03255,0.00121,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
soh_before_episode,0.02739,0.00168,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
fcc_before_episode,0.0205,0.00064,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
max_gap_h_episode,0.01643,0.00073,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
recent_30d_ac_ratio_before_episode,0.01251,0.00085,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
end_rsoc,0.0105,0.00059,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
recent_30d_max_gap_h_before_episode,0.01044,0.00035,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
episode_duration_h,0.00832,0.00039,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
n_samples_episode,0.00823,0.00058,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
recent_30d_n_samples_before_episode,0.00727,0.0004,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
recent_30d_rsoc_swing_before_episode,0.00714,0.00043,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
low_to_end_duration_h,0.00581,0.00043,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
median_gap_h_episode,0.00538,0.00039,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
low_rsoc,0.00433,0.0003,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
recent_30d_n_80_20_80_ok_before_episode,0.0031,0.00037,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
episode_depth,0.00264,0.00012,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
start_to_low_duration_h,0.0025,0.00014,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
cycle_delta_episode,0.00215,0.00023,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
start_rsoc,0.001,0.00022,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
band_primary_80_20_80,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
band_secondary_85_15_85,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
band_strict_90_10_90,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
