group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
batt_fru,5B10W13975,26,1,0.0385,0.0204,0.0006,0.0724,0.03562,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,L24B4PE2,6,0,0.0,0.0016,0.0,0.018,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56407,6,0,0.0,0.0016,0.0,0.018,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,LNV-5B11M90101@,6,0,0.0,0.0016,0.0,0.018,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90164,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B10W51875,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B10W51883,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90171,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90125,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90169,6,0,0.0,0.0016,0.0,0.018,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90106,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56397,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56401,6,0,0.0,0.0016,0.0,0.018,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56412,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56406,5,0,0.0,0.0016,0.0,0.0186,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90121,7,0,0.0,0.0015,0.0,0.0175,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90105,7,0,0.0,0.0015,0.0,0.0175,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90135,8,0,0.0,0.0015,0.0,0.017,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90051,8,0,0.0,0.0015,0.0,0.017,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,LNV-5B11M90102,8,0,0.0,0.0015,0.0,0.017,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90167,8,0,0.0,0.0015,0.0,0.017,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,LNV-5B11M90101,7,0,0.0,0.0015,0.0,0.0175,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11K07737,7,0,0.0,0.0015,0.0,0.0175,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56402,7,0,0.0,0.0015,0.0,0.0175,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56385,10,0,0.0,0.0014,0.0,0.016,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90129,10,0,0.0,0.0014,0.0,0.016,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90056,10,0,0.0,0.0014,0.0,0.016,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M37552,10,0,0.0,0.0014,0.0,0.016,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56386,14,0,0.0,0.0013,0.0,0.0144,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90099,14,0,0.0,0.0013,0.0,0.0144,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,LNV-5B11H56404,14,0,0.0,0.0013,0.0,0.0144,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90161,13,0,0.0,0.0013,0.0,0.0147,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90163,12,0,0.0,0.0013,0.0,0.0151,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90160,15,0,0.0,0.0012,0.0,0.014,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90098,19,0,0.0,0.0011,0.0,0.0127,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90162,20,0,0.0,0.0011,0.0,0.0125,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B10W13974,19,0,0.0,0.0011,0.0,0.0127,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56384,19,0,0.0,0.0011,0.0,0.0127,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,LNV-5B11H56403,22,0,0.0,0.001,0.0,0.0119,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90100,25,0,0.0,0.001,0.0,0.0112,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M37553,23,0,0.0,0.001,0.0,0.0117,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11H56383,23,0,0.0,0.001,0.0,0.0117,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B11M90097,23,0,0.0,0.001,0.0,0.0117,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_fru,5B10W13973,30,0,0.0,0.0009,0.0,0.0102,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,Sunwoda,203,1,0.0049,0.0031,0.0002,0.0102,0.27808,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,LG,18,0,0.0,0.0013,0.0,0.008,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,ATL,28,0,0.0,0.0012,0.0,0.0077,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,COSMX,40,0,0.0,0.0012,0.0,0.0073,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,BYD,85,0,0.0,0.001,0.0,0.0063,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,Celxpert,130,0,0.0,0.0009,0.0,0.0054,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
batt_vendor,SMP,226,0,0.0,0.0007,0.0,0.0043,1.0,1.0,0.0014,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Carbon Gen 11,10,1,0.1,0.0431,0.0013,0.1502,0.03942,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X1 Carbon Gen 10,31,1,0.0323,0.0231,0.0007,0.0819,0.11879,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14s Gen 4,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad T14 Gen 2i,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
device_model,ThinkPad X9-15 Gen 1,5,0,0.0,0.0023,0.0,0.0266,1.0,1.0,0.004,2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
