user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,state_as_of_ts,first_seen_ts,last_seen_ts,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_primary_censored_since_last_fcc_change,cum_primary_ok_since_last_fcc_change,cum_primary_large_gap_since_last_fcc_change,cum_primary_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_strict_censored_since_last_fcc_change,cum_strict_ok_since_last_fcc_change,cum_strict_large_gap_since_last_fcc_change,cum_strict_response_since_last_fcc_change,cum_expected_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_log_p_all_no_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,cluster_action_hint,window_label,stateful_label,recommended_action,alert_fired,consecutive_windows_opportunity_no_response,primary_evidence,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
X1YADL_KMK,2024-06-10,2024-05-11 23:59:59.999999999,2024-06-10 23:59:59.999999999,691,28.704,0.5,3.777,32.383,29,9,2,0,0,0,0,False,WINDOW_QUALITY_OK,68.0,71.0,3.0,3.135,0.9083,0.0886,0.0917,66.0,100.0,34.0,92.0,99.0,100.0,0.0,0.0,0.9949,0.9753,0.8903,144,173,72,55560.0,55560.0,55560.0,55560.0,0.0,0,0,0.0,,,97.47,97.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-06-10 23:59:59.999999999,2023-03-02 23:21:46,2024-06-10 15:04:43,55530.0,2023-04-30 17:38:21,30.0,407.265,41.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=407.265, cyc_since=41.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
RANDERSON4-Q4VG_randerson4,2026-05-26,2026-04-26 23:59:59.999999999,2026-05-26 23:59:59.999999999,453,29.255,0.5,0.5,64.362,20,20,5,0,0,0,0,False,WINDOW_QUALITY_OK,13.0,14.0,1.0,1.025,0.9435,0.0525,0.0565,89.0,100.0,11.0,94.0,97.0,100.0,0.0,0.0,1.0,0.9958,0.7926,42,70,21,85800.0,85780.0,85780.0,85800.0,20.0,1,0,0.0,,,99.77,99.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-05-26 23:59:59.999999999,2025-05-13 14:46:19,2026-05-26 14:53:34,85990.0,2025-05-13 14:46:19,1.0,378.385,13.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=378.385, cyc_since=13.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
LAPTOP-QQLCC3QB_jl240,2024-05-22,2024-04-22 23:59:59.999999999,2024-05-22 23:59:59.999999999,1028,29.349,0.5,0.5,191.948,1,1,1,0,0,0,0,False,WINDOW_QUALITY_OK,152.0,153.0,1.0,1.022,0.9943,0.0,0.0057,60.0,80.0,20.0,76.0,77.0,80.0,0.0,0.0,0.0,0.0,0.0,2,2,1,45220.0,45200.0,45200.0,45220.0,20.0,1,0,0.0,,,88.65,88.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-05-22 23:59:59.999999999,2023-02-11 23:28:12,2024-05-22 08:23:47,45250.0,2023-09-10 08:15:46,151.0,255.656,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,3,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=255.656, cyc_since=2.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
OHSAWAAURA_e3158,2026-05-28,2026-04-28 23:59:59.999999999,2026-05-28 23:59:59.999999999,405,28.874,0.5,10.237,48.203,31,17,3,0,0,0,0,False,WINDOW_QUALITY_OK,47.0,56.0,9.0,9.351,0.4415,0.1968,0.5585,34.0,100.0,66.0,59.2,94.0,100.0,0.0,0.0,0.6841,0.5171,0.3779,119,144,60,56920.0,56820.0,56820.0,56920.0,100.0,9,0,0.0,,,99.81,99.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-05-28 23:59:59.999999999,2025-10-22 10:08:03,2026-05-28 13:01:18,57460.0,2025-10-22 10:08:03,1.0,218.578,55.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=218.578, cyc_since=55.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
KGUO1-PF5GR16K_kguo1,2026-01-13,2025-12-14 23:59:59.999999999,2026-01-13 23:59:59.999999999,315,29.112,0.5,0.5,331.684,6,6,4,0,0,0,0,False,WINDOW_QUALITY_OK,16.0,18.0,2.0,2.061,0.9789,0.0533,0.0211,31.0,80.0,49.0,76.0,77.0,79.0,0.0,0.0,0.0,0.0,0.0,8,28,4,57850.0,57830.0,57830.0,57850.0,20.0,2,0,0.0,,,99.74,99.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-01-13 23:59:59.999999999,2025-06-10 12:48:45,2026-01-13 12:23:24,58030.0,2025-06-10 12:48:45,1.0,217.466,17.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,3,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=217.466, cyc_since=17.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
GGILLETT-5D9MVD_ggillett,2026-05-27,2026-04-27 23:59:59.999999999,2026-05-27 23:59:59.999999999,481,29.09,0.5,3.082,73.339,21,12,4,0,0,0,0,False,WINDOW_QUALITY_OK,124.0,132.0,8.0,8.25,0.7544,0.1009,0.2456,27.0,100.0,73.0,64.0,99.0,100.0,0.0,0.0,0.8878,0.8596,0.8113,76,100,38,48030.0,47910.0,47910.0,48030.0,120.0,8,0,0.0,,,91.49,91.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-05-27 23:59:59.999999999,2025-02-05 11:07:45,2026-05-27 10:51:54,48610.0,2025-10-31 16:21:55,87.0,208.318,45.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=208.318, cyc_since=45.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
CFERLAND-0DYS2P_cferland,2025-05-21,2025-04-21 23:59:59.999999999,2025-05-21 23:59:59.999999999,425,29.097,0.496,11.728,30.016,31,21,6,0,0,0,0,False,WINDOW_QUALITY_OK,39.0,46.0,7.0,7.217,0.6291,0.2643,0.3709,44.0,100.0,56.0,68.0,96.0,99.0,0.0,0.0,0.8841,0.7067,0.4653,129,149,65,59190.0,59100.0,59100.0,59190.0,90.0,8,0,0.0,,,102.05,101.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-05-21 23:59:59.999999999,2024-11-05 11:15:53,2025-05-21 08:00:32,59850.0,2024-11-05 11:15:53,2.0,197.531,44.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=197.531, cyc_since=44.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
LAPTOP-A68FDH6Q_amcclarnon,2025-05-28,2025-04-28 23:59:59.999999999,2025-05-28 23:59:59.999999999,481,29.172,0.5,0.5,112.604,16,15,4,0,0,0,0,False,WINDOW_QUALITY_OK,17.0,17.0,0.0,0.0,0.9815,0.0343,0.0185,67.0,100.0,33.0,95.0,97.0,99.0,0.0,0.0,0.9841,0.9802,0.9242,4,20,2,56080.0,56080.0,56080.0,56080.0,0.0,0,0,0.0,,,98.33,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-05-28 23:59:59.999999999,2024-11-13 16:45:55,2025-05-28 12:30:38,56200.0,2024-11-19 08:51:21,7.0,190.631,10.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=190.631, cyc_since=10.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
LISA_loconnor,2026-05-28,2026-04-28 23:59:59.999999999,2026-05-28 23:59:59.999999999,323,28.988,0.5,16.035,112.01,18,18,4,0,0,0,0,False,WINDOW_QUALITY_OK,16.0,16.0,0.0,0.0,0.9699,0.037,0.0301,85.0,100.0,15.0,95.0,98.0,100.0,0.0,0.0,1.0,0.9953,0.8699,19,31,10,56260.0,56260.0,56260.0,56260.0,0.0,0,0,0.0,,,97.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-05-28 23:59:59.999999999,2025-04-30 15:37:48,2026-05-28 07:23:01,56370.0,2025-11-20 12:49:19,13.0,189.466,3.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=189.466, cyc_since=3.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
TTARRATS-09S0Z9_ttarrats,2024-08-16,2024-07-17 23:59:59.999999999,2024-08-16 23:59:59.999999999,436,29.075,0.5,0.5,154.702,16,8,4,0,0,0,0,False,WINDOW_QUALITY_OK,12.0,13.0,1.0,1.032,0.9977,0.0381,0.0023,95.0,100.0,5.0,95.0,97.0,100.0,0.0,0.0,1.0,1.0,0.8217,6,40,3,56890.0,56880.0,56880.0,56890.0,10.0,1,0,0.0,,,99.81,99.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-08-16 23:59:59.999999999,2024-02-16 07:10:32,2024-08-16 09:55:34,57000.0,2024-02-16 07:10:32,2.0,182.701,11.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_GAUGE_RESET_CANDIDATE,ACTION_GAUGE_RESET_CALIBRATION,False,0,"days_since_fcc=182.701, cyc_since=11.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
