user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,state_as_of_ts,first_seen_ts,last_seen_ts,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_primary_censored_since_last_fcc_change,cum_primary_ok_since_last_fcc_change,cum_primary_large_gap_since_last_fcc_change,cum_primary_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_strict_censored_since_last_fcc_change,cum_strict_ok_since_last_fcc_change,cum_strict_large_gap_since_last_fcc_change,cum_strict_response_since_last_fcc_change,cum_expected_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_log_p_all_no_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,cluster_action_hint,window_label,stateful_label,recommended_action,alert_fired,consecutive_windows_opportunity_no_response,primary_evidence,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
ABUCKNER-0B0WH8_abuckner,2026-06-01,2026-05-02 23:59:59.999999999,2026-06-01 23:59:59.999999999,809,28.169,0.5,0.5,71.099,6,5,4,0,0,0,0,False,WINDOW_QUALITY_OK,44.0,45.0,1.0,1.065,0.9749,0.0087,0.0251,4.0,81.0,77.0,76.0,79.0,80.0,0.0062,0.0062,0.0247,0.0,0.0,14,21,7,83400.0,83380.0,83380.0,83400.0,20.0,1,0,0.0,,,92.67,92.64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-06-01 23:59:59.999999999,2024-05-06 14:27:28,2026-06-01 14:35:40,83550.0,2024-12-22 15:13:04,34.0,526.366,11.0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,-0.0,3,AC_BOUND,gauge_reset_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=526.366, cyc_since=11.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,2025-10-02,2025-09-02 23:59:59.999999999,2025-10-02 23:59:59.999999999,566,29.254,0.485,5.41,80.07,25,13,3,0,0,0,0,False,WINDOW_QUALITY_OK,45.0,54.0,9.0,9.229,0.6743,0.1979,0.3257,28.0,100.0,72.0,72.0,97.0,100.0,0.0,0.0,0.911,0.7432,0.6344,192,225,96,58830.0,58690.0,58690.0,58830.0,140.0,10,0,0.0,,,103.16,102.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-10-02 23:59:59.999999999,2025-03-18 20:39:45,2025-10-02 08:42:07,59710.0,2025-03-18 20:39:45,2.0,198.139,52.0,0,0,0,2,0,0,0,0,1,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=198.139, cyc_since=52.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
ADAMS_JAGUAR3,2025-04-11,2025-03-12 23:59:59.999999999,2025-04-11 23:59:59.999999999,428,28.95,0.5,10.062,30.244,38,11,1,0,0,0,0,False,WINDOW_QUALITY_OK,116.0,116.0,0.0,0.0,0.9794,0.0226,0.0206,77.0,100.0,23.0,95.0,98.0,100.0,0.0,0.0,0.9919,0.9919,0.847,4,11,2,44750.0,44750.0,44750.0,44750.0,0.0,0,0,0.0,,,78.44,78.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-04-11 23:59:59.999999999,2023-04-03 13:40:35,2025-04-11 06:41:15,44750.0,2025-01-11 12:18:49,111.0,90.487,5.0,0,0,0,3,0,0,0,0,3,0,0.0,0,0.0,-0.0,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=90.487, cyc_since=5.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
AGEORGE3-4SA7W2_ageorge3,2024-10-24,2024-09-24 23:59:59.999999999,2024-10-24 23:59:59.999999999,440,28.978,0.5,6.953,68.783,27,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,19.0,21.0,2.0,2.071,0.8619,0.0307,0.1381,17.0,100.0,83.0,72.0,100.0,100.0,0.0,0.0003,0.864,0.8436,0.7944,28,35,14,55110.0,55110.0,55110.0,55110.0,0.0,0,0,0.0,,,100.69,100.69,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-10-24 23:59:59.999999999,2024-04-03 11:59:17,2024-10-24 09:00:42,55110.0,2024-04-21 23:20:38,8.0,186.027,13.0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,-0.0,0,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=186.027, cyc_since=13.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
AH-PF2PXA6R_ah,2026-02-11,2026-01-12 23:59:59.999999999,2026-02-11 23:59:59.999999999,1462,29.181,0.5,0.5,6.753,1,0,0,0,0,0,0,False,WINDOW_QUALITY_OK,66.0,70.0,4.0,4.112,0.9468,0.0775,0.0532,57.0,100.0,43.0,88.0,100.0,100.0,0.0,0.0,0.9801,0.9424,0.9047,82,97,41,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-02-11 23:59:59.999999999,2025-03-03 16:22:07,2026-02-11 15:22:54,57570.0,2025-03-11 17:00:03,4.0,337.292,66.0,1,0,1,1,0,0,0,0,1,0,0.1761,0,-0.19365,0.0841,1,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=337.292, cyc_since=66.0, cum_primary_no_response=1, cum_strict_no_response=0, cum_anom=0.084, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
AIII1-PF6249QS_aiii1,2026-05-19,2026-04-19 23:59:59.999999999,2026-05-19 23:59:59.999999999,334,29.075,0.5,11.547,113.383,22,17,4,0,0,0,0,False,WINDOW_QUALITY_OK,19.0,28.0,9.0,9.286,0.5777,0.0768,0.4223,2.0,100.0,98.0,30.0,81.0,94.0,0.0031,0.035,0.5251,0.0888,0.0641,86,107,43,59040.0,58930.0,58930.0,59040.0,110.0,9,0,0.0,,,98.4,98.22,0,4,0,0,4,0,3,0,0,3,0,1,0,0,1,0.0,0,0,0,,0.0,,,2026-05-19 23:59:59.999999999,2026-01-29 14:20:30,2026-05-19 10:15:31,59200.0,2026-02-17 09:00:47,5.0,91.624,23.0,1,0,1,8,0,0,0,0,1,0,0.386,0,-0.48779,0.2118,4,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=91.624, cyc_since=23.0, cum_primary_no_response=1, cum_strict_no_response=0, cum_anom=0.212, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
AIII1-PW0J2TQF_aiii1,2026-01-28,2025-12-29 23:59:59.999999999,2026-01-28 23:59:59.999999999,296,28.821,0.5,8.303,236.495,17,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,44.0,49.0,5.0,5.205,0.6906,0.0676,0.3094,15.0,80.0,65.0,32.0,75.0,79.0,0.0,0.0185,0.0,0.0,0.0,56,65,28,54210.0,54130.0,54130.0,54210.0,80.0,5,0,0.0,,,99.01,98.87,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-01-28 23:59:59.999999999,2025-08-20 11:34:54,2026-01-28 11:18:45,54760.0,2025-08-20 11:34:54,2.0,161.517,47.0,0,0,0,10,0,0,0,0,0,0,0.0,0,0.0,-0.0,3,AC_BOUND,gauge_reset_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=161.517, cyc_since=47.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
AMALU_asanthosh,2025-05-29,2025-04-29 23:59:59.999999999,2025-05-29 23:59:59.999999999,375,29.273,0.5,8.994,93.451,23,14,4,0,0,0,0,False,WINDOW_QUALITY_OK,60.0,79.0,19.0,19.472,0.3207,0.1688,0.6793,1.0,100.0,99.0,3.0,58.0,100.0,0.0979,0.1623,0.3711,0.2662,0.2053,59,70,30,57190.0,54260.0,54260.0,57290.0,3030.0,30,11,1870.0,2025-05-28 15:49:32,77.0,100.28,95.14,5,9,2,0,14,5,8,2,0,13,5,8,2,0,13,3.0203,3,2,5,0.007938,2.1003,0.0883,0.10781,2025-05-29 23:59:59.999999999,2025-01-23 13:33:24,2025-05-29 13:27:35,54290.0,2025-05-28 15:49:32,77.0,1.341,2.0,0,0,0,1,0,0,0,0,1,0,0.0,0,0.0,-0.0,2,MOBILE_DEEP_CYCLE_NO_RESPONSE,fw_check_hint,WINDOW_NORMAL_RESPONDING,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=1.341, cyc_since=2.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=2.1, expected=3.02, observed=3, n_ok_opp=5, cluster=MOBILE_DEEP_CYCLE_NO_RESPONSE, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
AMANDELBLOO-4SM_amandelbloom,2026-05-19,2026-04-19 23:59:59.999999999,2026-05-19 23:59:59.999999999,208,28.257,0.5,7.219,291.501,11,9,3,0,0,0,0,False,WINDOW_QUALITY_OK,112.0,114.0,2.0,2.123,0.8592,0.0917,0.1408,2.0,100.0,98.0,47.35,100.0,100.0,0.0045,0.0045,0.9388,0.9033,0.8445,14,23,7,52310.0,52290.0,52290.0,52310.0,20.0,2,0,0.0,,,94.94,94.9,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,,0.0,,,2026-05-19 23:59:59.999999999,2025-01-08 11:12:54,2026-05-19 19:08:14,52370.0,2026-01-05 19:24:44,107.0,134.191,7.0,0,0,0,2,0,0,0,0,1,0,0.0,0,0.0,-0.0,0,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=134.191, cyc_since=7.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
ARAMAR-R9109T7G_aramar,2024-07-15,2024-06-15 23:59:59.999999999,2024-07-15 23:59:59.999999999,522,20.823,0.381,1.451,62.521,19,13,1,0,0,0,0,False,WINDOW_QUALITY_OK,822.0,851.0,29.0,41.781,0.5667,0.2212,0.4071,0.0,95.0,95.0,21.0,90.5,95.0,0.0097,0.0338,0.6429,0.4796,0.0,190,245,82,67420.0,68000.0,65320.0,68160.0,2840.0,47,35,2270.0,2024-07-14 15:29:03,851.0,83.86,84.58,4,6,0,0,10,1,5,0,0,6,0,5,0,0,5,3.4114,4,0,4,0.000418,3.3784,0.03717,0.03898,2024-07-15 23:59:59.999999999,2023-02-08 10:35:11,2024-07-15 09:33:12,68000.0,2024-07-14 15:29:03,851.0,1.355,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,5,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_NORMAL_RESPONDING,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=1.355, cyc_since=0.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=3.378, expected=3.411, observed=4, n_ok_opp=4, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:28Z,rolling30-v1.0,30,1,abs_ge_50mWh
