metric,key,value,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
snapshot_count,STATEFUL_NORMAL,23.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
snapshot_count,STATEFUL_WATCH,12.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
snapshot_count,STATEFUL_REVIEW,4.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
snapshot_count,STATEFUL_GAUGE_RESET_CANDIDATE,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,stateful_detection_n,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,stateless_detection_n,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,stateful_only_detection_n,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,stateless_only_detection_n,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,overlap_detection_n,0.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,action_fw_n,0.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,action_gauge_n,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,actionable_n,1.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,actionable_active_false_n,0.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,active_false_alert_rate,0.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,actionable_eff_recent_update_n,0.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
comparison,active_false_alert_rate_effective_step,0.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
lead_time_days_median,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,132.5,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
n_alerted_of_proxy,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2.0,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
