user_id,stateless_n_no_response_30d,stateless_n_responded_30d,stateless_fw_flag,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
0350LQ-PF593HRF_0350LQ,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ABUCKNER-0B0WH8_abuckner,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMS_ALLOY,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMS_JAGUAR3,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADIEHL-PF4CNVD9_adiehl,2,0,True,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AGEORGE3-4SA7W2_ageorge3,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AH-PF2PXA6R_ah,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AH-PF4KXDJ8_ah,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AIII1-PF55Q7L6_aiii1,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AIII1-PF6249QS_aiii1,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AIII1-PW0J2TQF_aiii1,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AINOW_UX,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AKOZLOWSKI-ALZD_akozlowski,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AL-SVT7_xuxru,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ALLOY-SIT_mripp,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ALLOY_FINALSVT,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMALU_asanthosh,2,3,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMANDELBLOO-4SM_amandelbloom,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMANDELBLOO-9TD_amandelbloom,1,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMANDELBLOO-VBQ_amandelbloom,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMANDELBLOOXH8H_amandelbloom,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMCCLARNON-1Z35_amcclarnon,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMCCLARNON-69JL_amcclarnon,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMCCLARNON-TSEM_amcclarnon,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMIGDOL-F67CCZ1_amigdol,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMIKAMI-F49VQPZ_amikami,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANAKAMURA8-3ZVB_anakamura8,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANDY-TH1_zuyin,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANDY_zuyin,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANIETO1-F5GNTSH_anieto1,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANODA-PF5E0G8K_anoda,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANUPT14S_avachali,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ANUP_TINY,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AOHYAMA-F3Y6JVY_aohyama,2,1,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
APARAMESWAR-G5E_aparameswara,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
APARAMESWAR-PAD_aparameswara,0,2,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ARAMAR-R9109T7G_aramar,0,4,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ARANGANATHA-8QB_aranganathan,0,2,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ASANTHOSH-9S10E_asanthosh,0,0,False,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
