feature,weight,weight_std,kind,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
recent_30d_fcc_effective_changes_before_episode,0.11428,0.00857,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
recent_30d_ac_ratio_before_episode,0.01568,0.00311,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
n_samples_episode,0.00681,0.00121,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
end_rsoc,0.00231,0.00096,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
max_gap_h_episode,0.0007,0.00025,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
recent_30d_max_gap_h_before_episode,0.00049,7e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
low_to_end_duration_h,0.00037,0.00021,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
episode_duration_h,0.00026,0.00018,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
fcc_before_episode,0.00016,4e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
recent_30d_cycle_delta_before_episode,7e-05,5e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
cycle_delta_episode,5e-05,1e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
start_to_low_duration_h,4e-05,3e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
episode_depth,1e-05,1e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
low_rsoc,1e-05,1e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
band_primary_80_20_80,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
band_secondary_85_15_85,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
recent_30d_n_samples_before_episode,0.0,1e-05,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
soh_before_episode,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
recent_30d_n_80_20_80_ok_before_episode,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
recent_30d_rsoc_swing_before_episode,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
cycle_count_before_episode,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
median_gap_h_episode,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
start_rsoc,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
band_strict_90_10_90,0.0,0.0,permutation_roc_auc,2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
