user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,state_as_of_ts,first_seen_ts,last_seen_ts,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_primary_censored_since_last_fcc_change,cum_primary_ok_since_last_fcc_change,cum_primary_large_gap_since_last_fcc_change,cum_primary_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_strict_censored_since_last_fcc_change,cum_strict_ok_since_last_fcc_change,cum_strict_large_gap_since_last_fcc_change,cum_strict_response_since_last_fcc_change,cum_expected_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_log_p_all_no_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,cluster_action_hint,window_label,stateful_label,recommended_action,alert_fired,consecutive_windows_opportunity_no_response,primary_evidence,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
0350LQ-PF593HRF_0350LQ,2025-10-22,2025-09-22 23:59:59.999999999,2025-10-22 23:59:59.999999999,428,23.377,0.5,2.797,61.261,19,16,2,0,0,0,0,False,WINDOW_QUALITY_OK,4.0,7.0,3.0,3.85,0.8911,0.0364,0.1089,2.0,100.0,98.0,89.35,100.0,100.0,0.0022,0.0022,0.9783,0.9416,0.8505,32,41,16,58960.0,58850.0,58850.0,58960.0,110.0,4,1,50.0,2025-09-30 04:24:32,6.0,103.38,103.19,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,,0.0,,,2025-10-22 23:59:59.999999999,2025-08-06 10:02:35,2025-10-22 19:55:32,58910.0,2025-09-30 04:24:32,6.0,22.816,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,2,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_NORMAL_RESPONDING,STATEFUL_NORMAL,ACTION_NONE,False,0,"days_since_fcc=22.816, cyc_since=1.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ABUCKNER-0B0WH8_abuckner,2026-06-01,2026-05-02 23:59:59.999999999,2026-06-01 23:59:59.999999999,809,28.169,0.5,0.5,71.099,6,5,4,0,0,0,0,False,WINDOW_QUALITY_OK,44.0,45.0,1.0,1.065,0.9749,0.0087,0.0251,4.0,81.0,77.0,76.0,79.0,80.0,0.0062,0.0062,0.0247,0.0,0.0,14,21,7,83400.0,83380.0,83380.0,83400.0,20.0,1,0,0.0,,,92.67,92.64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-06-01 23:59:59.999999999,2024-05-06 14:27:28,2026-06-01 14:35:40,83550.0,2024-12-22 15:13:04,34.0,526.366,11.0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=526.366, cyc_since=11.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,2025-09-30,2025-08-31 23:59:59.999999999,2025-09-30 23:59:59.999999999,580,28.313,0.478,4.83,80.07,23,12,3,0,0,0,0,False,WINDOW_QUALITY_OK,45.0,54.0,9.0,9.536,0.678,0.2156,0.322,28.0,100.0,72.0,73.9,97.0,100.0,0.0,0.0,0.9099,0.7528,0.6405,192,229,97,58840.0,58710.0,58710.0,58840.0,130.0,10,0,0.0,,,103.17,102.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-09-30 23:59:59.999999999,2025-03-18 20:39:45,2025-09-30 14:30:13,59710.0,2025-03-18 20:39:45,2.0,196.139,52.0,0,0,0,2,0,0,0,0,1,0,0.0,0,0.0,-0.0,6,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=196.139, cyc_since=52.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMS_ALLOY,2025-10-08,2025-09-08 23:59:59.999999999,2025-10-08 23:59:59.999999999,12,0.26,0.5,1.519,1.529,0,0,0,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,20.0,21.0,1.0,115.482,1.0,1.0,0.0,27.0,53.0,26.0,27.55,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0,0,0,54950.0,54940.0,54940.0,54950.0,10.0,1,0,0.0,,,99.73,99.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-10-08 23:59:59.999999999,2025-01-08 15:44:58,2025-09-27 22:22:49,55130.0,2025-01-08 15:44:58,1.0,273.344,20.0,0,0,0,2,0,0,0,0,2,0,0.0,0,0.0,-0.0,-1,SPARSE_OR_REVIEW,review_hint,WINDOW_DATA_QUALITY_REVIEW,STATEFUL_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,False,0,"days_since_fcc=273.344, cyc_since=20.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=SPARSE_OR_REVIEW, quality=WINDOW_QUALITY_SHORT_OBS",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMS_JAGUAR3,2025-04-07,2025-03-08 23:59:59.999999999,2025-04-07 23:59:59.999999999,436,29.469,0.5,10.124,30.244,39,11,1,0,0,0,0,False,WINDOW_QUALITY_OK,116.0,116.0,0.0,0.0,0.9737,0.0219,0.0263,77.0,100.0,23.0,95.0,98.0,100.0,0.0,0.0,0.9922,0.9922,0.8514,6,13,3,44750.0,44750.0,44750.0,44750.0,0.0,0,0,0.0,,,78.44,78.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-04-07 23:59:59.999999999,2023-04-03 13:40:35,2025-04-07 20:11:19,44750.0,2025-01-11 12:18:49,111.0,86.487,5.0,0,0,0,3,0,0,0,0,3,0,0.0,0,0.0,-0.0,6,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL,ACTION_NONE,False,0,"days_since_fcc=86.487, cyc_since=5.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADIEHL-PF4CNVD9_adiehl,2024-01-17,2023-12-18 23:59:59.999999999,2024-01-17 23:59:59.999999999,325,29.7,0.5,5.484,195.075,16,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,55.0,64.0,9.0,9.091,0.5148,0.1344,0.4852,1.0,100.0,99.0,4.4,95.0,100.0,0.0897,0.1372,0.602,0.5499,0.4832,55,77,28,50000.0,54280.0,50000.0,54820.0,4820.0,5,4,4820.0,2024-01-16 20:54:37,63.0,87.72,95.23,2,5,2,1,8,2,4,2,1,7,2,3,2,1,6,0.4898,0,2,2,0.570179,0.244,0.62975,0.8129,2024-01-17 23:59:59.999999999,2023-05-24 14:15:44,2024-01-17 16:55:57,54280.0,2024-01-16 20:54:37,63.0,1.129,1.0,0,1,1,0,0,0,1,1,0,0,0.0,0,0.0,-0.0,5,MOBILE_DEEP_CYCLE_RESPONDING,normal_hint,WINDOW_NORMAL_RESPONDING,STATEFUL_NORMAL,ACTION_NONE,False,0,"days_since_fcc=1.129, cyc_since=1.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.244, expected=0.49, observed=0, n_ok_opp=2, cluster=MOBILE_DEEP_CYCLE_RESPONDING, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AGEORGE3-4SA7W2_ageorge3,2024-10-23,2024-09-23 23:59:59.999999999,2024-10-23 23:59:59.999999999,465,29.367,0.5,6.572,68.783,27,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,19.0,21.0,2.0,2.043,0.8608,0.0329,0.1392,17.0,100.0,83.0,74.0,100.0,100.0,0.0,0.0003,0.8699,0.8503,0.8015,29,37,15,55110.0,55110.0,55110.0,55110.0,0.0,0,0,0.0,,,100.69,100.69,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-10-23 23:59:59.999999999,2024-04-03 11:59:17,2024-10-23 17:15:06,55110.0,2024-04-21 23:20:38,8.0,185.027,13.0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,-0.0,2,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=185.027, cyc_since=13.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AH-PF2PXA6R_ah,2026-02-09,2026-01-10 23:59:59.999999999,2026-02-09 23:59:59.999999999,1383,27.535,0.5,0.5,6.753,1,0,0,0,0,0,0,False,WINDOW_QUALITY_OK,66.0,70.0,4.0,4.358,0.9437,0.0821,0.0563,57.0,100.0,43.0,88.0,100.0,100.0,0.0,0.0,0.9789,0.939,0.899,82,97,41,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-02-09 23:59:59.999999999,2025-03-03 16:22:07,2026-02-09 23:52:55,57570.0,2025-03-11 17:00:03,4.0,335.292,66.0,1,0,1,1,0,0,0,0,1,0,0.2034,0,-0.22739,0.0988,6,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=335.292, cyc_since=66.0, cum_primary_no_response=1, cum_strict_no_response=0, cum_anom=0.099, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AH-PF4KXDJ8_ah,2024-05-27,2024-04-27 23:59:59.999999999,2024-05-27 23:59:59.999999999,1528,29.978,0.5,0.5,0.904,0,0,0,0,0,0,0,False,WINDOW_QUALITY_OK,36.0,40.0,4.0,4.003,0.9737,0.1407,0.0263,30.0,100.0,70.0,78.0,100.0,100.0,0.0,0.0,0.9584,0.9197,0.7541,82,95,41,54670.0,54530.0,54530.0,54670.0,140.0,4,0,0.0,,,95.86,95.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-05-27 23:59:59.999999999,2023-10-02 13:13:32,2024-05-27 23:49:18,54670.0,2024-04-25 12:13:32,36.0,32.491,4.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,6,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_NORMAL,ACTION_NONE,False,0,"days_since_fcc=32.491, cyc_since=4.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AIII1-PF55Q7L6_aiii1,2025-10-01,2025-09-01 23:59:59.999999999,2025-10-01 23:59:59.999999999,4,0.06,0.498,0.5,0.5,0,0,0,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,40.0,40.0,0.0,0.0,0.0,0.0,1.0,61.0,75.0,14.0,61.6,67.0,74.1,0.0,0.0,0.0,0.0,0.0,0,0,1,89450.0,89450.0,89450.0,89450.0,0.0,0,0,0.0,,,102.37,102.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-10-01 23:59:59.999999999,2025-04-09 15:19:19,2025-09-02 22:34:47,89450.0,2025-04-09 15:19:19,0.0,175.362,40.0,0,0,0,15,0,0,0,0,0,0,0.0,0,0.0,-0.0,-1,SPARSE_OR_REVIEW,review_hint,WINDOW_DATA_QUALITY_REVIEW,STATEFUL_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,False,0,"days_since_fcc=175.362, cyc_since=40.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=SPARSE_OR_REVIEW, quality=WINDOW_QUALITY_SHORT_OBS",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
