user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,state_as_of_ts,first_seen_ts,last_seen_ts,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_primary_censored_since_last_fcc_change,cum_primary_ok_since_last_fcc_change,cum_primary_large_gap_since_last_fcc_change,cum_primary_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_strict_censored_since_last_fcc_change,cum_strict_ok_since_last_fcc_change,cum_strict_large_gap_since_last_fcc_change,cum_strict_response_since_last_fcc_change,cum_expected_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_log_p_all_no_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,cluster_action_hint,window_label,stateful_label,recommended_action,alert_fired,consecutive_windows_opportunity_no_response,primary_evidence,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
ABUCKNER-0B0WH8_abuckner,2026-06-01,2026-05-02 23:59:59.999999999,2026-06-01 23:59:59.999999999,809,28.169,0.5,0.5,71.099,6,5,4,0,0,0,0,False,WINDOW_QUALITY_OK,44.0,45.0,1.0,1.065,0.9749,0.0087,0.0251,4.0,81.0,77.0,76.0,79.0,80.0,0.0062,0.0062,0.0247,0.0,0.0,14,21,7,83400.0,83380.0,83380.0,83400.0,20.0,1,0,0.0,,,92.67,92.64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-06-01 23:59:59.999999999,2024-05-06 14:27:28,2026-06-01 14:35:40,83550.0,2024-12-22 15:13:04,34.0,526.366,11.0,0,0,0,5,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=526.366, cyc_since=11.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,2025-09-30,2025-08-31 23:59:59.999999999,2025-09-30 23:59:59.999999999,580,28.313,0.478,4.83,80.07,23,12,3,0,0,0,0,False,WINDOW_QUALITY_OK,45.0,54.0,9.0,9.536,0.678,0.2156,0.322,28.0,100.0,72.0,73.9,97.0,100.0,0.0,0.0,0.9099,0.7528,0.6405,192,229,97,58840.0,58710.0,58710.0,58840.0,130.0,10,0,0.0,,,103.17,102.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2025-09-30 23:59:59.999999999,2025-03-18 20:39:45,2025-09-30 14:30:13,59710.0,2025-03-18 20:39:45,2.0,196.139,52.0,0,0,0,2,0,0,0,0,1,0,0.0,0,0.0,-0.0,6,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=196.139, cyc_since=52.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AGEORGE3-4SA7W2_ageorge3,2024-10-23,2024-09-23 23:59:59.999999999,2024-10-23 23:59:59.999999999,465,29.367,0.5,6.572,68.783,27,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,19.0,21.0,2.0,2.043,0.8608,0.0329,0.1392,17.0,100.0,83.0,74.0,100.0,100.0,0.0,0.0003,0.8699,0.8503,0.8015,29,37,15,55110.0,55110.0,55110.0,55110.0,0.0,0,0,0.0,,,100.69,100.69,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2024-10-23 23:59:59.999999999,2024-04-03 11:59:17,2024-10-23 17:15:06,55110.0,2024-04-21 23:20:38,8.0,185.027,13.0,0,0,0,2,0,0,0,0,0,0,0.0,0,0.0,-0.0,2,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=185.027, cyc_since=13.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AH-PF2PXA6R_ah,2026-02-09,2026-01-10 23:59:59.999999999,2026-02-09 23:59:59.999999999,1383,27.535,0.5,0.5,6.753,1,0,0,0,0,0,0,False,WINDOW_QUALITY_OK,66.0,70.0,4.0,4.358,0.9437,0.0821,0.0563,57.0,100.0,43.0,88.0,100.0,100.0,0.0,0.0,0.9789,0.939,0.899,82,97,41,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-02-09 23:59:59.999999999,2025-03-03 16:22:07,2026-02-09 23:52:55,57570.0,2025-03-11 17:00:03,4.0,335.292,66.0,1,0,1,1,0,0,0,0,1,0,0.2034,0,-0.22739,0.0988,6,AC_BOUND,gauge_reset_hint,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=335.292, cyc_since=66.0, cum_primary_no_response=1, cum_strict_no_response=0, cum_anom=0.099, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=AC_BOUND, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AIII1-PF6249QS_aiii1,2026-05-14,2026-04-14 23:59:59.999999999,2026-05-14 23:59:59.999999999,367,28.376,0.5,11.07,64.589,23,18,4,0,0,0,0,False,WINDOW_QUALITY_OK,17.0,28.0,11.0,11.63,0.5429,0.0715,0.4571,2.0,100.0,98.0,30.0,80.0,94.0,0.0027,0.0347,0.4903,0.0776,0.056,92,113,47,59060.0,58930.0,58930.0,59060.0,130.0,11,0,0.0,,,98.43,98.22,0,5,0,0,5,0,3,0,0,3,0,1,0,0,1,0.0,0,0,0,,0.0,,,2026-05-14 23:59:59.999999999,2026-01-29 14:20:30,2026-05-13 17:00:54,59200.0,2026-02-17 09:00:47,5.0,86.624,23.0,1,0,1,8,0,0,0,0,1,0,0.3846,0,-0.48551,0.2109,2,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=86.624, cyc_since=23.0, cum_primary_no_response=1, cum_strict_no_response=0, cum_anom=0.211, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AIII1-PW0J2TQF_aiii1,2026-01-28,2025-12-29 23:59:59.999999999,2026-01-28 23:59:59.999999999,296,28.821,0.5,8.303,236.495,17,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,44.0,49.0,5.0,5.205,0.6906,0.0676,0.3094,15.0,80.0,65.0,32.0,75.0,79.0,0.0,0.0185,0.0,0.0,0.0,56,65,28,54210.0,54130.0,54130.0,54210.0,80.0,5,0,0.0,,,99.01,98.87,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,2026-01-28 23:59:59.999999999,2025-08-20 11:34:54,2026-01-28 11:18:45,54760.0,2025-08-20 11:34:54,2.0,161.517,47.0,0,0,0,10,0,0,0,0,0,0,0.0,0,0.0,-0.0,1,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=161.517, cyc_since=47.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMALU_asanthosh,2025-05-29,2025-04-29 23:59:59.999999999,2025-05-29 23:59:59.999999999,375,29.273,0.5,8.994,93.451,23,14,4,0,0,0,0,False,WINDOW_QUALITY_OK,60.0,79.0,19.0,19.472,0.3207,0.1688,0.6793,1.0,100.0,99.0,3.0,58.0,100.0,0.0979,0.1623,0.3711,0.2662,0.2053,59,70,30,57190.0,54260.0,54260.0,57290.0,3030.0,30,11,1870.0,2025-05-28 15:49:32,77.0,100.28,95.14,5,9,2,0,14,5,8,2,0,13,5,8,2,0,13,2.1987,3,2,5,0.043503,1.3615,0.14241,0.29032,2025-05-29 23:59:59.999999999,2025-01-23 13:33:24,2025-05-29 13:27:35,54290.0,2025-05-28 15:49:32,77.0,1.341,2.0,0,0,0,1,0,0,0,0,1,0,0.0,0,0.0,-0.0,5,MOBILE_DEEP_CYCLE_RESPONDING,normal_hint,WINDOW_NORMAL_RESPONDING,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=1.341, cyc_since=2.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=1.361, expected=2.199, observed=3, n_ok_opp=5, cluster=MOBILE_DEEP_CYCLE_RESPONDING, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMANDELBLOO-4SM_amandelbloom,2026-05-13,2026-04-13 23:59:59.999999999,2026-05-13 23:59:59.999999999,217,20.742,0.5,8.828,114.823,12,9,3,0,0,0,0,False,WINDOW_QUALITY_OK,111.0,114.0,3.0,4.339,0.8318,0.1071,0.1682,2.0,100.0,98.0,56.2,100.0,100.0,0.0039,0.0039,0.9162,0.8827,0.8273,17,26,9,52320.0,52290.0,52290.0,52320.0,30.0,3,0,0.0,,,94.95,94.9,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,,0.0,,,2026-05-13 23:59:59.999999999,2025-01-08 11:12:54,2026-05-07 15:35:39,52370.0,2026-01-05 19:24:44,107.0,128.191,7.0,0,0,0,2,0,0,0,0,1,0,0.0,0,0.0,-0.0,2,LARGE_GAP_AMBIGUOUS,watch_hint,WINDOW_LARGE_GAP_AMBIGUOUS,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=128.191, cyc_since=7.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=0.0, expected=0.0, observed=0, n_ok_opp=0, cluster=LARGE_GAP_AMBIGUOUS, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
AMANDELBLOO-9TD_amandelbloom,2026-05-06,2026-04-06 23:59:59.999999999,2026-05-06 23:59:59.999999999,262,21.787,0.5,0.5,115.769,10,10,4,0,0,0,0,False,WINDOW_QUALITY_OK,16.0,19.0,3.0,4.131,0.6425,0.0853,0.3575,1.0,100.0,99.0,14.05,96.0,99.0,0.0569,0.0811,0.6462,0.6131,0.574,26,31,14,75620.0,75580.0,75580.0,75620.0,40.0,3,0,0.0,,,100.83,100.77,1,1,1,0,2,1,1,1,0,2,1,1,1,0,2,0.2034,0,1,1,0.79661,0.0988,1.0,1.0,2026-05-06 23:59:59.999999999,2026-01-14 13:19:27,2026-04-29 14:02:52,75730.0,2026-02-06 09:15:55,6.0,89.614,13.0,1,0,1,4,0,1,0,1,1,0,0.2034,0,-0.22739,0.0988,5,MOBILE_DEEP_CYCLE_RESPONDING,normal_hint,WINDOW_OPPORTUNITY_NO_RESPONSE,STATEFUL_WATCH,ACTION_WATCH,False,3,"days_since_fcc=89.614, cyc_since=13.0, cum_primary_no_response=1, cum_strict_no_response=1, cum_anom=0.099, win_anom=0.099, expected=0.203, observed=0, n_ok_opp=1, cluster=MOBILE_DEEP_CYCLE_RESPONDING, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
APARAMESWAR-PAD_aparameswara,2024-11-26,2024-10-27 23:59:59.999999999,2024-11-26 23:59:59.999999999,903,29.45,0.5,0.501,60.571,15,12,2,0,0,0,0,False,WINDOW_QUALITY_OK,86.0,101.0,15.0,15.28,0.7863,0.1113,0.2137,1.0,100.0,99.0,17.0,100.0,100.0,0.0427,0.0664,0.7601,0.7319,0.7131,75,103,38,47960.0,47040.0,46490.0,49580.0,3090.0,23,8,1950.0,2024-11-24 18:51:25,99.0,87.68,86.0,2,6,0,0,8,2,6,0,0,8,2,6,0,0,8,1.4167,2,0,2,0.083333,1.0792,0.18987,0.34194,2024-11-26 23:59:59.999999999,2024-04-09 11:19:29,2024-11-26 14:33:46,47110.0,2024-11-24 18:51:25,99.0,2.214,2.0,0,0,0,1,0,0,0,0,1,0,0.0,0,0.0,-0.0,5,MOBILE_DEEP_CYCLE_RESPONDING,normal_hint,WINDOW_NORMAL_RESPONDING,STATEFUL_WATCH,ACTION_WATCH,False,0,"days_since_fcc=2.214, cyc_since=2.0, cum_primary_no_response=0, cum_strict_no_response=0, cum_anom=-0.0, win_anom=1.079, expected=1.417, observed=2, n_ok_opp=2, cluster=MOBILE_DEEP_CYCLE_RESPONDING, quality=WINDOW_QUALITY_OK",2026-06-08T06:25:06Z,rolling30-v1.0,30,7,abs_ge_50mWh
