response_window_h,gap_rule,n_opportunities,n_responded,n_no_response,n_censored,response_rate_complete,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
24,6h,30677,5496,25097,84,0.1796,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
24,12h,32228,5708,26429,91,0.1776,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
24,24h,33781,5924,27758,99,0.1759,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
24,graded,33563,5887,27579,97,0.1759,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
72,6h,30677,8145,22324,208,0.2673,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
72,12h,32228,8497,23512,219,0.2655,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
72,24h,33781,8834,24712,235,0.2633,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
72,graded,33563,8781,24549,233,0.2635,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
168,6h,30677,11294,18913,470,0.3739,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
168,12h,32228,11808,19924,496,0.3721,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
168,24h,33781,12283,20977,521,0.3693,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
168,graded,33563,12208,20841,514,0.3694,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
