population,group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,population_n,small_population_warning,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
FW_CORE,batt_fru,5B11M90056,10,5,0.5,0.3719,0.1503,0.6278,0.00013,0.00281,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W13975,26,9,0.3462,0.3073,0.1589,0.4798,1e-05,0.00029,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90051,8,2,0.25,0.1864,0.031,0.4374,0.07887,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W51875,5,1,0.2,0.1384,0.0077,0.4099,0.26781,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W13973,30,4,0.1333,0.1249,0.0382,0.2527,0.0997,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56407,6,1,0.1667,0.1247,0.0069,0.3744,0.31225,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11K07737,7,1,0.1429,0.1136,0.0062,0.3444,0.35404,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W13974,19,2,0.1053,0.0979,0.0153,0.2445,0.31946,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11H56403,22,2,0.0909,0.0867,0.0134,0.2181,0.38737,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90097,23,2,0.087,0.0835,0.0129,0.2105,0.40943,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90098,19,1,0.0526,0.0547,0.0028,0.1748,0.69774,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56384,19,1,0.0526,0.0547,0.0028,0.1748,0.69774,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56383,23,1,0.0435,0.0467,0.0024,0.15,0.76603,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M37553,23,1,0.0435,0.0467,0.0024,0.15,0.76603,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90125,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56397,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90171,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W51883,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90164,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90106,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56412,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56406,5,0,0.0,0.0292,0.0,0.1885,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,L24B4PE2,6,0,0.0,0.0264,0.0,0.1706,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11M90101@,6,0,0.0,0.0264,0.0,0.1706,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90169,6,0,0.0,0.0264,0.0,0.1706,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56401,6,0,0.0,0.0264,0.0,0.1706,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11M90101,7,0,0.0,0.024,0.0,0.1557,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90105,7,0,0.0,0.024,0.0,0.1557,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56402,7,0,0.0,0.024,0.0,0.1557,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90121,7,0,0.0,0.024,0.0,0.1557,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90167,8,0,0.0,0.022,0.0,0.1433,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11M90102,8,0,0.0,0.022,0.0,0.1433,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90135,8,0,0.0,0.022,0.0,0.1433,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90129,10,0,0.0,0.0189,0.0,0.1235,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M37552,10,0,0.0,0.0189,0.0,0.1235,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56385,10,0,0.0,0.0189,0.0,0.1235,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90163,12,0,0.0,0.0166,0.0,0.1085,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90161,13,0,0.0,0.0156,0.0,0.1023,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90099,14,0,0.0,0.0147,0.0,0.0967,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11H56404,14,0,0.0,0.0147,0.0,0.0967,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56386,14,0,0.0,0.0147,0.0,0.0967,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90160,15,0,0.0,0.014,0.0,0.0918,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90162,20,0,0.0,0.0111,0.0,0.073,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90100,25,0,0.0,0.0092,0.0,0.0606,1.0,1.0,0.0603,49,False,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
