user_id,first_alert_date,last_obs_date,n_alert_transitions,max_consecutive_no_response_windows,lead_time_days,final_label,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
ABUCKNER-0B0WH8_abuckner,2024-12-06,2026-06-01,16,24,542,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,2025-05-17,2025-10-02,5,191,138,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ADAMS_ALLOY,2025-03-09,2025-10-10,3,88,215,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ADAMS_JAGUAR3,2023-06-02,2025-04-11,12,118,679,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AGEORGE3-4SA7W2_ageorge3,2024-06-20,2024-10-24,5,95,126,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AH-PF2PXA6R_ah,2025-05-10,2026-02-11,10,308,277,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AH-PF4KXDJ8_ah,2024-02-04,2024-05-29,2,46,115,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AIII1-PF6249QS_aiii1,2026-05-13,2026-05-19,1,7,6,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMANDELBLOO-4SM_amandelbloom,2026-04-27,2026-05-19,1,23,22,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMANDELBLOO-9TD_amandelbloom,2026-04-07,2026-05-12,2,64,35,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMANDELBLOO-VBQ_amandelbloom,2023-12-23,2024-11-27,1,44,340,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMCCLARNON-1Z35_amcclarnon,2024-06-03,2024-06-06,1,15,3,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMCCLARNON-TSEM_amcclarnon,2025-07-27,2025-11-19,2,51,115,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMIKAMI-F49VQPZ_amikami,2023-05-19,2024-12-09,11,34,570,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANAKAMURA8-3ZVB_anakamura8,2023-04-10,2026-05-19,26,334,1135,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANDY-TH1_zuyin,2024-07-12,2026-03-24,3,11,620,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANDY_zuyin,2024-02-26,2024-05-08,3,38,72,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANIETO1-F5GNTSH_anieto1,2025-07-05,2026-03-17,2,101,255,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANUPT14S_avachali,2024-06-03,2025-11-11,11,181,526,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANUP_TINY,2024-06-03,2025-11-04,11,181,519,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
APARAMESWAR-G5E_aparameswara,2023-10-07,2023-11-08,1,35,32,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
ATOKYO-PF3TQD0N_atokyo,2023-04-07,2024-07-16,16,35,466,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AVACHALI-4SM98Q_avachali,2024-06-03,2025-11-12,11,181,527,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
AVON_SIT2,2026-04-11,2026-05-15,1,51,34,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BDILLON-F4RV0ZR_bdillon,2024-03-29,2025-09-13,6,84,533,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BDILLON-F58TDBM_bdillon,2025-05-19,2026-04-29,8,291,345,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BDILLON-F62WZTG_bdillon,2026-03-23,2026-04-28,2,90,36,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BFALEIRO-5C6ATS_bfaleiro,2025-03-30,2026-05-16,5,63,412,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BKOCHUPARAM-BR2_bkochuparamb,2026-05-17,2026-05-26,1,37,9,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BMIAO-PF4CFQ04_bmiao,2023-09-26,2023-11-13,2,23,48,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BOB_Libra2.1-ELP2-SVT34,2025-03-03,2025-07-03,4,23,122,REVIEW_INSUFFICIENT_DATA,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BRYAN_X1,2023-06-03,2025-10-08,21,136,858,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CARBON9TH_Dexter,2023-05-28,2024-06-07,11,328,376,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CARLLAPTOP_CarlWu,2023-07-04,2024-07-15,6,114,377,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CBLACKBURN-TSG2_cblackburn,2025-08-01,2026-05-18,1,56,290,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CCHEN50-F3PD01M_cchen50,2023-04-14,2024-10-18,8,82,553,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CFERLAND-0DYS2P_cferland,2025-01-04,2025-05-21,5,121,137,NORMAL_OR_RESPONDING,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
