user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,expected_response_30d_personalized,observed_response_30d_personalized,no_response_count_30d_personalized,n_complete_ok_opportunities_30d_personalized,p_all_no_response_30d_personalized,fw_response_anomaly_score_30d_personalized,conformal_p_personalized,state_as_of_ts,first_seen_ts,last_seen_ts,state_history_days,state_history_sufficient,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_effective_fcc_change,cycles_since_effective_fcc_change,effective_active_flag,last_any_fcc_value,last_any_fcc_change_ts,last_any_fcc_change_cycle,days_since_any_fcc_change,cycles_since_any_fcc_change,legacy_any_active_flag,n_micro_steps_since_effective_change,max_micro_step_mWh_since_effective_change,micro_wobble_only_since_effective_change,cum_primary_ok_opportunities_since_last_effective_change,cum_primary_medium_gap_opportunities_since_last_effective_change,cum_primary_large_gap_opportunities_since_last_effective_change,cum_primary_ok_no_response_since_last_effective_change,cum_primary_medium_gap_no_response_since_last_effective_change,cum_primary_no_response_since_last_effective_change,cum_primary_censored_since_last_effective_change,cum_strict_ok_opportunities_since_last_effective_change,cum_strict_medium_gap_opportunities_since_last_effective_change,cum_strict_large_gap_opportunities_since_last_effective_change,cum_strict_ok_no_response_since_last_effective_change,cum_strict_medium_gap_no_response_since_last_effective_change,cum_strict_no_response_since_last_effective_change,cum_strict_censored_since_last_effective_change,high_quality_no_response_count,censored_count,large_gap_low_quality_count,observed_effective_responses_since_last_effective_change,cum_expected_normative_response,cum_observed_effective_response,cum_log_p_all_no_response_since_last_effective_change,cum_normative_fw_anomaly_score,cumulative_normative_fw_anomaly_score,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,stateful_label_v2,window_label_v2,recommended_action,confidence,priority,primary_reason,secondary_reasons,evidence_summary,user_message_template,engineering_message_template,would_have_been_label,fw_like_evidence_flag,gauge_like_evidence_flag,micro_wobble_only_flag,large_gap_dominant_flag,censored_dominant_flag,state_history_insufficient_flag,data_quality_review_flag,alert_fired,consecutive_windows_opportunity_no_response,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
MHAGI-PF3YCK6H_mhagi,2025-01-13,2024-12-14 23:59:59.999999999,2025-01-13 23:59:59.999999999,1098,29.468,0.5,0.5,25.497,10,8,3,0,0,0,0,False,WINDOW_QUALITY_OK,315.0,322.0,7.0,7.126,0.9245,0.2261,0.0755,6.0,100.0,94.0,69.0,97.0,100.0,0.0007,0.0016,0.9102,0.8244,0.6737,70,106,35,51030.0,51030.0,51030.0,51030.0,0.0,0,0,0.0,,,89.53,89.53,7,0,7,4,11,0,0,0,0,0,0,1,0,0,1,3.15,0,7,7,0.015224,1.8175,0.31582,0.28541,3.5,0,7,7,0.007813,2.1072,0.31582,2025-01-13 23:59:59.999999999,2023-02-04 14:18:25,2025-01-13 11:18:36,709.404,True,51030.0,2023-06-03 23:03:56,69.0,590.039,253.0,False,51030.0,2023-06-03 23:03:56,69.0,590.039,253.0,False,0,0.0,False,276,0,0,272,0,272,4,10,3,5,10,3,13,0,272,4,0,0,122.4,0,-162.61166,70.6213,70.6213,590.039,253.0,272,13,0,70.6213,3,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=590 days_any=590 cyc_eff=253 hq_nr=272 total_nr=272 cens=4 lg_opp=0 opp=294 norm_anom=70.62 conf_p=0.316 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 272 high-quality discharge+recharge learning opportunities since the last effective FCC change (590d ago) produced no FCC relearning step (272 high-quality + 10 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,357,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
IMIHO-PF2SCRY9_imiho,2024-10-09,2024-09-09 23:59:59.999999999,2024-10-09 23:59:59.999999999,477,29.279,0.5,0.5,110.943,17,17,4,0,0,0,0,False,WINDOW_QUALITY_OK,265.0,272.0,7.0,7.172,0.8615,0.1397,0.1385,32.0,100.0,68.0,69.8,99.0,100.0,0.0,0.0,0.9149,0.8624,0.8041,62,77,31,51480.0,51480.0,51480.0,51480.0,0.0,0,0,0.0,,,101.94,101.94,4,2,4,1,7,0,0,0,0,0,0,0,0,0,0,2.25,0,5,5,0.050328,1.2982,0.48168,0.44777,2.5,0,5,5,0.03125,1.5051,0.48168,2024-10-09 23:59:59.999999999,2023-02-13 09:15:58,2024-10-09 15:46:21,604.614,True,51480.0,2023-02-13 09:15:58,113.0,604.614,159.0,False,51480.0,2023-02-13 09:15:58,113.0,604.614,159.0,False,0,0.0,False,156,18,15,155,17,172,2,0,0,2,0,0,0,0,155,2,15,0,77.4,0,-102.82796,44.6576,44.6576,604.614,159.0,172,0,0,44.6576,5,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=605 days_any=605 cyc_eff=159 hq_nr=155 total_nr=172 cens=2 lg_opp=15 opp=191 norm_anom=44.66 conf_p=0.482 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 155 high-quality discharge+recharge learning opportunities since the last effective FCC change (604d ago) produced no FCC relearning step (155 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,87,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
YSUZUKI11-9S4B8_ysuzuki11,2024-06-26,2024-05-27 23:59:59.999999999,2024-06-26 23:59:59.999999999,833,29.016,0.5,0.5,62.47,19,7,2,0,0,0,0,False,WINDOW_QUALITY_OK,206.0,220.0,14.0,14.475,0.9727,0.4626,0.0273,35.0,100.0,65.0,83.6,99.0,100.0,0.0,0.0,0.9771,0.9498,0.8546,62,176,31,39370.0,39370.0,39370.0,39370.0,0.0,0,0,0.0,,,100.18,100.18,4,0,4,1,5,0,0,0,0,0,0,0,0,0,0,1.8,0,4,4,0.091506,1.0385,0.58528,0.55423,2.0,0,4,4,0.0625,1.2041,0.58528,2024-06-26 23:59:59.999999999,2023-02-03 17:49:21,2024-06-26 07:42:42,509.257,True,39370.0,2023-02-13 13:05:46,5.0,499.454,215.0,False,39370.0,2023-02-13 13:05:46,5.0,499.454,215.0,False,0,0.0,False,150,3,1,149,3,152,1,0,0,2,0,0,0,0,149,1,1,0,68.4,0,-90.87122,39.4649,39.4649,499.454,215.0,152,0,0,39.4649,3,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=499 days_any=499 cyc_eff=215 hq_nr=149 total_nr=152 cens=1 lg_opp=1 opp=156 norm_anom=39.46 conf_p=0.585 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 149 high-quality discharge+recharge learning opportunities since the last effective FCC change (499d ago) produced no FCC relearning step (149 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,470,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CARBON9TH_Dexter,2024-06-07,2024-05-08 23:59:59.999999999,2024-06-07 23:59:59.999999999,463,29.242,0.5,4.977,70.289,22,19,3,0,0,0,0,False,WINDOW_QUALITY_OK,426.0,433.0,7.0,7.181,0.8277,0.2679,0.1723,17.0,100.0,83.0,67.1,98.0,100.0,0.0,0.0016,0.9387,0.8869,0.7805,52,133,26,49140.0,49140.0,49140.0,49140.0,0.0,0,0,0.0,,,86.13,86.13,3,0,3,3,6,0,0,0,0,0,0,0,0,0,0,1.35,0,3,3,0.166375,0.7789,0.70435,0.67541,1.5,0,3,3,0.125,0.9031,0.70435,2024-06-07 23:59:59.999999999,2023-02-04 11:14:49,2024-06-07 09:10:29,489.531,True,49160.0,2023-06-16 18:31:34,283.0,357.228,150.0,False,49140.0,2023-07-10 16:06:29,294.0,333.329,139.0,False,1,20.0,True,124,4,0,121,4,125,3,0,0,3,0,0,0,0,121,3,0,0,56.25,0,-74.72963,32.4547,32.4547,357.228,150.0,125,0,0,32.4547,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;micro_wobble,days_eff=357 days_any=333 cyc_eff=150 hq_nr=121 total_nr=125 cens=3 lg_opp=0 opp=131 norm_anom=32.45 conf_p=0.704 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 121 high-quality discharge+recharge learning opportunities since the last effective FCC change (357d ago) produced no FCC relearning step (121 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,True,False,False,False,False,False,328,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
TNAKAMURA8-CRZW_tnakamura8,2025-06-12,2025-05-13 23:59:59.999999999,2025-06-12 23:59:59.999999999,798,29.467,0.5,1.701,47.812,19,10,4,0,0,0,0,False,WINDOW_QUALITY_OK,662.0,673.0,11.0,11.199,0.7262,0.137,0.2738,31.0,100.0,69.0,65.85,99.0,100.0,0.0,0.0,0.9209,0.8302,0.6612,156,216,78,45370.0,45370.0,45370.0,45370.0,0.0,0,0,0.0,,,79.6,79.6,10,1,10,3,14,0,0,0,0,0,0,0,0,0,0,4.5,0,10,10,0.002533,2.5964,0.14604,0.12231,5.0,0,10,10,0.000977,3.0103,0.14604,2025-06-12 23:59:59.999999999,2023-02-10 14:03:19,2025-06-12 11:45:15,853.414,True,45370.0,2024-07-19 01:22:36,565.0,328.943,108.0,False,45370.0,2024-07-19 01:22:36,565.0,328.943,108.0,False,0,0.0,False,124,3,4,121,3,124,3,4,1,9,4,1,5,0,121,3,4,0,55.8,0,-74.13179,32.195,32.195,328.943,108.0,124,5,0,32.195,5,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=329 days_any=329 cyc_eff=108 hq_nr=121 total_nr=124 cens=3 lg_opp=4 opp=145 norm_anom=32.20 conf_p=0.146 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 121 high-quality discharge+recharge learning opportunities since the last effective FCC change (328d ago) produced no FCC relearning step (121 high-quality + 4 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,299,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
LAPTOP-STAV4QJC_PQM,2023-12-28,2023-11-28 23:59:59.999999999,2023-12-28 23:59:59.999999999,369,29.267,0.5,5.742,93.33,18,8,5,0,0,0,0,False,WINDOW_QUALITY_OK,130.0,145.0,15.0,15.376,0.4354,0.2733,0.5646,1.0,100.0,99.0,22.0,81.0,100.0,0.0581,0.0735,0.5085,0.3928,0.2705,93,128,47,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,8,0,8,2,10,0,0,0,0,0,0,1,0,0,1,4.05,0,9,9,0.004605,2.3367,0.1914,0.1649,4.5,0,9,9,0.001953,2.7093,0.1914,2023-12-28 23:59:59.999999999,2023-03-05 21:06:10,2023-12-28 08:46:33,298.121,True,57570.0,2023-03-05 21:06:10,25.0,298.121,120.0,False,57570.0,2023-03-05 21:06:10,25.0,298.121,120.0,False,0,0.0,False,124,1,9,122,1,123,2,0,0,2,0,0,0,0,122,2,9,0,55.35,0,-73.53395,31.9354,31.9354,298.121,120.0,123,0,0,31.9354,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like,days_eff=298 days_any=298 cyc_eff=120 hq_nr=122 total_nr=123 cens=2 lg_opp=9 opp=136 norm_anom=31.94 conf_p=0.191 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 122 high-quality discharge+recharge learning opportunities since the last effective FCC change (298d ago) produced no FCC relearning step (122 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,False,False,False,False,False,False,291,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
MARUICHIT-CRC21_MARUICHIT,2026-05-20,2026-04-20 23:59:59.999999999,2026-05-20 23:59:59.999999999,175,27.979,0.5,1.481,230.756,8,8,5,0,0,0,0,False,WINDOW_QUALITY_OK,149.0,152.0,3.0,3.217,0.866,0.2657,0.134,0.0,100.0,100.0,40.7,97.0,100.0,0.0058,0.0115,0.8632,0.8312,0.6891,18,43,9,50680.0,50680.0,50680.0,50680.0,0.0,0,0,0.0,,,88.91,88.91,3,1,3,2,6,0,0,0,0,0,0,1,0,0,1,1.35,0,3,3,0.166375,0.7789,0.70435,0.67541,1.5,0,3,3,0.125,0.9031,0.70435,2026-05-20 23:59:59.999999999,2023-02-09 12:07:55,2026-05-20 09:48:24,1196.495,True,50680.0,2024-09-09 22:56:17,99.0,618.044,53.0,False,50680.0,2024-09-09 22:56:17,99.0,618.044,53.0,False,0,0.0,False,104,5,1,102,5,107,2,0,0,3,0,0,0,0,102,2,1,0,48.15,0,-63.96856,27.7812,27.7812,618.044,53.0,107,0,0,27.7812,3,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=618 days_any=618 cyc_eff=53 hq_nr=102 total_nr=107 cens=2 lg_opp=1 opp=113 norm_anom=27.78 conf_p=0.704 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 102 high-quality discharge+recharge learning opportunities since the last effective FCC change (618d ago) produced no FCC relearning step (102 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,490,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
IMANARANG1-3A19_imanarang1,2025-09-01,2025-08-02 23:59:59.999999999,2025-09-01 23:59:59.999999999,390,28.006,0.5,0.5,87.132,19,19,4,0,0,0,0,False,WINDOW_QUALITY_OK,379.0,383.0,4.0,4.285,0.8804,0.0547,0.1196,19.0,100.0,81.0,95.0,98.0,100.0,0.0,0.0019,0.9905,0.9881,0.8276,24,58,12,35430.0,35430.0,35430.0,35430.0,0.0,0,0,0.0,,,90.15,90.15,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.45,0,1,1,0.55,0.2596,1.0,1.0,0.5,0,1,1,0.5,0.301,1.0,2025-09-01 23:59:59.999999999,2023-02-20 16:54:54,2025-09-01 08:35:29,924.295,True,35430.0,2023-09-15 15:07:24,160.0,717.37,223.0,False,35430.0,2023-09-15 15:07:24,160.0,717.37,223.0,False,0,0.0,False,95,8,4,95,8,103,0,0,0,13,0,0,0,0,95,0,4,0,46.35,0,-61.57721,26.7426,26.7426,717.37,223.0,103,0,0,26.7426,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like,days_eff=717 days_any=717 cyc_eff=223 hq_nr=95 total_nr=103 cens=0 lg_opp=4 opp=120 norm_anom=26.74 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 95 high-quality discharge+recharge learning opportunities since the last effective FCC change (717d ago) produced no FCC relearning step (95 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,False,False,False,False,False,False,29,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
MNAKABAYASH-XPZ_mnakabayashi1,2026-05-27,2026-04-27 23:59:59.999999999,2026-05-27 23:59:59.999999999,111,9.26,0.5,13.829,61.768,7,7,2,0,0,0,0,False,WINDOW_QUALITY_OK,187.0,188.0,1.0,3.24,0.8932,0.1328,0.1068,2.0,100.0,98.0,33.5,99.0,100.0,0.0383,0.046,0.8744,0.8596,0.8366,10,13,5,51880.0,51880.0,51880.0,51880.0,0.0,0,0,0.0,,,90.94,90.94,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2026-05-27 23:59:59.999999999,2023-07-04 16:26:51,2026-05-27 14:45:46,1058.315,True,51880.0,2024-03-21 13:33:25,91.0,797.435,97.0,False,51880.0,2024-03-21 13:33:25,91.0,797.435,97.0,False,0,0.0,False,81,14,9,80,14,94,1,0,0,6,0,0,0,0,80,1,9,0,42.3,0,-56.19668,24.4059,24.4059,797.435,97.0,94,0,0,24.4059,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_CENSORED_PENDING,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like,days_eff=797 days_any=797 cyc_eff=97 hq_nr=80 total_nr=94 cens=1 lg_opp=9 opp=110 norm_anom=24.41 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 80 high-quality discharge+recharge learning opportunities since the last effective FCC change (797d ago) produced no FCC relearning step (80 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,False,False,False,False,False,False,0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
CHIKARA7-3PAB5T_chikara7,2024-07-29,2024-06-29 23:59:59.999999999,2024-07-29 23:59:59.999999999,213,28.911,0.498,11.228,191.632,17,8,5,0,0,0,0,False,WINDOW_QUALITY_OK,297.0,302.0,5.0,5.188,0.5262,0.1372,0.4738,17.0,80.0,63.0,28.6,76.0,80.0,0.0,0.0192,0.0,0.0,0.0,62,70,31,48080.0,48080.0,48080.0,48080.0,0.0,0,0,0.0,,,84.28,84.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-07-29 23:59:59.999999999,2023-02-06 10:28:56,2024-07-29 16:38:14,539.563,True,48080.0,2023-02-06 10:28:56,80.0,539.563,222.0,False,48080.0,2023-02-06 10:28:56,80.0,539.563,222.0,False,0,0.0,False,84,7,2,84,7,91,0,0,0,1,0,0,0,0,84,0,2,0,40.95,0,-54.40317,23.627,23.627,539.563,222.0,91,0,0,23.627,2,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like,days_eff=540 days_any=540 cyc_eff=222 hq_nr=84 total_nr=91 cens=0 lg_opp=2 opp=94 norm_anom=23.63 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 84 high-quality discharge+recharge learning opportunities since the last effective FCC change (539d ago) produced no FCC relearning step (84 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,False,False,False,False,False,False,0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
