user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,expected_response_30d_personalized,observed_response_30d_personalized,no_response_count_30d_personalized,n_complete_ok_opportunities_30d_personalized,p_all_no_response_30d_personalized,fw_response_anomaly_score_30d_personalized,conformal_p_personalized,state_as_of_ts,first_seen_ts,last_seen_ts,state_history_days,state_history_sufficient,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_effective_fcc_change,cycles_since_effective_fcc_change,effective_active_flag,last_any_fcc_value,last_any_fcc_change_ts,last_any_fcc_change_cycle,days_since_any_fcc_change,cycles_since_any_fcc_change,legacy_any_active_flag,n_micro_steps_since_effective_change,max_micro_step_mWh_since_effective_change,micro_wobble_only_since_effective_change,cum_primary_ok_opportunities_since_last_effective_change,cum_primary_medium_gap_opportunities_since_last_effective_change,cum_primary_large_gap_opportunities_since_last_effective_change,cum_primary_ok_no_response_since_last_effective_change,cum_primary_medium_gap_no_response_since_last_effective_change,cum_primary_no_response_since_last_effective_change,cum_primary_censored_since_last_effective_change,cum_strict_ok_opportunities_since_last_effective_change,cum_strict_medium_gap_opportunities_since_last_effective_change,cum_strict_large_gap_opportunities_since_last_effective_change,cum_strict_ok_no_response_since_last_effective_change,cum_strict_medium_gap_no_response_since_last_effective_change,cum_strict_no_response_since_last_effective_change,cum_strict_censored_since_last_effective_change,high_quality_no_response_count,censored_count,large_gap_low_quality_count,observed_effective_responses_since_last_effective_change,cum_expected_normative_response,cum_observed_effective_response,cum_log_p_all_no_response_since_last_effective_change,cum_normative_fw_anomaly_score,cumulative_normative_fw_anomaly_score,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,stateful_label_v2,window_label_v2,recommended_action,confidence,priority,primary_reason,secondary_reasons,evidence_summary,user_message_template,engineering_message_template,would_have_been_label,fw_like_evidence_flag,gauge_like_evidence_flag,micro_wobble_only_flag,large_gap_dominant_flag,censored_dominant_flag,state_history_insufficient_flag,data_quality_review_flag,alert_fired,consecutive_windows_opportunity_no_response,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
EWALLACE-5AM7XJ_ewallace,2026-05-29,2026-04-29 23:59:59.999999999,2026-05-29 23:59:59.999999999,280,28.992,0.5,17.399,118.446,23,21,4,0,0,0,0,False,WINDOW_QUALITY_OK,19.0,23.0,4.0,4.139,0.7853,0.1468,0.2147,2.0,100.0,98.0,70.9,100.0,100.0,0.0032,0.0032,0.9381,0.8616,0.7192,58,81,29,60810.0,60750.0,60750.0,60810.0,60.0,4,0,0.0,,,106.68,106.58,6,0,6,0,6,0,0,0,0,0,0,1,0,0,1,2.7,0,6,6,0.027681,1.5578,0.39139,0.35882,3.0,0,6,6,0.015625,1.8062,0.39139,2026-05-29 23:59:59.999999999,2026-02-05 17:19:13,2026-05-29 09:28:33,113.278,True,61040.0,2026-02-12 14:01:09,4.0,106.416,19.0,False,60750.0,2026-05-26 10:51:22,23.0,3.548,0.0,True,19,20.0,True,27,0,0,27,0,27,0,0,0,1,0,0,0,0,27,0,0,0,12.15,0,-16.1416,7.0102,7.0102,106.416,19.0,27,0,0,7.0102,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble,days_eff=106 days_any=4 cyc_eff=19 hq_nr=27 total_nr=27 cens=0 lg_opp=0 opp=28 norm_anom=7.01 conf_p=0.391 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 7.01, 27 no_response since last effective change (106d ago).",,True,False,True,False,False,False,False,False,77,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
L14G5I_Richard,2024-06-27,2024-05-28 23:59:59.999999999,2024-06-27 23:59:59.999999999,304,29.094,0.5,16.004,62.595,22,21,7,0,0,0,0,False,WINDOW_QUALITY_OK,16.0,23.0,7.0,7.218,0.6143,0.5963,0.3857,34.0,100.0,66.0,41.15,100.0,100.0,0.0,0.0,0.6917,0.6434,0.6045,43,52,22,47480.0,47400.0,47400.0,47480.0,80.0,7,0,0.0,,,102.11,101.94,6,0,6,2,8,0,0,0,0,0,0,0,0,0,0,2.7,0,6,6,0.027681,1.5578,0.39139,0.35882,3.0,0,6,6,0.015625,1.8062,0.39139,2024-06-27 23:59:59.999999999,2024-03-18 14:12:26,2024-06-27 12:35:35,101.408,True,47640.0,2024-03-18 14:12:26,2.0,101.408,21.0,False,47400.0,2024-06-23 21:55:26,23.0,4.087,0.0,True,21,20.0,True,25,1,1,23,1,24,2,0,0,0,0,0,0,0,23,2,1,0,10.8,0,-14.34809,6.2313,6.2313,101.408,21.0,24,0,0,6.2313,1,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble,days_eff=101 days_any=4 cyc_eff=21 hq_nr=23 total_nr=24 cens=2 lg_opp=1 opp=27 norm_anom=6.23 conf_p=0.391 micro_only=True cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 6.23, 24 no_response since last effective change (101d ago).",,True,False,True,False,False,False,False,False,80,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
SHIGE_MS2ARL,2025-08-26,2025-07-27 23:59:59.999999999,2025-08-26 23:59:59.999999999,155,29.623,0.5,17.773,305.606,17,10,6,0,0,0,0,False,WINDOW_QUALITY_OK,24.0,29.0,5.0,5.064,0.4192,0.1947,0.5808,38.0,100.0,62.0,46.4,86.0,100.0,0.0,0.0,0.6303,0.4106,0.2992,37,44,19,59290.0,59180.0,59180.0,59290.0,110.0,6,0,0.0,,,103.96,103.77,5,1,5,1,7,0,0,0,0,0,0,0,0,0,0,2.25,0,5,5,0.050328,1.2982,0.48168,0.44777,2.5,0,5,5,0.03125,1.5051,0.48168,2025-08-26 23:59:59.999999999,2025-05-13 10:48:07,2025-08-26 16:27:18,105.55,True,59670.0,2025-05-13 10:48:07,1.0,105.55,28.0,False,59180.0,2025-08-26 11:53:15,29.0,0.505,0.0,True,33,40.0,True,23,2,4,22,2,24,1,0,0,0,0,0,0,0,22,1,4,0,10.8,0,-14.34809,6.2313,6.2313,105.55,28.0,24,0,0,6.2313,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble,days_eff=106 days_any=1 cyc_eff=28 hq_nr=22 total_nr=24 cens=1 lg_opp=4 opp=29 norm_anom=6.23 conf_p=0.482 micro_only=True cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 6.23, 24 no_response since last effective change (105d ago).",,True,False,True,False,False,False,False,False,42,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
X9ALADDIN-NAITO_arima,2025-09-08,2025-08-09 23:59:59.999999999,2025-09-08 23:59:59.999999999,141,29.304,0.5,23.517,88.823,28,23,6,0,0,0,0,False,WINDOW_QUALITY_OK,21.0,26.0,5.0,5.119,0.2689,0.1717,0.7311,6.0,100.0,94.0,13.0,81.0,100.0,0.0154,0.0512,0.4537,0.3497,0.2769,26,33,14,81080.0,81080.0,81080.0,81080.0,0.0,0,0,0.0,,,101.35,101.35,6,0,6,0,6,0,0,0,0,0,0,1,0,0,1,2.7,0,6,6,0.027681,1.5578,0.39139,0.35882,3.0,0,6,6,0.015625,1.8062,0.39139,2025-09-08 23:59:59.999999999,2025-01-31 13:21:20,2025-09-08 16:58:47,220.444,True,81080.0,2025-01-31 13:21:20,2.0,220.444,24.0,False,81080.0,2025-01-31 13:21:20,2.0,220.444,24.0,False,0,0.0,False,24,0,1,24,0,24,0,0,0,4,0,0,0,0,24,0,1,0,10.8,0,-14.34809,6.2313,6.2313,220.444,24.0,24,0,0,6.2313,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=220 days_any=220 cyc_eff=24 hq_nr=24 total_nr=24 cens=0 lg_opp=1 opp=29 norm_anom=6.23 conf_p=0.391 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 6.23, 24 no_response since last effective change (220d ago).",,True,False,False,False,False,False,False,False,21,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
LAPTOP-J9M9N0H9_X9-14,2025-06-05,2025-05-06 23:59:59.999999999,2025-06-05 23:59:59.999999999,199,28.505,0.5,15.44,122.608,22,12,5,0,0,0,0,False,WINDOW_QUALITY_OK,16.0,20.0,4.0,4.21,0.6029,0.1295,0.3971,2.0,100.0,98.0,33.6,96.0,100.0,0.0255,0.0331,0.7859,0.743,0.5507,39,54,20,54970.0,54920.0,54920.0,54970.0,50.0,4,0,0.0,,,99.76,99.67,4,0,4,1,5,0,0,0,0,0,0,1,0,0,1,1.8,0,4,4,0.091506,1.0385,0.58528,0.55423,2.0,0,4,4,0.0625,1.2041,0.58528,2025-06-05 23:59:59.999999999,2025-01-13 15:47:37,2025-06-05 20:53:47,143.342,True,55130.0,2025-01-13 15:47:37,0.0,143.342,20.0,False,54920.0,2025-06-04 22:28:12,20.0,1.064,0.0,True,18,20.0,True,21,2,0,20,2,22,1,0,0,2,0,0,0,0,20,1,0,0,9.9,0,-13.15241,5.712,5.712,143.342,20.0,22,0,0,5.712,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble,days_eff=143 days_any=1 cyc_eff=20 hq_nr=20 total_nr=22 cens=1 lg_opp=0 opp=25 norm_anom=5.71 conf_p=0.585 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 5.71, 22 no_response since last effective change (143d ago).",,True,False,True,False,False,False,False,False,93,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
LAPTOP-VHFOHP1Q_Neal,2026-04-24,2026-03-25 23:59:59.999999999,2026-04-24 23:59:59.999999999,1067,29.377,0.5,0.5,63.799,7,6,3,0,0,0,0,False,WINDOW_QUALITY_OK,43.0,47.0,4.0,4.085,0.9488,0.0237,0.0512,45.0,100.0,55.0,89.0,100.0,100.0,0.0,0.0,0.9739,0.9569,0.9324,52,82,26,50290.0,50230.0,50230.0,50290.0,60.0,4,0,0.0,,,91.94,91.83,3,0,3,1,4,0,0,0,0,0,0,0,0,0,0,1.8,0,4,4,0.091506,1.0385,0.58528,0.55423,2.0,0,4,4,0.0625,1.2041,0.58528,2026-04-24 23:59:59.999999999,2025-07-08 00:39:06,2026-04-24 09:23:22,290.973,True,50590.0,2025-11-11 09:41:12,24.0,164.596,23.0,False,50230.0,2026-04-24 09:23:22,47.0,0.609,0.0,True,23,20.0,True,23,0,0,22,0,22,1,0,0,1,0,0,0,0,22,1,0,0,9.9,0,-13.15241,5.712,5.712,164.596,23.0,22,0,0,5.712,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;gauge_like;micro_wobble,days_eff=165 days_any=1 cyc_eff=23 hq_nr=22 total_nr=22 cens=1 lg_opp=0 opp=24 norm_anom=5.71 conf_p=0.585 micro_only=True cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 5.71, 22 no_response since last effective change (164d ago).",,True,True,True,False,False,False,False,False,135,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
BDILLON-F62WZTG_bdillon,2026-04-28,2026-03-29 23:59:59.999999999,2026-04-28 23:59:59.999999999,1118,29.383,0.5,0.816,13.438,15,1,0,0,0,0,0,False,WINDOW_QUALITY_OK,17.0,25.0,8.0,8.168,0.8479,0.1513,0.1521,40.0,100.0,60.0,82.85,99.0,100.0,0.0,0.0,0.9702,0.8861,0.8057,154,232,77,59840.0,59750.0,59750.0,59840.0,90.0,8,0,0.0,,,99.73,99.58,4,0,4,1,5,0,0,0,0,0,0,0,0,0,0,1.8,0,4,4,0.091506,1.0385,0.58528,0.55423,2.0,0,4,4,0.0625,1.2041,0.58528,2026-04-28 23:59:59.999999999,2026-01-22 10:10:58,2026-04-28 09:40:16,96.576,True,60000.0,2026-01-22 10:10:58,0.0,96.576,25.0,False,59750.0,2026-04-27 20:28:19,25.0,1.147,0.0,True,22,20.0,True,20,2,0,19,2,21,1,0,0,0,0,0,0,0,19,1,0,0,9.45,0,-12.55458,5.4524,5.4524,96.576,25.0,21,0,0,5.4524,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble,days_eff=97 days_any=1 cyc_eff=25 hq_nr=19 total_nr=21 cens=1 lg_opp=0 opp=22 norm_anom=5.45 conf_p=0.585 micro_only=True cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 5.45, 21 no_response since last effective change (96d ago).",,True,False,True,False,False,False,False,False,90,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
Y25872-PC2DR71X_y25872,2026-05-28,2026-04-28 23:59:59.999999999,2026-05-28 23:59:59.999999999,373,29.381,0.5,8.035,58.311,34,12,6,0,0,0,0,False,WINDOW_QUALITY_OK,150.0,154.0,4.0,4.084,0.6014,0.1014,0.3942,68.0,100.0,32.0,87.0,100.0,100.0,0.0,0.0,0.9722,0.9121,0.7406,65,82,33,45370.0,45370.0,45370.0,45370.0,0.0,0,0,0.0,,,79.6,79.6,4,0,4,2,6,0,0,0,0,0,0,0,0,0,0,2.25,0,5,5,0.050328,1.2982,0.48168,0.44777,2.5,0,5,5,0.03125,1.5051,0.48168,2026-05-28 23:59:59.999999999,2023-02-06 09:31:46,2026-05-28 09:18:27,1207.603,True,45370.0,2026-03-03 07:18:03,140.0,86.696,14.0,False,45370.0,2026-03-03 07:18:03,140.0,86.696,14.0,False,0,0.0,False,23,0,0,21,0,21,2,0,0,2,0,0,0,0,21,2,0,0,9.45,0,-12.55458,5.4524,5.4524,86.696,14.0,21,0,0,5.4524,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=87 days_any=87 cyc_eff=14 hq_nr=21 total_nr=21 cens=2 lg_opp=0 opp=25 norm_anom=5.45 conf_p=0.482 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 5.45, 21 no_response since last effective change (86d ago).",,True,False,False,False,False,False,False,False,58,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
DJR-PF3R8T3C_djr,2025-04-10,2025-03-11 23:59:59.999999999,2025-04-10 23:59:59.999999999,447,29.142,0.5,8.605,54.876,25,13,4,0,0,0,0,False,WINDOW_QUALITY_OK,59.0,65.0,6.0,6.177,0.783,0.146,0.217,45.0,100.0,55.0,74.3,97.0,100.0,0.0,0.0,0.8968,0.8038,0.6142,63,116,32,53070.0,53070.0,53070.0,53070.0,0.0,0,0,0.0,,,93.11,93.11,4,0,4,2,6,0,0,0,0,0,0,0,0,0,0,1.8,0,4,4,0.091506,1.0385,0.58528,0.55423,2.0,0,4,4,0.0625,1.2041,0.58528,2025-04-10 23:59:59.999999999,2023-02-08 21:53:10,2025-04-10 08:08:22,792.088,True,53070.0,2025-01-15 17:57:58,49.0,85.251,16.0,False,53070.0,2025-01-15 17:57:58,49.0,85.251,16.0,False,0,0.0,False,20,1,0,18,1,19,2,0,0,0,0,0,0,0,18,2,0,0,8.55,0,-11.3589,4.9331,4.9331,85.251,16.0,19,0,0,4.9331,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=85 days_any=85 cyc_eff=16 hq_nr=18 total_nr=19 cens=2 lg_opp=0 opp=21 norm_anom=4.93 conf_p=0.585 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 4.93, 19 no_response since last effective change (85d ago).",,True,False,False,False,False,False,False,False,56,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
KILLEBREW,2026-04-27,2026-03-28 23:59:59.999999999,2026-04-27 23:59:59.999999999,455,29.241,0.5,5.86,72.061,23,10,4,0,0,0,0,False,WINDOW_QUALITY_OK,228.0,241.0,13.0,13.337,0.7803,0.1795,0.2197,25.0,100.0,75.0,55.0,98.0,100.0,0.0,0.0,0.8494,0.7836,0.7017,105,142,53,46140.0,46140.0,46140.0,46140.0,0.0,0,0,0.0,,,84.3,84.3,9,0,9,2,11,0,0,0,0,0,0,0,0,0,0,4.05,0,9,9,0.004605,2.3367,0.1914,0.1649,4.5,0,9,9,0.001953,2.7093,0.1914,2026-04-27 23:59:59.999999999,2023-05-02 14:12:48,2026-04-27 15:03:27,1091.408,True,46140.0,2026-02-10 09:42:24,216.0,76.596,25.0,False,46140.0,2026-02-10 09:42:24,216.0,76.596,25.0,False,0,0.0,False,21,0,0,19,0,19,2,0,0,0,0,0,0,0,19,2,0,0,8.55,0,-11.3589,4.9331,4.9331,76.596,25.0,19,0,0,4.9331,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=77 days_any=77 cyc_eff=25 hq_nr=19 total_nr=19 cens=2 lg_opp=0 opp=21 norm_anom=4.93 conf_p=0.191 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 4.93, 19 no_response since last effective change (76d ago).",,True,False,False,False,False,False,False,False,47,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
