fw_core_days,fw_core_cycles,fw_core_anomaly,n_fw_core,n_gauge_core,jaccard_fw_core_vs_default,jaccard_gauge_core_vs_default,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
60.0,20.0,1.3,62,0,0.7903,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,20.0,2.0,62,0,0.7903,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,20.0,3.0,62,0,0.7903,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,30.0,1.3,49,0,1.0,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,30.0,2.0,49,0,1.0,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,30.0,3.0,49,0,1.0,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,50.0,1.3,32,0,0.6531,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,50.0,2.0,32,0,0.6531,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
60.0,50.0,3.0,32,0,0.6531,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,20.0,1.3,60,0,0.8167,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,20.0,2.0,60,0,0.8167,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,20.0,3.0,60,0,0.8167,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,30.0,1.3,49,0,1.0,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,30.0,2.0,49,0,1.0,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,30.0,3.0,49,0,1.0,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,50.0,1.3,32,0,0.6531,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,50.0,2.0,32,0,0.6531,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
90.0,50.0,3.0,32,0,0.6531,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,20.0,1.3,46,0,0.6964,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,20.0,2.0,46,0,0.6964,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,20.0,3.0,46,0,0.6964,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,30.0,1.3,39,0,0.7959,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,30.0,2.0,39,0,0.7959,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,30.0,3.0,39,0,0.7959,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,50.0,1.3,30,0,0.6122,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,50.0,2.0,30,0,0.6122,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
120.0,50.0,3.0,30,0,0.6122,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,20.0,1.3,32,0,0.5882,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,20.0,2.0,32,0,0.5882,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,20.0,3.0,32,0,0.5882,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,30.0,1.3,30,0,0.6122,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,30.0,2.0,30,0,0.6122,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,30.0,3.0,30,0,0.6122,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,50.0,1.3,24,0,0.4898,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,50.0,2.0,24,0,0.4898,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
180.0,50.0,3.0,24,0,0.4898,1.0,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
