score_col,proxy_label,N,hits,precision_at_N,recall_at_N,total_proxy_pos,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,10,9,0.9,0.2571,35,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,20,17,0.85,0.4857,35,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,30,20,0.6667,0.5714,35,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,50,27,0.54,0.7714,35,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,100,33,0.33,0.9429,35,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,10,1,0.1,0.1,10,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,20,1,0.05,0.1,10,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,30,1,0.0333,0.1,10,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,50,2,0.04,0.2,10,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,100,8,0.08,0.8,10,2026-07-08T17:46:07Z,rolling30-od2.0,30,1,abs_ge_50mWh
