user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,expected_response_30d_personalized,observed_response_30d_personalized,no_response_count_30d_personalized,n_complete_ok_opportunities_30d_personalized,p_all_no_response_30d_personalized,fw_response_anomaly_score_30d_personalized,conformal_p_personalized,state_as_of_ts,first_seen_ts,last_seen_ts,state_history_days,state_history_sufficient,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_effective_fcc_change,cycles_since_effective_fcc_change,effective_active_flag,last_any_fcc_value,last_any_fcc_change_ts,last_any_fcc_change_cycle,days_since_any_fcc_change,cycles_since_any_fcc_change,legacy_any_active_flag,n_micro_steps_since_effective_change,max_micro_step_mWh_since_effective_change,micro_wobble_only_since_effective_change,cum_primary_ok_opportunities_since_last_effective_change,cum_primary_medium_gap_opportunities_since_last_effective_change,cum_primary_large_gap_opportunities_since_last_effective_change,cum_primary_ok_no_response_since_last_effective_change,cum_primary_medium_gap_no_response_since_last_effective_change,cum_primary_no_response_since_last_effective_change,cum_primary_censored_since_last_effective_change,cum_strict_ok_opportunities_since_last_effective_change,cum_strict_medium_gap_opportunities_since_last_effective_change,cum_strict_large_gap_opportunities_since_last_effective_change,cum_strict_ok_no_response_since_last_effective_change,cum_strict_medium_gap_no_response_since_last_effective_change,cum_strict_no_response_since_last_effective_change,cum_strict_censored_since_last_effective_change,high_quality_no_response_count,censored_count,large_gap_low_quality_count,observed_effective_responses_since_last_effective_change,cum_expected_normative_response,cum_observed_effective_response,cum_log_p_all_no_response_since_last_effective_change,cum_normative_fw_anomaly_score,cumulative_normative_fw_anomaly_score,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,stateful_label_v2,window_label_v2,recommended_action,confidence,priority,primary_reason,secondary_reasons,evidence_summary,user_message_template,engineering_message_template,would_have_been_label,fw_like_evidence_flag,gauge_like_evidence_flag,micro_wobble_only_flag,large_gap_dominant_flag,censored_dominant_flag,state_history_insufficient_flag,data_quality_review_flag,alert_fired,consecutive_windows_opportunity_no_response,queue_norm_anomaly,queue_primary_no_response,fw_engineering_rank,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
AH-PF2PXA6R_ah,2026-02-11,2026-01-12 23:59:59.999999999,2026-02-11 23:59:59.999999999,1462,29.181,0.5,0.5,6.753,1,0,0,0,0,0,0,False,WINDOW_QUALITY_OK,66.0,70.0,4.0,4.112,0.9468,0.0775,0.0532,57.0,100.0,43.0,88.0,100.0,100.0,0.0,0.0,0.9801,0.9424,0.9047,82,97,41,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,4,0,4,1,5,0,0,0,0,0,0,0,0,0,0,1.8,0,4,4,0.091506,1.0385,0.64286,0.59131,2.0,0,4,4,0.0625,1.2041,0.64286,2026-02-11 23:59:59.999999999,2025-03-03 16:22:07,2026-02-11 15:22:54,345.318,True,57570.0,2025-03-11 17:00:03,4.0,337.292,66.0,False,57570.0,2025-03-11 17:00:03,4.0,337.292,66.0,False,0,0.0,False,87,1,0,86,1,87,1,0,0,1,0,0,0,0,86,1,0,0,39.15,0,-52.01182,22.5884,22.5884,337.292,66.0,87,0,0,22.5884,5,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=337 days_any=337 cyc_eff=66 hq_nr=86 total_nr=87 cens=1 lg_opp=0 opp=89 norm_anom=22.59 conf_p=0.643 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 86 high-quality discharge+recharge learning opportunities since the last effective FCC change (337d ago) produced no FCC relearning step (86 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,308,22.5884,87,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,2025-10-02,2025-09-02 23:59:59.999999999,2025-10-02 23:59:59.999999999,566,29.254,0.485,5.41,80.07,25,13,3,0,0,0,0,False,WINDOW_QUALITY_OK,45.0,54.0,9.0,9.229,0.6743,0.1979,0.3257,28.0,100.0,72.0,72.0,97.0,100.0,0.0,0.0,0.911,0.7432,0.6344,192,225,96,58830.0,58690.0,58690.0,58830.0,140.0,10,0,0.0,,,103.16,102.91,7,2,7,0,9,0,0,0,0,0,0,0,0,0,0,3.15,0,7,7,0.015224,1.8175,0.3388,0.24358,3.5,0,7,7,0.007813,2.1072,0.3388,2025-10-02 23:59:59.999999999,2025-03-18 20:39:45,2025-10-02 08:42:07,198.139,True,59710.0,2025-03-18 20:39:45,2.0,198.139,52.0,False,58690.0,2025-10-01 10:03:25,54.0,1.581,0.0,True,76,40.0,True,52,2,1,52,1,53,1,0,0,0,0,0,0,0,52,1,1,0,23.85,0,-31.68536,13.7608,13.7608,198.139,52.0,53,0,0,13.7608,3,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like;micro_wobble,days_eff=198 days_any=2 cyc_eff=52 hq_nr=52 total_nr=53 cens=1 lg_opp=1 opp=55 norm_anom=13.76 conf_p=0.339 micro_only=True cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 52 high-quality discharge+recharge learning opportunities since the last effective FCC change (198d ago) produced no FCC relearning step (52 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,True,False,False,False,False,False,191,13.7608,53,2,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ADAMS_ALLOY,2025-10-10,2025-09-10 23:59:59.999999999,2025-10-10 23:59:59.999999999,14,12.921,0.5,122.45,303.832,1,1,1,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,20.0,21.0,1.0,2.322,1.0,0.9942,0.0,27.0,94.0,67.0,27.65,53.0,93.35,0.0,0.0,0.0058,0.0058,0.0,0,2,0,54950.0,54940.0,54940.0,54950.0,10.0,1,0,0.0,,,99.73,99.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-10-10 23:59:59.999999999,2025-01-08 15:44:58,2025-10-10 14:15:36,275.344,True,55130.0,2025-01-08 15:44:58,1.0,275.344,20.0,False,54940.0,2025-09-27 16:48:43,21.0,13.3,0.0,True,16,20.0,True,24,1,1,24,1,25,0,0,0,1,0,0,0,0,24,0,1,0,11.25,0,-14.94593,6.4909,6.4909,275.344,20.0,25,0,0,6.4909,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=275 days_any=13 cyc_eff=20 hq_nr=24 total_nr=25 cens=0 lg_opp=1 opp=27 norm_anom=6.49 conf_p=1 micro_only=True cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,False,True,False,0,6.4909,25,3,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANIETO1-F5GNTSH_anieto1,2026-03-17,2026-02-15 23:59:59.999999999,2026-03-17 23:59:59.999999999,1,0.0,,,0.0,0,0,0,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,17.0,17.0,0.0,0.0,,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,,,0,0,0,56750.0,56750.0,56750.0,56750.0,0.0,0,0,0.0,,,99.56,99.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2026-03-17 23:59:59.999999999,2025-05-06 14:13:15,2026-03-17 07:57:38,315.407,True,57000.0,2025-05-06 14:13:15,0.0,315.407,17.0,False,56750.0,2025-09-16 11:33:44,17.0,182.518,0.0,False,16,20.0,True,19,1,1,19,1,20,0,0,0,0,0,0,0,0,19,0,1,0,9.0,0,-11.95674,5.1927,5.1927,315.407,17.0,20,0,0,5.1927,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=315 days_any=183 cyc_eff=17 hq_nr=19 total_nr=20 cens=0 lg_opp=1 opp=21 norm_anom=5.19 conf_p=1 micro_only=True cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,False,True,False,0,5.1927,20,4,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ALLOY_FINALSVT,2025-07-25,2025-06-25 23:59:59.999999999,2025-07-25 23:59:59.999999999,665,25.986,0.5,0.501,37.484,21,13,4,0,0,0,0,False,WINDOW_QUALITY_OK,31.0,36.0,5.0,5.772,0.8156,0.1015,0.1845,25.0,100.0,75.0,76.2,100.0,100.0,0.0,0.0,0.9166,0.8539,0.7883,67,88,35,54580.0,54520.0,54520.0,54580.0,60.0,5,0,0.0,,,99.06,98.95,7,1,7,0,8,0,0,0,0,0,0,0,0,0,0,3.15,0,7,7,0.015224,1.8175,0.3388,0.24358,3.5,0,7,7,0.007813,2.1072,0.3388,2025-07-25 23:59:59.999999999,2025-04-14 23:54:41,2025-07-25 08:31:28,102.004,True,54650.0,2025-06-03 14:06:38,25.0,52.412,11.0,True,54520.0,2025-07-24 21:59:07,36.0,1.084,0.0,True,11,20.0,True,13,2,0,13,2,15,0,0,0,0,0,0,0,0,13,0,0,0,6.75,0,-8.96756,3.8946,3.8946,52.412,11.0,15,0,0,3.8946,3,AC_BOUND,STATEFUL_WATCH_LOW_EVIDENCE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_MONITOR_NEXT_WINDOW,low,8,weak_partial_evidence,fw_like;micro_wobble,days_eff=52 days_any=1 cyc_eff=11 hq_nr=13 total_nr=15 cens=0 lg_opp=0 opp=15 norm_anom=3.89 conf_p=0.339 micro_only=True cluster=AC_BOUND,No user-facing action; monitoring.,Ambiguous/weak evidence (52d since effective change); monitor next window.,,True,False,True,False,False,False,False,False,23,3.8946,15,5,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AGEORGE3-4SA7W2_ageorge3,2024-10-24,2024-09-24 23:59:59.999999999,2024-10-24 23:59:59.999999999,440,28.978,0.5,6.953,68.783,27,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,19.0,21.0,2.0,2.071,0.8619,0.0307,0.1381,17.0,100.0,83.0,72.0,100.0,100.0,0.0,0.0003,0.864,0.8436,0.7944,28,35,14,55110.0,55110.0,55110.0,55110.0,0.0,0,0,0.0,,,100.69,100.69,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0.45,0,1,1,0.55,0.2596,1.0,1.0,0.5,0,1,1,0.5,0.301,1.0,2024-10-24 23:59:59.999999999,2024-04-03 11:59:17,2024-10-24 09:00:42,204.5,True,55110.0,2024-04-21 23:20:38,8.0,186.027,13.0,False,55110.0,2024-04-21 23:20:38,8.0,186.027,13.0,False,0,0.0,False,13,0,1,11,0,11,2,0,0,0,0,0,0,0,11,2,1,0,4.95,0,-6.57621,2.856,2.856,186.027,13.0,11,0,0,2.856,3,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;gauge_like,days_eff=186 days_any=186 cyc_eff=13 hq_nr=11 total_nr=11 cens=2 lg_opp=1 opp=14 norm_anom=2.86 conf_p=1 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.86, 11 no_response since last effective change (186d ago).",,True,True,False,False,False,False,False,False,95,2.856,11,6,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMIKAMI-F49VQPZ_amikami,2024-12-09,2024-11-09 23:59:59.999999999,2024-12-09 23:59:59.999999999,372,27.997,0.5,6.524,87.272,19,18,4,0,0,0,0,False,WINDOW_QUALITY_OK,125.0,130.0,5.0,5.358,0.8704,0.1266,0.1296,46.0,100.0,54.0,69.1,98.0,100.0,0.0,0.0,0.9351,0.8968,0.7906,67,95,34,57770.0,57770.0,57770.0,57770.0,0.0,0,0,0.0,,,101.26,101.26,10,0,10,1,11,0,0,0,0,0,0,0,0,0,0,4.5,0,10,10,0.002533,2.5964,0.18177,0.07482,5.0,0,10,10,0.000977,3.0103,0.18177,2024-12-09 23:59:59.999999999,2023-03-20 16:34:52,2024-12-09 09:52:57,630.309,True,57770.0,2024-11-07 12:59:19,125.0,32.459,5.0,True,57770.0,2024-11-07 12:59:19,125.0,32.459,5.0,True,0,0.0,False,12,0,0,11,0,11,1,0,0,0,0,0,0,0,11,1,0,0,4.95,0,-6.57621,2.856,2.856,32.459,5.0,11,0,0,2.856,3,AC_BOUND,STATEFUL_WATCH_LOW_EVIDENCE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_MONITOR_NEXT_WINDOW,low,8,weak_partial_evidence,fw_like,days_eff=32 days_any=32 cyc_eff=5 hq_nr=11 total_nr=11 cens=1 lg_opp=0 opp=12 norm_anom=2.86 conf_p=0.182 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,Ambiguous/weak evidence (32d since effective change); monitor next window.,,True,False,False,False,False,False,False,False,3,2.856,11,7,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AH-PF4KXDJ8_ah,2024-05-29,2024-04-29 23:59:59.999999999,2024-05-29 23:59:59.999999999,1520,29.494,0.5,0.5,0.904,0,0,0,0,0,0,0,False,WINDOW_QUALITY_OK,36.0,41.0,5.0,5.086,0.9701,0.1474,0.0299,30.0,100.0,70.0,78.0,100.0,100.0,0.0,0.0,0.9569,0.9162,0.7428,92,108,46,54670.0,54500.0,54500.0,54670.0,170.0,5,0,0.0,,,95.86,95.56,7,0,7,3,10,0,0,0,0,0,0,0,0,0,0,3.15,0,7,7,0.015224,1.8175,0.3388,0.24358,3.5,0,7,7,0.007813,2.1072,0.3388,2024-05-29 23:59:59.999999999,2023-10-02 13:13:32,2024-05-29 12:11:38,240.449,True,54670.0,2024-04-25 12:13:32,36.0,34.491,5.0,True,54500.0,2024-05-28 15:52:13,41.0,1.339,0.0,True,5,40.0,True,11,0,0,8,0,8,3,0,0,0,0,0,0,0,8,3,0,0,3.6,0,-4.7827,2.0771,2.0771,34.491,5.0,8,0,0,2.0771,5,AC_BOUND,STATEFUL_WATCH_LOW_EVIDENCE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_MONITOR_NEXT_WINDOW,low,8,weak_partial_evidence,fw_like;micro_wobble,days_eff=34 days_any=1 cyc_eff=5 hq_nr=8 total_nr=8 cens=3 lg_opp=0 opp=11 norm_anom=2.08 conf_p=0.339 micro_only=True cluster=AC_BOUND,No user-facing action; monitoring.,Ambiguous/weak evidence (34d since effective change); monitor next window.,,True,False,True,False,False,False,False,False,5,2.0771,8,8,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMANDELBLOO-4SM_amandelbloom,2026-05-19,2026-04-19 23:59:59.999999999,2026-05-19 23:59:59.999999999,208,28.257,0.5,7.219,291.501,11,9,3,0,0,0,0,False,WINDOW_QUALITY_OK,112.0,114.0,2.0,2.123,0.8592,0.0917,0.1408,2.0,100.0,98.0,47.35,100.0,100.0,0.0045,0.0045,0.9388,0.9033,0.8445,14,23,7,52310.0,52290.0,52290.0,52310.0,20.0,2,0,0.0,,,94.94,94.9,3,0,3,0,3,0,0,0,0,0,0,1,0,0,1,1.35,0,3,3,0.166375,0.7789,0.75459,0.72004,1.5,0,3,3,0.125,0.9031,0.75459,2026-05-19 23:59:59.999999999,2025-01-08 11:12:54,2026-05-19 19:08:14,496.533,True,52370.0,2026-01-05 19:24:44,107.0,134.191,7.0,False,52290.0,2026-04-27 13:47:34,114.0,22.425,0.0,True,7,20.0,True,6,0,0,6,0,6,0,0,0,1,0,0,0,0,6,0,0,0,2.7,0,-3.58702,1.5578,1.5578,134.191,7.0,6,0,0,1.5578,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble,days_eff=134 days_any=22 cyc_eff=7 hq_nr=6 total_nr=6 cens=0 lg_opp=0 opp=7 norm_anom=1.56 conf_p=0.755 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 1.56, 6 no_response since last effective change (134d ago).",,True,False,True,False,False,False,False,False,23,1.5578,6,9,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANDY_zuyin,2024-05-08,2024-04-08 23:59:59.999999999,2024-05-08 23:59:59.999999999,213,29.722,0.5,7.871,277.111,13,6,4,0,0,0,0,False,WINDOW_QUALITY_OK,114.0,115.0,1.0,1.009,0.7363,0.0686,0.2637,90.0,100.0,10.0,94.0,97.0,100.0,0.0,0.0,1.0,0.9965,0.7575,53,62,27,51750.0,51750.0,51750.0,51750.0,0.0,0,0,0.0,,,90.71,90.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-05-08 23:59:59.999999999,2023-12-28 16:41:29,2024-05-08 19:12:32,132.305,True,51750.0,2023-12-28 16:41:29,101.0,132.305,14.0,False,51750.0,2023-12-28 16:41:29,101.0,132.305,14.0,False,0,0.0,False,5,1,0,5,1,6,0,0,0,0,0,0,0,0,5,0,0,0,2.7,0,-3.58702,1.5578,1.5578,132.305,14.0,6,0,0,1.5578,3,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;gauge_like,days_eff=132 days_any=132 cyc_eff=14 hq_nr=5 total_nr=6 cens=0 lg_opp=0 opp=6 norm_anom=1.56 conf_p=1 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 1.56, 6 no_response since last effective change (132d ago).",,True,True,False,False,False,False,False,False,0,1.5578,6,10,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
