user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,expected_response_30d_personalized,observed_response_30d_personalized,no_response_count_30d_personalized,n_complete_ok_opportunities_30d_personalized,p_all_no_response_30d_personalized,fw_response_anomaly_score_30d_personalized,conformal_p_personalized,state_as_of_ts,first_seen_ts,last_seen_ts,state_history_days,state_history_sufficient,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_effective_fcc_change,cycles_since_effective_fcc_change,effective_active_flag,last_any_fcc_value,last_any_fcc_change_ts,last_any_fcc_change_cycle,days_since_any_fcc_change,cycles_since_any_fcc_change,legacy_any_active_flag,n_micro_steps_since_effective_change,max_micro_step_mWh_since_effective_change,micro_wobble_only_since_effective_change,cum_primary_ok_opportunities_since_last_effective_change,cum_primary_medium_gap_opportunities_since_last_effective_change,cum_primary_large_gap_opportunities_since_last_effective_change,cum_primary_ok_no_response_since_last_effective_change,cum_primary_medium_gap_no_response_since_last_effective_change,cum_primary_no_response_since_last_effective_change,cum_primary_censored_since_last_effective_change,cum_strict_ok_opportunities_since_last_effective_change,cum_strict_medium_gap_opportunities_since_last_effective_change,cum_strict_large_gap_opportunities_since_last_effective_change,cum_strict_ok_no_response_since_last_effective_change,cum_strict_medium_gap_no_response_since_last_effective_change,cum_strict_no_response_since_last_effective_change,cum_strict_censored_since_last_effective_change,high_quality_no_response_count,censored_count,large_gap_low_quality_count,observed_effective_responses_since_last_effective_change,cum_expected_normative_response,cum_observed_effective_response,cum_log_p_all_no_response_since_last_effective_change,cum_normative_fw_anomaly_score,cumulative_normative_fw_anomaly_score,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,stateful_label_v2,window_label_v2,recommended_action,confidence,priority,primary_reason,secondary_reasons,evidence_summary,user_message_template,engineering_message_template,would_have_been_label,fw_like_evidence_flag,gauge_like_evidence_flag,micro_wobble_only_flag,large_gap_dominant_flag,censored_dominant_flag,state_history_insufficient_flag,data_quality_review_flag,alert_fired,consecutive_windows_opportunity_no_response,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
ADAMS_ALLOY,2025-10-10,2025-09-10 23:59:59.999999999,2025-10-10 23:59:59.999999999,14,12.921,0.5,122.45,303.832,1,1,1,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,20.0,21.0,1.0,2.322,1.0,0.9942,0.0,27.0,94.0,67.0,27.65,53.0,93.35,0.0,0.0,0.0058,0.0058,0.0,0,2,0,54950.0,54940.0,54940.0,54950.0,10.0,1,0,0.0,,,99.73,99.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-10-10 23:59:59.999999999,2025-01-08 15:44:58,2025-10-10 14:15:36,275.344,True,55130.0,2025-01-08 15:44:58,1.0,275.344,20.0,False,54940.0,2025-09-27 16:48:43,21.0,13.3,0.0,True,16,20.0,True,24,1,1,24,1,25,0,0,0,1,0,0,0,0,24,0,1,0,11.25,0,-14.94593,6.4909,6.4909,275.344,20.0,25,0,0,6.4909,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=275 days_any=13 cyc_eff=20 hq_nr=24 total_nr=25 cens=0 lg_opp=1 opp=27 norm_anom=6.49 conf_p=1 micro_only=True cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,False,True,False,0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AIII1-PF55Q7L6_aiii1,2025-12-08,2025-11-08 23:59:59.999999999,2025-12-08 23:59:59.999999999,2,0.002,0.054,0.054,0.054,0,0,0,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,40.0,40.0,0.0,0.0,0.0,0.0,1.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,1,1,1,89450.0,89450.0,89450.0,89450.0,0.0,0,0,0.0,,,102.37,102.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-12-08 23:59:59.999999999,2025-04-09 15:19:19,2025-12-08 11:38:03,243.362,True,89450.0,2025-04-09 15:19:19,0.0,243.362,40.0,False,89450.0,2025-04-09 15:19:19,0.0,243.362,40.0,False,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,-0.0,-0.0,243.362,40.0,0,0,0,-0.0,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,,days_eff=243 days_any=243 cyc_eff=40 hq_nr=0 total_nr=0 cens=0 lg_opp=0 opp=0 norm_anom=-0.00 conf_p=1 micro_only=False cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=NONE). Collect more data or manual review.,NONE,False,False,False,False,False,False,True,False,0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AINOW_UX,2025-12-29,2025-11-29 23:59:59.999999999,2025-12-29 23:59:59.999999999,396,7.264,0.163,0.5,65.21,2,2,1,0,0,0,0,False,WINDOW_QUALITY_OK,5.0,7.0,2.0,8.26,0.7214,0.106,0.2786,2.0,100.0,98.0,44.75,97.0,100.0,0.0264,0.0399,0.7581,0.6952,0.6217,22,37,12,58580.0,58560.0,58560.0,58580.0,20.0,2,0,0.0,,,101.0,100.97,1,0,1,2,3,0,0,0,0,0,0,1,0,0,1,0.9,0,2,2,0.3025,0.5193,0.87048,0.85013,1.0,0,2,2,0.25,0.6021,0.87048,2025-12-29 23:59:59.999999999,2025-12-22 10:35:29,2025-12-29 16:55:49,7.559,False,58580.0,2025-12-22 10:35:29,5.0,7.559,2.0,False,58560.0,2025-12-24 16:48:07,7.0,5.3,0.0,False,2,10.0,True,3,0,0,1,0,1,2,0,1,0,0,0,0,1,1,2,0,0,0.45,0,-0.59784,0.2596,0.2596,7.559,2.0,1,0,0,0.2596,4,MOBILE_DEEP_CYCLE,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=8 days_any=5 cyc_eff=2 hq_nr=1 total_nr=1 cens=2 lg_opp=0 opp=4 norm_anom=0.26 conf_p=0.87 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_WATCH_LIKE). Collect more data or manual review.,FW_WATCH_LIKE,True,False,True,False,False,True,False,False,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AKOZLOWSKI-ALZD_akozlowski,2026-06-01,2026-05-02 23:59:59.999999999,2026-06-01 23:59:59.999999999,346,27.947,0.5,11.926,63.066,26,17,4,0,0,0,0,False,WINDOW_QUALITY_OK,1.0,15.0,14.0,15.028,0.2547,0.1632,0.7453,2.0,100.0,98.0,23.0,60.0,100.0,0.0212,0.0401,0.2987,0.2095,0.1638,60,85,30,75010.0,74940.0,74940.0,75010.0,70.0,6,0,0.0,,,100.01,99.92,6,0,6,3,9,0,0,0,0,0,0,1,0,0,1,2.7,0,6,6,0.027681,1.5578,0.42065,0.33659,3.0,0,6,6,0.015625,1.8062,0.42065,2026-06-01 23:59:59.999999999,2026-05-04 15:20:52,2026-06-01 14:04:54,28.361,False,75010.0,2026-05-04 15:20:52,1.0,28.361,14.0,False,74940.0,2026-05-28 14:10:15,15.0,4.41,0.0,False,6,20.0,True,9,0,0,6,0,6,3,0,0,1,0,0,0,0,6,3,0,0,2.7,0,-3.58702,1.5578,1.5578,28.361,14.0,6,0,0,1.5578,0,MOBILE_DEEP_CYCLE,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=28 days_any=4 cyc_eff=14 hq_nr=6 total_nr=6 cens=3 lg_opp=0 opp=10 norm_anom=1.56 conf_p=0.421 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,True,False,False,21,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AL-SVT7_xuxru,2025-03-17,2025-02-15 23:59:59.999999999,2025-03-17 23:59:59.999999999,526,26.886,0.446,8.163,32.437,29,17,2,0,0,0,0,False,WINDOW_QUALITY_OK,33.0,52.0,19.0,21.2,0.3295,0.2364,0.6705,1.0,100.0,99.0,16.25,83.0,100.0,0.041,0.0651,0.4347,0.3244,0.2308,126,162,64,55310.0,54290.0,53840.0,55310.0,1470.0,22,5,1160.0,2025-03-12 10:44:32,49.0,100.38,98.53,6,1,0,2,9,0,0,0,0,0,0,3,0,0,3,2.7,4,2,6,0.027681,1.5578,0.42065,0.33659,3.0,4,2,6,0.015625,1.8062,0.42065,2025-03-17 23:59:59.999999999,2025-02-18 11:27:19,2025-03-17 08:43:27,27.523,False,54320.0,2025-03-12 10:44:32,49.0,5.552,3.0,False,54290.0,2025-03-14 13:41:17,52.0,3.43,0.0,False,3,10.0,True,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0.0,-0.0,-0.0,5.552,3.0,0,0,0,-0.0,4,MOBILE_DEEP_CYCLE,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_NORMAL_RESPONDING,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble;censored_dominant,days_eff=6 days_any=3 cyc_eff=3 hq_nr=0 total_nr=0 cens=2 lg_opp=0 opp=2 norm_anom=-0.00 conf_p=0.421 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_WATCH_LIKE). Collect more data or manual review.,FW_WATCH_LIKE,True,False,True,False,True,True,False,False,0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ALLOY-SIT_mripp,2024-12-31,2024-12-01 23:59:59.999999999,2024-12-31 23:59:59.999999999,168,28.393,0.5,19.417,199.313,16,12,7,0,0,0,0,False,WINDOW_QUALITY_OK,6.0,6.0,0.0,0.0,0.9707,0.0171,0.0293,77.0,100.0,23.0,95.0,99.0,100.0,0.0,0.0,0.9989,0.9706,0.836,8,10,4,55120.0,55120.0,55120.0,55120.0,0.0,0,0,0.0,,,100.04,100.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-12-31 23:59:59.999999999,2024-11-22 20:27:07,2024-12-31 05:26:06,39.148,False,55130.0,2024-11-22 20:27:07,5.0,39.148,1.0,False,55120.0,2024-11-25 07:00:31,6.0,36.708,0.0,False,1,10.0,True,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.45,0,-0.59784,0.2596,0.2596,39.148,1.0,1,0,0,0.2596,3,AC_BOUND,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=39 days_any=37 cyc_eff=1 hq_nr=1 total_nr=1 cens=0 lg_opp=0 opp=1 norm_anom=0.26 conf_p=1 micro_only=True cluster=AC_BOUND,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_WATCH_LIKE). Collect more data or manual review.,FW_WATCH_LIKE,True,False,True,False,False,True,False,False,0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMANDELBLOO-VBQ_amandelbloom,2024-11-27,2024-10-28 23:59:59.999999999,2024-11-27 23:59:59.999999999,12,10.003,0.174,110.842,176.656,3,3,2,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,23.0,23.0,0.0,0.0,1.0,0.7044,0.0,61.0,96.0,35.0,71.45,95.0,96.0,0.0,0.0,0.9256,0.9028,0.2956,0,2,0,52230.0,52230.0,52230.0,52230.0,0.0,0,0,0.0,,,95.48,95.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-11-27 23:59:59.999999999,2023-08-30 13:09:23,2024-11-27 10:16:47,455.452,True,52320.0,2024-01-08 13:10:07,20.0,324.451,3.0,False,52230.0,2024-04-26 12:23:59,23.0,215.483,0.0,False,3,30.0,True,2,0,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0.9,0,-1.19567,0.5193,0.5193,324.451,3.0,2,0,0,0.5193,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=324 days_any=215 cyc_eff=3 hq_nr=2 total_nr=2 cens=0 lg_opp=0 opp=3 norm_anom=0.52 conf_p=1 micro_only=True cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,False,True,False,0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMCCLARNON-69JL_amcclarnon,2024-11-06,2024-10-07 23:59:59.999999999,2024-11-06 23:59:59.999999999,667,22.186,0.5,0.5,63.651,11,10,2,0,0,0,0,False,WINDOW_QUALITY_OK,1.0,5.0,4.0,5.409,0.9034,0.0562,0.0966,0.0,100.0,100.0,61.0,100.0,100.0,0.0136,0.0196,0.9175,0.8964,0.8715,29,42,15,57950.0,57900.0,57900.0,57950.0,50.0,4,0,0.0,,,101.61,101.53,3,0,3,1,4,0,0,0,0,0,0,1,0,0,1,1.35,0,3,3,0.166375,0.7789,0.75459,0.72004,1.5,0,3,3,0.125,0.9031,0.75459,2024-11-06 23:59:59.999999999,2024-10-15 09:29:17,2024-11-06 13:57:02,22.605,False,57950.0,2024-10-15 09:29:17,1.0,22.605,4.0,False,57900.0,2024-11-04 07:01:49,5.0,2.707,0.0,False,4,20.0,True,4,0,0,3,0,3,1,0,0,1,0,0,0,0,3,1,0,0,1.35,0,-1.79351,0.7789,0.7789,22.605,4.0,3,0,0,0.7789,4,MOBILE_DEEP_CYCLE,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=23 days_any=3 cyc_eff=4 hq_nr=3 total_nr=3 cens=1 lg_opp=0 opp=5 norm_anom=0.78 conf_p=0.755 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,True,False,False,9,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
AMIGDOL-F67CCZ1_amigdol,2026-06-01,2026-05-02 23:59:59.999999999,2026-06-01 23:59:59.999999999,291,27.775,0.5,15.496,71.859,23,23,4,0,0,0,0,False,WINDOW_QUALITY_OK,3.0,12.0,9.0,9.721,0.2838,0.1402,0.7162,24.0,100.0,76.0,36.0,76.0,100.0,0.0,0.0,0.5176,0.3348,0.2399,52,65,26,60120.0,60010.0,60010.0,60120.0,110.0,9,0,0.0,,,100.2,100.02,5,0,5,1,6,0,0,0,0,0,0,0,0,0,0,2.25,0,5,5,0.050328,1.2982,0.53099,0.46259,2.5,0,5,5,0.03125,1.5051,0.53099,2026-06-01 23:59:59.999999999,2026-05-04 15:20:47,2026-06-01 09:56:49,28.361,False,60120.0,2026-05-04 15:20:47,3.0,28.361,9.0,False,60010.0,2026-06-01 09:56:49,12.0,0.586,0.0,False,9,20.0,True,6,0,0,5,0,5,1,0,0,0,0,0,0,0,5,1,0,0,2.25,0,-2.98919,1.2982,1.2982,28.361,9.0,5,0,0,1.2982,0,MOBILE_DEEP_CYCLE,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=28 days_any=1 cyc_eff=9 hq_nr=5 total_nr=5 cens=1 lg_opp=0 opp=6 norm_anom=1.30 conf_p=0.531 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,True,False,False,20,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
ANIETO1-F5GNTSH_anieto1,2026-03-17,2026-02-15 23:59:59.999999999,2026-03-17 23:59:59.999999999,1,0.0,,,0.0,0,0,0,0,0,0,0,False,WINDOW_QUALITY_SHORT_OBS,17.0,17.0,0.0,0.0,,,,2.0,2.0,0.0,2.0,2.0,2.0,,,,,,0,0,0,56750.0,56750.0,56750.0,56750.0,0.0,0,0,0.0,,,99.56,99.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2026-03-17 23:59:59.999999999,2025-05-06 14:13:15,2026-03-17 07:57:38,315.407,True,57000.0,2025-05-06 14:13:15,0.0,315.407,17.0,False,56750.0,2025-09-16 11:33:44,17.0,182.518,0.0,False,16,20.0,True,19,1,1,19,1,20,0,0,0,0,0,0,0,0,19,0,1,0,9.0,0,-11.95674,5.1927,5.1927,315.407,17.0,20,0,0,5.1927,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like;micro_wobble,days_eff=315 days_any=183 cyc_eff=17 hq_nr=19 total_nr=20 cens=0 lg_opp=1 opp=21 norm_anom=5.19 conf_p=1 micro_only=True cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,True,False,False,False,True,False,0,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
