score_col,proxy_label,N,hits,precision_at_N,recall_at_N,total_proxy_pos,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,10,1,0.1,1.0,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,20,1,0.05,1.0,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,30,1,0.0333,1.0,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,50,1,0.02,1.0,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
cum_normative_fw_anomaly_score,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,100,1,0.01,1.0,1,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,10,2,0.2,1.0,2,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,20,2,0.1,1.0,2,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,30,2,0.0667,1.0,2,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,50,2,0.04,1.0,2,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
days_since_effective_fcc_change,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,100,2,0.02,1.0,2,2026-07-08T17:45:27Z,rolling30-od2.0,30,1,abs_ge_50mWh
