feature,weight,kind,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
recent_30d_cycle_delta_before_episode,-0.3205,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
observed_coverage_fraction,0.2808,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
episode_quality_score,-0.2166,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_ac_ratio_before_episode,-0.1837,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_n_samples_before_episode,0.1827,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_rsoc_swing_before_episode,0.147,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
episode_duration_h,-0.1249,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
start_to_low_duration_h,-0.1237,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
n_samples_episode,0.1201,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
charge_ratio_in_episode,-0.1175,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
end_rsoc,0.0833,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
low_rsoc,0.0769,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
median_gap_h_episode,0.0518,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
rsoc_depth,-0.0492,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
episode_depth,-0.0492,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ac_ratio_in_episode,-0.044,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
high_to_low_max_gap_h,0.0439,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
band_strict_90_10_90,0.0375,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
band_primary_80_20_80,-0.0299,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_max_gap_h_before_episode,0.0284,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
low_to_end_duration_h,-0.0266,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
cycle_delta_episode,-0.0185,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
sample_density_per_day,-0.0182,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
low_to_high_max_gap_h,0.0143,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
max_gap_h_episode,0.0108,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
endpoint_gap_h,0.0057,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
start_rsoc,-0.0057,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
discharge_ratio_in_episode,-0.004,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
band_secondary_85_15_85,0.0002,logreg_coef,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
