feature,weight,kind,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
fcc_before_episode,213,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_fcc_effective_changes_before_episode,209,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
cycle_count_before_episode,186,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_cycle_delta_before_episode,160,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
soh_before_episode,141,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_ac_ratio_before_episode,124,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
max_gap_h_episode,106,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
episode_duration_h,88,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_max_gap_h_before_episode,76,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_rsoc_swing_before_episode,74,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
n_samples_episode,74,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
low_to_end_duration_h,70,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_n_samples_before_episode,65,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
end_rsoc,55,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
start_to_low_duration_h,54,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
low_rsoc,51,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
episode_depth,47,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
median_gap_h_episode,42,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
recent_30d_n_80_20_80_ok_before_episode,36,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
cycle_delta_episode,18,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
start_rsoc,16,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
band_primary_80_20_80,1,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
band_secondary_85_15_85,0,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
band_strict_90_10_90,0,native_importance,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
