population,group_axis,group_value,n_total,n_candidate,raw_rate,shrunk_rate,ci_low,ci_high,fisher_p,q_value,fleet_rate,population_n,small_population_warning,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
FW_CORE,batt_fru,5B10W13975,26,3,0.1154,0.0901,0.0199,0.2054,4e-05,0.00177,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56412,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90164,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W51875,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B10W51883,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90106,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90125,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90171,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56397,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56406,5,0,0.0,0.0036,0.0,0.0415,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,L24B4PE2,6,0,0.0,0.0033,0.0,0.0384,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11M90101@,6,0,0.0,0.0033,0.0,0.0384,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90169,6,0,0.0,0.0033,0.0,0.0384,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56401,6,0,0.0,0.0033,0.0,0.0384,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56407,6,0,0.0,0.0033,0.0,0.0384,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11K07737,7,0,0.0,0.0031,0.0,0.0358,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90121,7,0,0.0,0.0031,0.0,0.0358,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56402,7,0,0.0,0.0031,0.0,0.0358,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11M90101,7,0,0.0,0.0031,0.0,0.0358,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90105,7,0,0.0,0.0031,0.0,0.0358,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90135,8,0,0.0,0.0029,0.0,0.0335,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,LNV-5B11M90102,8,0,0.0,0.0029,0.0,0.0335,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90051,8,0,0.0,0.0029,0.0,0.0335,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90167,8,0,0.0,0.0029,0.0,0.0335,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M90056,10,0,0.0,0.0026,0.0,0.0297,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11M37552,10,0,0.0,0.0026,0.0,0.0297,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FW_CORE,batt_fru,5B11H56385,10,0,0.0,0.0026,0.0,0.0297,1.0,1.0,0.0041,5,True,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
