user_id,first_alert_date,last_obs_date,n_alert_transitions,max_consecutive_no_response_windows,lead_time_days,final_label,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
ABUCKNER-0B0WH8_abuckner,2025-04-21,2026-06-01,1,0,406,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ADAMSTHAMESLNLB_Howes,2025-08-14,2025-10-02,2,0,49,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ADAMS_ALLOY,2025-05-10,2025-10-10,1,0,153,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ADAMS_JAGUAR3,2024-03-04,2025-04-11,7,27,403,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AH-PF2PXA6R_ah,2025-07-09,2026-02-11,8,27,217,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AIII1-PF55Q7L6_aiii1,2025-06-08,2025-12-08,4,0,183,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AIII1-PF6249QS_aiii1,2026-04-18,2026-05-19,2,18,31,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AIII1-PW0J2TQF_aiii1,2025-12-14,2026-01-28,2,0,45,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AMANDELBLOO-9TD_amandelbloom,2026-04-18,2026-05-12,1,23,24,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AMIKAMI-F49VQPZ_amikami,2023-05-19,2024-12-09,15,0,570,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ANAKAMURA8-3ZVB_anakamura8,2023-04-10,2026-05-19,26,84,1135,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ANDY-TH1_zuyin,2024-07-12,2026-03-24,3,49,620,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ANDY_zuyin,2024-04-26,2024-05-08,1,0,12,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ANUPT14S_avachali,2024-08-02,2025-11-11,3,0,466,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ANUP_TINY,2024-08-02,2025-11-04,3,0,459,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
APARAMESWAR-G5E_aparameswara,2023-10-07,2023-11-08,1,27,32,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
ATOKYO-PF3TQD0N_atokyo,2023-04-07,2024-07-16,16,23,466,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
AVACHALI-4SM98Q_avachali,2024-08-02,2025-11-12,3,0,467,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
BDILLON-F4RV0ZR_bdillon,2025-01-10,2025-09-13,1,10,246,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
BDILLON-F58TDBM_bdillon,2025-07-18,2026-04-29,6,0,285,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
BOB_Libra2.1-ELP2-SVT34,2025-02-12,2025-07-03,4,0,141,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
BRYAN_X1,2024-01-01,2025-10-08,4,27,646,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CARBON9TH_Dexter,2023-05-28,2024-06-07,11,27,376,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CARLLAPTOP_CarlWu,2023-07-04,2024-07-15,6,70,377,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CCHEN50-F3PD01M_cchen50,2023-06-13,2024-10-18,1,0,493,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CFERLAND-0DYS2P_cferland,2025-03-05,2025-05-21,3,0,77,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CHIKARA7-3PAB5T_chikara7,2023-07-17,2024-07-29,13,43,378,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
COLIN_cdorner,2026-01-16,2026-05-12,4,0,116,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CQUEEN-PW06FV2M_cqueen,2024-12-02,2026-05-13,15,27,527,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CTURNER_cturner,2023-10-15,2024-04-10,1,9,178,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DAVID_dcosby,2025-06-25,2026-05-26,9,0,335,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DBROWN6-F4RV7QY_dbrown6,2024-03-29,2024-05-06,1,0,38,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DESKTOP-8L6GNCN_Winson_Chiu,2025-07-15,2025-09-15,2,0,62,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DJR-PF3R8T3C_djr,2023-09-08,2025-04-10,7,0,580,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DLI13-PW0HKDEK_dli13,2025-09-24,2025-11-04,1,0,41,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DONGQZ-PF4RM5MZ_dongqz,2024-04-18,2025-03-21,1,28,337,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DWATTS-PF5C6AV8_dwatts,2026-01-09,2026-05-02,2,0,113,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
DWATTS-PF627DJB_dwatts,2026-03-31,2026-04-24,1,0,24,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
E28386-PF3X7BXZ_e28386,2023-04-24,2025-10-29,18,0,919,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
EB16034-F2RY6ZG_eb16034,2023-09-30,2025-10-28,23,27,759,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
EB16034-F4414Y8_eb16034,2023-08-05,2023-10-30,3,29,86,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
EDANG-PF5TMMM8_edang,2026-02-10,2026-06-01,1,0,111,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
EIGERAMD_44900,2025-10-16,2026-06-01,1,0,228,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
EMOURA3-W0A2BQE_emoura3,2024-05-25,2024-07-02,2,25,38,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
FSUN3-PC133Y8H_LicenseServer,2024-08-06,2026-05-25,2,0,657,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GGILLETT-5D9MVD_ggillett,2025-06-05,2026-05-27,5,0,356,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GHOOGAR-F3KPQQX_ghoogar,2023-09-27,2024-02-27,2,15,153,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GKONDOXPF3TRKJD_gkondo,2023-04-21,2026-06-01,10,47,1137,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GREG-WORK-X13Y_gmcneil,2023-12-04,2024-09-06,2,27,277,REVIEW_INSUFFICIENT_DATA,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
GTORRES3-0ABC7N_gtorres3,2024-08-02,2025-06-13,1,0,315,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
HHUDELSON-B0WN2_hhudelson,2024-09-03,2026-06-01,12,0,636,NORMAL_OR_RESPONDING,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
