user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,expected_response_30d_personalized,observed_response_30d_personalized,no_response_count_30d_personalized,n_complete_ok_opportunities_30d_personalized,p_all_no_response_30d_personalized,fw_response_anomaly_score_30d_personalized,conformal_p_personalized,state_as_of_ts,first_seen_ts,last_seen_ts,state_history_days,state_history_sufficient,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_effective_fcc_change,cycles_since_effective_fcc_change,effective_active_flag,last_any_fcc_value,last_any_fcc_change_ts,last_any_fcc_change_cycle,days_since_any_fcc_change,cycles_since_any_fcc_change,legacy_any_active_flag,n_micro_steps_since_effective_change,max_micro_step_mWh_since_effective_change,micro_wobble_only_since_effective_change,cum_primary_ok_opportunities_since_last_effective_change,cum_primary_medium_gap_opportunities_since_last_effective_change,cum_primary_large_gap_opportunities_since_last_effective_change,cum_primary_ok_no_response_since_last_effective_change,cum_primary_medium_gap_no_response_since_last_effective_change,cum_primary_no_response_since_last_effective_change,cum_primary_censored_since_last_effective_change,cum_strict_ok_opportunities_since_last_effective_change,cum_strict_medium_gap_opportunities_since_last_effective_change,cum_strict_large_gap_opportunities_since_last_effective_change,cum_strict_ok_no_response_since_last_effective_change,cum_strict_medium_gap_no_response_since_last_effective_change,cum_strict_no_response_since_last_effective_change,cum_strict_censored_since_last_effective_change,high_quality_no_response_count,censored_count,large_gap_low_quality_count,observed_effective_responses_since_last_effective_change,cum_expected_normative_response,cum_observed_effective_response,cum_log_p_all_no_response_since_last_effective_change,cum_normative_fw_anomaly_score,cumulative_normative_fw_anomaly_score,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,stateful_label_v2,window_label_v2,recommended_action,confidence,priority,primary_reason,secondary_reasons,evidence_summary,user_message_template,engineering_message_template,would_have_been_label,fw_like_evidence_flag,gauge_like_evidence_flag,micro_wobble_only_flag,large_gap_dominant_flag,censored_dominant_flag,state_history_insufficient_flag,data_quality_review_flag,alert_fired,consecutive_windows_opportunity_no_response,queue_norm_anomaly,queue_primary_no_response,fw_engineering_rank,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
MHAGI-PF3YCK6H_mhagi,2025-01-13,2024-12-14 23:59:59.999999999,2025-01-13 23:59:59.999999999,1098,29.468,0.5,0.5,25.497,10,8,3,0,0,0,0,False,WINDOW_QUALITY_OK,315.0,322.0,7.0,7.126,0.9245,0.2261,0.0755,6.0,100.0,94.0,69.0,97.0,100.0,0.0007,0.0016,0.9102,0.8244,0.6737,70,106,35,51030.0,51030.0,51030.0,51030.0,0.0,0,0,0.0,,,89.53,89.53,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-01-13 23:59:59.999999999,2023-02-04 14:18:25,2025-01-13 11:18:36,709.404,True,51030.0,2023-06-03 23:03:56,69.0,590.039,253.0,False,51030.0,2023-06-03 23:03:56,69.0,590.039,253.0,False,0,0.0,False,36,10,7,36,10,46,0,10,4,6,10,4,14,0,36,0,7,0,18.8015,0,-24.2801,10.5447,10.5447,590.039,253.0,46,14,0,10.5447,3,AC_BOUND,STATEFUL_FW_CHECK_CORE,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like;gauge_like,days_eff=590 days_any=590 cyc_eff=253 hq_nr=36 total_nr=46 cens=0 lg_opp=7 opp=73 norm_anom=10.54 conf_p=1 micro_only=False cluster=AC_BOUND,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 36 high-quality discharge+recharge learning opportunities since the last effective FCC change (590d ago) produced no FCC relearning step (36 high-quality + 10 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,True,False,False,False,False,False,False,0,10.5447,46,1,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KSHIBATAX3Y83N9_KSHIBATA,2025-10-01,2025-09-01 23:59:59.999999999,2025-10-01 23:59:59.999999999,21,29.295,0.461,176.337,221.643,4,4,4,0,0,0,0,False,WINDOW_QUALITY_SPARSE,265.0,266.0,1.0,1.024,0.4049,0.3699,0.5951,2.0,100.0,98.0,2.0,58.0,100.0,0.1151,0.1151,0.2252,0.2252,0.2252,6,6,3,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-10-01 23:59:59.999999999,2023-02-03 18:14:24,2025-10-01 16:24:11,971.24,True,57570.0,2023-02-03 18:14:24,16.0,971.24,250.0,False,57570.0,2023-02-03 18:14:24,16.0,971.24,250.0,False,0,0.0,False,13,20,24,13,20,33,0,2,12,19,2,12,14,0,13,0,24,0,12.0977,0,-15.17425,6.5901,6.5901,971.24,250.0,33,14,0,6.5901,-1,SPARSE_OR_GAPPY,STATEFUL_REVIEW_DATA_QUALITY,WINDOW_DATA_QUALITY_REVIEW,ACTION_COLLECT_MORE_DATA_OR_MANUAL_REVIEW,low,1,data_quality_or_history_review,fw_like,days_eff=971 days_any=971 cyc_eff=250 hq_nr=13 total_nr=33 cens=0 lg_opp=24 opp=90 norm_anom=6.59 conf_p=1 micro_only=False cluster=SPARSE_OR_GAPPY,No user-facing action; collecting more data.,Data-quality/history review outranks action (would_have_been=FW_CORE_LIKE). Collect more data or manual review.,FW_CORE_LIKE,True,False,False,False,False,False,True,False,0,6.5901,33,2,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CHIKARA7-3PAB5T_chikara7,2024-07-29,2024-06-29 23:59:59.999999999,2024-07-29 23:59:59.999999999,213,28.911,0.498,11.228,191.632,17,8,5,0,0,0,0,False,WINDOW_QUALITY_OK,297.0,302.0,5.0,5.188,0.5262,0.1372,0.4738,17.0,80.0,63.0,28.6,76.0,80.0,0.0,0.0192,0.0,0.0,0.0,62,70,31,48080.0,48080.0,48080.0,48080.0,0.0,0,0,0.0,,,84.28,84.28,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-07-29 23:59:59.999999999,2023-02-06 10:28:56,2024-07-29 16:38:14,539.563,True,48080.0,2023-02-06 10:28:56,80.0,539.563,222.0,False,48080.0,2023-02-06 10:28:56,80.0,539.563,222.0,False,0,0.0,False,4,26,39,4,26,30,0,0,0,2,0,0,0,0,4,0,39,0,9.6418,0,-11.64642,5.058,5.058,539.563,222.0,30,0,0,5.058,2,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;large_gap_dominant,days_eff=540 days_any=540 cyc_eff=222 hq_nr=4 total_nr=30 cens=0 lg_opp=39 opp=71 norm_anom=5.06 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 5.06, 30 no_response since last effective change (539d ago).",,True,False,False,True,False,False,False,False,0,5.058,30,3,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
IMANARANG1-3A19_imanarang1,2025-09-01,2025-08-02 23:59:59.999999999,2025-09-01 23:59:59.999999999,390,28.006,0.5,0.5,87.132,19,19,4,0,0,0,0,False,WINDOW_QUALITY_OK,379.0,383.0,4.0,4.285,0.8804,0.0547,0.1196,19.0,100.0,81.0,95.0,98.0,100.0,0.0,0.0019,0.9905,0.9881,0.8276,24,58,12,35430.0,35430.0,35430.0,35430.0,0.0,0,0,0.0,,,90.15,90.15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-09-01 23:59:59.999999999,2023-02-20 16:54:54,2025-09-01 08:35:29,924.295,True,35430.0,2023-09-15 15:07:24,160.0,717.37,223.0,False,35430.0,2023-09-15 15:07:24,160.0,717.37,223.0,False,0,0.0,False,4,21,30,4,21,25,0,0,4,19,0,4,4,0,4,0,30,0,8.2524,0,-10.05264,4.3658,4.3658,717.37,223.0,25,4,0,4.3658,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;large_gap_dominant,days_eff=717 days_any=717 cyc_eff=223 hq_nr=4 total_nr=25 cens=0 lg_opp=30 opp=78 norm_anom=4.37 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 4.37, 25 no_response since last effective change (717d ago).",,True,False,False,True,False,False,False,False,0,4.3658,25,4,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CARLLAPTOP_CarlWu,2024-07-15,2024-06-15 23:59:59.999999999,2024-07-15 23:59:59.999999999,818,29.457,0.499,5.049,12.769,23,2,0,0,0,0,0,False,WINDOW_QUALITY_OK,229.0,248.0,19.0,19.35,0.4486,0.1922,0.5514,2.0,100.0,98.0,21.0,91.0,100.0,0.0219,0.0252,0.712,0.5841,0.4681,230,278,116,46400.0,46400.0,46400.0,46400.0,0.0,0,0,0.0,,,81.4,81.4,1,2,1,0,3,0,2,0,0,2,0,2,0,0,2,0.4303,0,1,1,0.569677,0.2444,0.74929,0.76293,0.0409,0,1,1,0.959069,0.0182,0.98862,2024-07-15 23:59:59.999999999,2023-05-05 20:52:11,2024-07-15 15:09:37,437.13,True,46400.0,2024-02-23 19:13:27,165.0,143.199,83.0,False,46400.0,2024-02-23 19:13:27,165.0,143.199,83.0,False,0,0.0,False,8,10,1,8,10,18,0,3,8,1,3,8,11,0,8,0,1,0,6.8738,0,-8.71125,3.7832,3.7832,143.199,83.0,18,11,0,3.7832,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like,days_eff=143 days_any=143 cyc_eff=83 hq_nr=8 total_nr=18 cens=0 lg_opp=1 opp=31 norm_anom=3.78 conf_p=0.749 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 8 high-quality discharge+recharge learning opportunities since the last effective FCC change (143d ago) produced no FCC relearning step (8 high-quality + 3 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,False,False,False,False,False,False,36,3.7832,18,5,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JANUMOLU-0A203W_janumolu,2024-11-02,2024-10-03 23:59:59.999999999,2024-11-02 23:59:59.999999999,115,29.074,0.5,20.332,165.382,15,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,92.0,97.0,5.0,5.159,0.2244,0.1514,0.7756,1.0,100.0,99.0,11.7,72.0,100.0,0.0329,0.083,0.371,0.2304,0.1628,24,36,12,46460.0,46460.0,46460.0,46460.0,0.0,0,0,0.0,,,101.0,101.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-11-02 23:59:59.999999999,2024-03-19 12:13:20,2024-11-02 21:43:59,228.491,True,46460.0,2024-04-03 11:55:36,12.0,213.503,85.0,False,46460.0,2024-04-03 11:55:36,12.0,213.503,85.0,False,0,0.0,False,2,12,6,2,12,14,0,0,6,5,0,6,6,0,2,0,6,0,5.3356,0,-6.76938,2.9399,2.9399,213.503,85.0,14,6,0,2.9399,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=214 days_any=214 cyc_eff=85 hq_nr=2 total_nr=14 cens=0 lg_opp=6 opp=31 norm_anom=2.94 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.94, 14 no_response since last effective change (213d ago).",,True,False,False,False,False,False,False,False,0,2.9399,14,6,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
KMAKI-PF45ET63_kmaki,2024-08-14,2024-07-15 23:59:59.999999999,2024-08-14 23:59:59.999999999,716,29.609,0.5,2.119,121.374,22,9,2,0,0,0,0,False,WINDOW_QUALITY_OK,72.0,89.0,17.0,17.225,0.6433,0.2006,0.3567,23.0,100.0,77.0,50.0,94.0,100.0,0.0,0.0,0.7487,0.6071,0.4957,203,260,102,57570.0,57570.0,57570.0,57570.0,0.0,0,0,0.0,,,101.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-08-14 23:59:59.999999999,2024-04-04 18:48:20,2024-08-14 23:50:27,132.216,True,57570.0,2024-04-04 18:48:20,3.0,132.216,86.0,False,57570.0,2024-04-04 18:48:20,3.0,132.216,86.0,False,0,0.0,False,3,10,3,3,10,13,0,0,4,1,0,4,4,0,3,0,3,0,4.9739,0,-6.31853,2.7441,2.7441,132.216,86.0,13,4,0,2.7441,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_CHECK_CORE,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_FW_VERSION_CHECK_CORE,high,2,high_quality_no_response_with_long_effective_staleness,fw_like,days_eff=132 days_any=132 cyc_eff=86 hq_nr=3 total_nr=13 cens=0 lg_opp=3 opp=21 norm_anom=2.74 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; engineering FW review queued.,"Prioritize BIOS/EC/battery-FW version and update review: 3 high-quality discharge+recharge learning opportunities since the last effective FCC change (132d ago) produced no FCC relearning step (3 high-quality + 0 strict-band no_response confirmations). Candidate, not a confirmed FW fault.",,True,False,False,False,False,False,False,False,0,2.7441,13,7,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MBHAVSAR-3R8CWY_mbhavsar,2025-01-30,2024-12-31 23:59:59.999999999,2025-01-30 23:59:59.999999999,201,21.039,0.5,8.916,109.17,11,7,5,0,0,0,0,False,WINDOW_QUALITY_OK,596.0,608.0,12.0,17.111,0.4818,0.2977,0.5182,1.0,100.0,99.0,13.0,87.0,100.0,0.045,0.0908,0.5243,0.4321,0.2937,61,79,31,43920.0,43920.0,43920.0,43920.0,0.0,0,0,0.0,,,77.05,77.05,3,3,3,2,8,2,3,2,0,5,0,2,0,1,3,1.3323,0,3,3,0.171714,0.7652,0.14909,0.14679,0.4208,0,3,3,0.635252,0.1971,0.5574,2025-01-30 23:59:59.999999999,2023-02-07 08:14:34,2025-01-30 16:12:07,723.657,True,43920.0,2024-10-15 16:21:36,551.0,107.318,57.0,False,43920.0,2024-10-15 16:21:36,551.0,107.318,57.0,False,0,0.0,False,9,6,12,7,6,13,2,2,2,8,1,2,3,1,7,2,12,0,4.7552,0,-5.9655,2.5908,2.5908,107.318,57.0,13,3,0,2.5908,0,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=107 days_any=107 cyc_eff=57 hq_nr=7 total_nr=13 cens=2 lg_opp=12 opp=39 norm_anom=2.59 conf_p=0.149 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.59, 13 no_response since last effective change (107d ago).",,True,False,False,False,False,False,False,False,14,2.5908,13,8,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CARBON9TH_Dexter,2024-06-07,2024-05-08 23:59:59.999999999,2024-06-07 23:59:59.999999999,463,29.242,0.5,4.977,70.289,22,19,3,0,0,0,0,False,WINDOW_QUALITY_OK,426.0,433.0,7.0,7.181,0.8277,0.2679,0.1723,17.0,100.0,83.0,67.1,98.0,100.0,0.0,0.0016,0.9387,0.8869,0.7805,52,133,26,49140.0,49140.0,49140.0,49140.0,0.0,0,0,0.0,,,86.13,86.13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-06-07 23:59:59.999999999,2023-02-04 11:14:49,2024-06-07 09:10:29,489.531,True,49160.0,2023-06-16 18:31:34,283.0,357.228,150.0,False,49140.0,2023-07-10 16:06:29,294.0,333.329,139.0,False,1,20.0,True,5,8,18,5,8,13,0,0,0,5,0,0,0,0,5,0,18,0,4.7139,0,-5.89163,2.5587,2.5587,357.228,150.0,13,0,0,2.5587,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble;large_gap_dominant,days_eff=357 days_any=333 cyc_eff=150 hq_nr=5 total_nr=13 cens=0 lg_opp=18 opp=36 norm_anom=2.56 conf_p=1 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.56, 13 no_response since last effective change (357d ago).",,True,False,True,True,False,False,False,False,0,2.5587,13,9,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
NORITY-X1YOGA_nority,2026-05-20,2026-04-20 23:59:59.999999999,2026-05-20 23:59:59.999999999,264,29.189,0.5,13.593,43.719,36,15,2,0,0,0,0,False,WINDOW_QUALITY_OK,184.0,186.0,2.0,2.056,0.9069,0.1083,0.0931,72.0,100.0,28.0,94.15,97.0,100.0,0.0,0.0,0.9808,0.9626,0.8064,16,56,8,56990.0,56990.0,56990.0,56990.0,0.0,0,0,0.0,,,99.98,99.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2026-05-20 23:59:59.999999999,2023-02-07 01:57:03,2026-05-20 08:49:05,1198.919,True,56990.0,2023-02-07 01:57:03,5.0,1198.919,181.0,False,56990.0,2023-02-07 01:57:03,5.0,1198.919,181.0,False,0,0.0,False,0,14,4,0,14,14,0,0,7,4,0,7,7,0,0,0,4,0,4.4253,0,-5.43703,2.3613,2.3613,1198.919,181.0,14,7,0,2.3613,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;gauge_like,days_eff=1199 days_any=1199 cyc_eff=181 hq_nr=0 total_nr=14 cens=0 lg_opp=4 opp=29 norm_anom=2.36 conf_p=1 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.36, 14 no_response since last effective change (1198d ago).",,True,True,False,False,False,False,False,False,0,2.3613,14,10,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
