user_id,window_end_date,window_start_ts,window_end_ts,n_samples_30d,obs_days_in_window,median_interval_h,p95_interval_h,max_gap_h,gaps_gt_6h_count,gaps_gt_12h_count,gaps_gt_24h_count,duplicate_timestamp_count,cycle_decrease_count,fcc_missing_count,rsoc_missing_count,has_counter_reset,window_data_quality_label,cycle_start_30d,cycle_end_30d,cycle_delta_30d,cycle_rate_per_30d,ac_time_ratio_30d,charge_time_ratio_30d,discharge_time_ratio_30d,rsoc_min_30d,rsoc_max_30d,rsoc_swing_30d,rsoc_p05_30d,rsoc_p50_30d,rsoc_p95_30d,frac_below_10_30d,frac_below_20_30d,frac_above_80_30d,frac_above_90_30d,frac_above_95_30d,n_acdc_switches_30d,n_charge_status_switches_30d,n_discharge_sessions_30d,fcc_start_30d,fcc_end_30d,fcc_min_30d,fcc_max_30d,fcc_abs_delta_30d,fcc_any_changes_30d,fcc_effective_changes_30d,fcc_effective_step_abs_max_30d,last_effective_fcc_change_ts_in_window,last_effective_fcc_change_cycle_in_window,soh_start_30d,soh_end_30d,n_80_20_80_ok_complete_30d,n_80_20_80_large_gap_30d,n_80_20_80_no_response_30d,n_80_20_80_censored_30d,n_80_20_80_any_30d,n_85_15_85_ok_complete_30d,n_85_15_85_large_gap_30d,n_85_15_85_no_response_30d,n_85_15_85_censored_30d,n_85_15_85_any_30d,n_90_10_90_ok_complete_30d,n_90_10_90_large_gap_30d,n_90_10_90_no_response_30d,n_90_10_90_censored_30d,n_90_10_90_any_30d,expected_response_30d,observed_response_30d,no_response_count_30d,n_complete_ok_opportunities_30d,p_all_no_response_30d,fw_response_anomaly_score_30d,conformal_p,conformal_p_proxy_final_normal,expected_response_30d_personalized,observed_response_30d_personalized,no_response_count_30d_personalized,n_complete_ok_opportunities_30d_personalized,p_all_no_response_30d_personalized,fw_response_anomaly_score_30d_personalized,conformal_p_personalized,state_as_of_ts,first_seen_ts,last_seen_ts,state_history_days,state_history_sufficient,last_effective_fcc_value,last_effective_fcc_change_ts,last_effective_fcc_change_cycle,days_since_effective_fcc_change,cycles_since_effective_fcc_change,effective_active_flag,last_any_fcc_value,last_any_fcc_change_ts,last_any_fcc_change_cycle,days_since_any_fcc_change,cycles_since_any_fcc_change,legacy_any_active_flag,n_micro_steps_since_effective_change,max_micro_step_mWh_since_effective_change,micro_wobble_only_since_effective_change,cum_primary_ok_opportunities_since_last_effective_change,cum_primary_medium_gap_opportunities_since_last_effective_change,cum_primary_large_gap_opportunities_since_last_effective_change,cum_primary_ok_no_response_since_last_effective_change,cum_primary_medium_gap_no_response_since_last_effective_change,cum_primary_no_response_since_last_effective_change,cum_primary_censored_since_last_effective_change,cum_strict_ok_opportunities_since_last_effective_change,cum_strict_medium_gap_opportunities_since_last_effective_change,cum_strict_large_gap_opportunities_since_last_effective_change,cum_strict_ok_no_response_since_last_effective_change,cum_strict_medium_gap_no_response_since_last_effective_change,cum_strict_no_response_since_last_effective_change,cum_strict_censored_since_last_effective_change,high_quality_no_response_count,censored_count,large_gap_low_quality_count,observed_effective_responses_since_last_effective_change,cum_expected_normative_response,cum_observed_effective_response,cum_log_p_all_no_response_since_last_effective_change,cum_normative_fw_anomaly_score,cumulative_normative_fw_anomaly_score,days_since_last_effective_fcc_change,cycles_since_last_effective_fcc_change,cum_primary_no_response_since_last_fcc_change,cum_strict_no_response_since_last_fcc_change,cum_observed_response_since_last_fcc_change,cum_fw_response_anomaly_score,cluster_id,cluster_profile_name,stateful_label_v2,window_label_v2,recommended_action,confidence,priority,primary_reason,secondary_reasons,evidence_summary,user_message_template,engineering_message_template,would_have_been_label,fw_like_evidence_flag,gauge_like_evidence_flag,micro_wobble_only_flag,large_gap_dominant_flag,censored_dominant_flag,state_history_insufficient_flag,data_quality_review_flag,alert_fired,consecutive_windows_opportunity_no_response,analysis_timestamp,code_version,window_days,stride_days,effective_step_definition
CHIKARA7-3PAB5T_chikara7,2024-07-29,2024-06-29 23:59:59.999999999,2024-07-29 23:59:59.999999999,213,28.911,0.498,11.228,191.632,17,8,5,0,0,0,0,False,WINDOW_QUALITY_OK,297.0,302.0,5.0,5.188,0.5262,0.1372,0.4738,17.0,80.0,63.0,28.6,76.0,80.0,0.0,0.0192,0.0,0.0,0.0,62,70,31,48080.0,48080.0,48080.0,48080.0,0.0,0,0,0.0,,,84.28,84.28,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-07-29 23:59:59.999999999,2023-02-06 10:28:56,2024-07-29 16:38:14,539.563,True,48080.0,2023-02-06 10:28:56,80.0,539.563,222.0,False,48080.0,2023-02-06 10:28:56,80.0,539.563,222.0,False,0,0.0,False,4,26,39,4,26,30,0,0,0,2,0,0,0,0,4,0,39,0,9.6418,0,-11.64642,5.058,5.058,539.563,222.0,30,0,0,5.058,2,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;large_gap_dominant,days_eff=540 days_any=540 cyc_eff=222 hq_nr=4 total_nr=30 cens=0 lg_opp=39 opp=71 norm_anom=5.06 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 5.06, 30 no_response since last effective change (539d ago).",,True,False,False,True,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
IMANARANG1-3A19_imanarang1,2025-09-01,2025-08-02 23:59:59.999999999,2025-09-01 23:59:59.999999999,390,28.006,0.5,0.5,87.132,19,19,4,0,0,0,0,False,WINDOW_QUALITY_OK,379.0,383.0,4.0,4.285,0.8804,0.0547,0.1196,19.0,100.0,81.0,95.0,98.0,100.0,0.0,0.0019,0.9905,0.9881,0.8276,24,58,12,35430.0,35430.0,35430.0,35430.0,0.0,0,0,0.0,,,90.15,90.15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-09-01 23:59:59.999999999,2023-02-20 16:54:54,2025-09-01 08:35:29,924.295,True,35430.0,2023-09-15 15:07:24,160.0,717.37,223.0,False,35430.0,2023-09-15 15:07:24,160.0,717.37,223.0,False,0,0.0,False,4,21,30,4,21,25,0,0,4,19,0,4,4,0,4,0,30,0,8.2524,0,-10.05264,4.3658,4.3658,717.37,223.0,25,4,0,4.3658,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;large_gap_dominant,days_eff=717 days_any=717 cyc_eff=223 hq_nr=4 total_nr=25 cens=0 lg_opp=30 opp=78 norm_anom=4.37 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 4.37, 25 no_response since last effective change (717d ago).",,True,False,False,True,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
JANUMOLU-0A203W_janumolu,2024-11-02,2024-10-03 23:59:59.999999999,2024-11-02 23:59:59.999999999,115,29.074,0.5,20.332,165.382,15,11,5,0,0,0,0,False,WINDOW_QUALITY_OK,92.0,97.0,5.0,5.159,0.2244,0.1514,0.7756,1.0,100.0,99.0,11.7,72.0,100.0,0.0329,0.083,0.371,0.2304,0.1628,24,36,12,46460.0,46460.0,46460.0,46460.0,0.0,0,0,0.0,,,101.0,101.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-11-02 23:59:59.999999999,2024-03-19 12:13:20,2024-11-02 21:43:59,228.491,True,46460.0,2024-04-03 11:55:36,12.0,213.503,85.0,False,46460.0,2024-04-03 11:55:36,12.0,213.503,85.0,False,0,0.0,False,2,12,6,2,12,14,0,0,6,5,0,6,6,0,2,0,6,0,5.3356,0,-6.76938,2.9399,2.9399,213.503,85.0,14,6,0,2.9399,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=214 days_any=214 cyc_eff=85 hq_nr=2 total_nr=14 cens=0 lg_opp=6 opp=31 norm_anom=2.94 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.94, 14 no_response since last effective change (213d ago).",,True,False,False,False,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
MBHAVSAR-3R8CWY_mbhavsar,2025-01-30,2024-12-31 23:59:59.999999999,2025-01-30 23:59:59.999999999,201,21.039,0.5,8.916,109.17,11,7,5,0,0,0,0,False,WINDOW_QUALITY_OK,596.0,608.0,12.0,17.111,0.4818,0.2977,0.5182,1.0,100.0,99.0,13.0,87.0,100.0,0.045,0.0908,0.5243,0.4321,0.2937,61,79,31,43920.0,43920.0,43920.0,43920.0,0.0,0,0,0.0,,,77.05,77.05,3,3,3,2,8,2,3,2,0,5,0,2,0,1,3,1.3323,0,3,3,0.171714,0.7652,0.14909,0.14679,0.4208,0,3,3,0.635252,0.1971,0.5574,2025-01-30 23:59:59.999999999,2023-02-07 08:14:34,2025-01-30 16:12:07,723.657,True,43920.0,2024-10-15 16:21:36,551.0,107.318,57.0,False,43920.0,2024-10-15 16:21:36,551.0,107.318,57.0,False,0,0.0,False,9,6,12,7,6,13,2,2,2,8,1,2,3,1,7,2,12,0,4.7552,0,-5.9655,2.5908,2.5908,107.318,57.0,13,3,0,2.5908,0,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like,days_eff=107 days_any=107 cyc_eff=57 hq_nr=7 total_nr=13 cens=2 lg_opp=12 opp=39 norm_anom=2.59 conf_p=0.149 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.59, 13 no_response since last effective change (107d ago).",,True,False,False,False,False,False,False,False,14,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CARBON9TH_Dexter,2024-06-07,2024-05-08 23:59:59.999999999,2024-06-07 23:59:59.999999999,463,29.242,0.5,4.977,70.289,22,19,3,0,0,0,0,False,WINDOW_QUALITY_OK,426.0,433.0,7.0,7.181,0.8277,0.2679,0.1723,17.0,100.0,83.0,67.1,98.0,100.0,0.0,0.0016,0.9387,0.8869,0.7805,52,133,26,49140.0,49140.0,49140.0,49140.0,0.0,0,0,0.0,,,86.13,86.13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2024-06-07 23:59:59.999999999,2023-02-04 11:14:49,2024-06-07 09:10:29,489.531,True,49160.0,2023-06-16 18:31:34,283.0,357.228,150.0,False,49140.0,2023-07-10 16:06:29,294.0,333.329,139.0,False,1,20.0,True,5,8,18,5,8,13,0,0,0,5,0,0,0,0,5,0,18,0,4.7139,0,-5.89163,2.5587,2.5587,357.228,150.0,13,0,0,2.5587,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble;large_gap_dominant,days_eff=357 days_any=333 cyc_eff=150 hq_nr=5 total_nr=13 cens=0 lg_opp=18 opp=36 norm_anom=2.56 conf_p=1 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.56, 13 no_response since last effective change (357d ago).",,True,False,True,True,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
NORITY-X1YOGA_nority,2026-05-20,2026-04-20 23:59:59.999999999,2026-05-20 23:59:59.999999999,264,29.189,0.5,13.593,43.719,36,15,2,0,0,0,0,False,WINDOW_QUALITY_OK,184.0,186.0,2.0,2.056,0.9069,0.1083,0.0931,72.0,100.0,28.0,94.15,97.0,100.0,0.0,0.0,0.9808,0.9626,0.8064,16,56,8,56990.0,56990.0,56990.0,56990.0,0.0,0,0,0.0,,,99.98,99.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2026-05-20 23:59:59.999999999,2023-02-07 01:57:03,2026-05-20 08:49:05,1198.919,True,56990.0,2023-02-07 01:57:03,5.0,1198.919,181.0,False,56990.0,2023-02-07 01:57:03,5.0,1198.919,181.0,False,0,0.0,False,0,14,4,0,14,14,0,0,7,4,0,7,7,0,0,0,4,0,4.4253,0,-5.43703,2.3613,2.3613,1198.919,181.0,14,7,0,2.3613,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;gauge_like,days_eff=1199 days_any=1199 cyc_eff=181 hq_nr=0 total_nr=14 cens=0 lg_opp=4 opp=29 norm_anom=2.36 conf_p=1 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 2.36, 14 no_response since last effective change (1198d ago).",,True,True,False,False,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
TBERDAR-F4G0ASQ_tberdar,2024-02-01,2024-01-02 23:59:59.999999999,2024-02-01 23:59:59.999999999,491,29.626,0.5,1.613,87.937,21,20,4,0,0,0,0,False,WINDOW_QUALITY_OK,61.0,76.0,15.0,15.19,0.6535,0.1223,0.3465,4.0,100.0,96.0,25.5,98.0,100.0,0.0023,0.043,0.7299,0.6577,0.6295,98,133,49,53810.0,53810.0,53810.0,53810.0,0.0,0,0,0.0,,,102.5,102.5,1,6,1,0,7,0,3,0,0,3,0,1,0,0,1,0.3144,0,1,1,0.685573,0.1639,0.99873,0.99764,0.1234,0,1,1,0.876596,0.0572,0.83505,2024-02-01 23:59:59.999999999,2023-08-03 12:33:41,2024-02-01 15:28:12,182.477,True,53810.0,2023-08-30 12:58:18,15.0,155.46,61.0,False,53810.0,2023-08-30 12:58:18,15.0,155.46,61.0,False,0,0.0,False,2,7,18,2,6,8,1,0,0,4,0,0,0,0,2,1,18,0,3.2087,0,-4.11893,1.7888,1.7888,155.46,61.0,8,0,0,1.7888,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_OPPORTUNITY_NO_RESPONSE,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;large_gap_dominant,days_eff=155 days_any=155 cyc_eff=61 hq_nr=2 total_nr=8 cens=1 lg_opp=18 opp=31 norm_anom=1.79 conf_p=0.999 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 1.79, 8 no_response since last effective change (155d ago).",,True,False,False,True,False,False,False,False,27,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
LAPTOP-TH5V7J86_CQE_Test,2023-10-23,2023-09-23 23:59:59.999999999,2023-10-23 23:59:59.999999999,326,28.032,0.5,5.147,120.373,14,10,5,0,0,0,0,False,WINDOW_QUALITY_OK,395.0,402.0,7.0,7.492,0.7282,0.1481,0.2718,9.0,100.0,91.0,23.25,98.0,100.0,0.0004,0.006,0.7509,0.7159,0.66,87,102,44,56990.0,56990.0,56990.0,56990.0,0.0,0,0,0.0,,,99.98,99.98,0,3,0,0,3,0,2,0,0,2,0,1,0,0,1,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2023-10-23 23:59:59.999999999,2023-05-19 09:42:35,2023-10-23 09:32:19,157.595,True,56990.0,2023-05-19 09:42:35,337.0,157.595,65.0,False,56990.0,2023-05-19 09:42:35,337.0,157.595,65.0,False,0,0.0,False,7,1,18,7,1,8,0,1,0,13,1,0,1,0,7,0,18,0,2.846,0,-3.54308,1.5387,1.5387,157.595,65.0,8,1,0,1.5387,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_LARGE_GAP_AMBIGUOUS,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;large_gap_dominant,days_eff=158 days_any=158 cyc_eff=65 hq_nr=7 total_nr=8 cens=0 lg_opp=18 opp=40 norm_anom=1.54 conf_p=1 micro_only=False cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 1.54, 8 no_response since last effective change (157d ago).",,True,False,False,True,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
CQUEEN-PW06FV2M_cqueen,2026-05-13,2026-04-13 23:59:59.999999999,2026-05-13 23:59:59.999999999,511,29.242,0.5,4.41,59.786,25,22,3,0,0,0,0,False,WINDOW_QUALITY_OK,309.0,316.0,7.0,7.181,0.7561,0.1227,0.2412,5.0,100.0,95.0,71.0,100.0,100.0,0.0158,0.0158,0.9377,0.8926,0.7544,77,98,38,74170.0,74190.0,74170.0,74190.0,20.0,1,0,0.0,,,82.33,82.35,0,2,0,0,2,0,2,0,0,2,0,2,0,0,2,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2026-05-13 23:59:59.999999999,2023-10-23 08:37:45,2026-05-13 14:02:10,933.64,True,74170.0,2025-05-28 08:06:42,254.0,350.662,62.0,False,74190.0,2026-04-21 08:38:30,311.0,22.64,5.0,True,1,20.0,True,1,5,13,1,5,6,0,0,2,12,0,2,2,0,1,0,13,0,2.4743,0,-3.19713,1.3885,1.3885,350.662,62.0,6,2,0,1.3885,4,MOBILE_DEEP_CYCLE,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_MICRO_WOBBLE_ONLY,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;micro_wobble;large_gap_dominant,days_eff=351 days_any=23 cyc_eff=62 hq_nr=1 total_nr=6 cens=0 lg_opp=13 opp=33 norm_anom=1.39 conf_p=1 micro_only=True cluster=MOBILE_DEEP_CYCLE,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 1.39, 6 no_response since last effective change (350d ago).",,True,False,True,True,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
TNAKAMURA8-CRZW_tnakamura8,2025-06-12,2025-05-13 23:59:59.999999999,2025-06-12 23:59:59.999999999,798,29.467,0.5,1.701,47.812,19,10,4,0,0,0,0,False,WINDOW_QUALITY_OK,662.0,673.0,11.0,11.199,0.7262,0.137,0.2738,31.0,100.0,69.0,65.85,99.0,100.0,0.0,0.0,0.9209,0.8302,0.6612,156,216,78,45370.0,45370.0,45370.0,45370.0,0.0,0,0,0.0,,,79.6,79.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0.0,,,0.0,0,0,0,,0.0,,2025-06-12 23:59:59.999999999,2023-02-10 14:03:19,2025-06-12 11:45:15,853.414,True,45370.0,2024-07-19 01:22:36,565.0,328.943,108.0,False,45370.0,2024-07-19 01:22:36,565.0,328.943,108.0,False,0,0.0,False,4,2,11,4,2,6,0,4,1,10,4,1,5,0,4,0,11,0,2.2635,0,-2.8724,1.2475,1.2475,328.943,108.0,6,5,0,1.2475,5,AC_BOUND,STATEFUL_FW_WATCH_HIGH_ANOMALY,WINDOW_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTION_FW_ENGINEERING_REVIEW,medium,4,fw_like_no_response_core_requirement_short,fw_like;gauge_like;large_gap_dominant,days_eff=329 days_any=329 cyc_eff=108 hq_nr=4 total_nr=6 cens=0 lg_opp=11 opp=32 norm_anom=1.25 conf_p=1 micro_only=False cluster=AC_BOUND,No user-facing action; monitoring.,"FW-like no-response signal but a core requirement is short (staleness/cycles/quality). Monitor and add to FW engineering queue. normative anomaly 1.25, 6 no_response since last effective change (328d ago).",,True,True,False,True,False,False,False,False,0,2026-06-08T10:02:59Z,rolling30-v2.0,30,1,abs_ge_50mWh
