mechanism,regime,naive_mean_false_no_response,proposed_mean_false_no_response,false_no_response_reduction
A,mcar_5pct,255.2,0.0,255.2
A,mcar_10pct,249.467,0.267,249.2
A,mcar_20pct,234.733,1.0,233.733
A,mcar_30pct,223.2,1.133,222.067
A,mcar_50pct,182.333,1.733,180.6
A,gap_3h_around_low,255.933,0.067,255.866
A,gap_6h_around_low,255.933,0.0,255.933
A,gap_12h_around_low,256.2,0.0,256.2
A,gap_24h_around_low,255.667,0.067,255.6
A,gap_48h_around_low,255.533,0.0,255.533
A,gap_24h_high_to_low,261.933,0.0,261.933
A,gap_24h_low_to_high,256.867,0.0,256.867
A,gap_24h_after_end,264.333,0.267,264.066
A,gap_24h_around_deadline,261.667,0.0,261.667
A,truncate_168h,260.0,0.0,260.0
A,truncate_336h,259.0,0.0,259.0
A,sleepgaps_fleet,195.2,1.467,193.733
B,mcar_5pct,50.4,0.467,49.933
B,mcar_10pct,50.933,2.333,48.6
B,mcar_20pct,48.867,3.533,45.334
B,mcar_30pct,48.8,6.8,42.0
B,mcar_50pct,47.133,10.8,36.333
B,gap_3h_around_low,50.933,0.0,50.933
B,gap_6h_around_low,50.8,0.067,50.733
B,gap_12h_around_low,50.933,0.067,50.866
B,gap_24h_around_low,50.933,0.0,50.933
B,gap_48h_around_low,51.267,0.2,51.067
B,gap_24h_high_to_low,50.867,0.133,50.734
B,gap_24h_low_to_high,51.2,0.067,51.133
B,gap_24h_after_end,54.133,0.067,54.066
B,gap_24h_around_deadline,51.467,0.2,51.267
B,truncate_168h,32.0,0.0,32.0
B,truncate_336h,30.0,0.0,30.0
B,sleepgaps_fleet,70.0,21.733,48.267
union,mcar_5pct,208.467,2.267,206.2
union,mcar_10pct,207.6,5.2,202.4
union,mcar_20pct,202.533,12.267,190.266
union,mcar_30pct,193.467,17.867,175.6
union,mcar_50pct,176.0,24.267,151.733
union,gap_3h_around_low,210.867,0.333,210.534
union,gap_6h_around_low,211.0,0.133,210.867
union,gap_12h_around_low,210.733,0.267,210.466
union,gap_24h_around_low,211.0,0.067,210.933
union,gap_48h_around_low,210.267,0.2,210.067
union,gap_24h_high_to_low,210.933,0.067,210.866
union,gap_24h_low_to_high,210.933,0.0,210.933
union,gap_24h_after_end,213.533,0.133,213.4
union,gap_24h_around_deadline,211.4,0.2,211.2
union,truncate_168h,191.0,0.0,191.0
union,truncate_336h,188.0,0.0,188.0
union,sleepgaps_fleet,188.0,26.8,161.2
