mechanism,regime,detector,mean_false_no_response,mean_missed_no_response,mean_n_no_response,false_per_user_point,false_per_user_ci_lo,false_per_user_ci_hi,mean_episode_recovery,n_replicates
A,mcar_5pct,naive,255.2,2.4,364.333,14.1778,8.0066,23.0599,0.9765,15
A,mcar_5pct,binary_gap_gate,0.0,61.2,38.867,0.0,0.0,0.0,0.9765,15
A,mcar_5pct,graded,0.0,4.333,99.533,0.0,0.0,0.0,0.9765,15
A,mcar_5pct,proposed,0.0,4.333,99.533,0.0,0.0,0.0,0.9765,15
A,mcar_10pct,naive,249.467,3.333,356.867,13.8593,7.3508,20.9865,0.9566,15
A,mcar_10pct,binary_gap_gate,0.133,63.133,37.0,0.0074,0.0,0.0222,0.9566,15
A,mcar_10pct,graded,0.267,9.0,94.4,0.0148,0.0,0.037,0.9566,15
A,mcar_10pct,proposed,0.267,9.0,94.4,0.0148,0.0,0.0444,0.9566,15
A,mcar_20pct,naive,234.733,8.467,335.6,13.0407,7.0628,19.077,0.9068,15
A,mcar_20pct,binary_gap_gate,0.467,68.333,31.933,0.0259,0.0,0.063,0.9068,15
A,mcar_20pct,graded,1.0,17.0,86.533,0.0556,0.011,0.1333,0.9068,15
A,mcar_20pct,proposed,1.0,17.0,86.533,0.0556,0.0073,0.1259,0.9068,15
A,mcar_30pct,naive,223.2,14.4,316.8,12.4,6.3554,18.6825,0.8529,15
A,mcar_30pct,binary_gap_gate,0.267,73.8,26.867,0.0148,0.0,0.0408,0.8529,15
A,mcar_30pct,graded,1.133,27.4,76.067,0.063,0.0111,0.1259,0.8529,15
A,mcar_30pct,proposed,1.133,27.4,76.067,0.063,0.0147,0.1333,0.8529,15
A,mcar_50pct,naive,182.333,29.2,258.267,10.1296,5.7729,15.6043,0.7025,15
A,mcar_50pct,binary_gap_gate,0.667,82.733,19.0,0.037,0.0,0.0852,0.7025,15
A,mcar_50pct,graded,1.733,49.933,53.267,0.0963,0.0185,0.2222,0.7025,15
A,mcar_50pct,proposed,1.733,50.0,53.2,0.0963,0.0148,0.2409,0.7025,15
A,gap_3h_around_low,naive,255.933,1.467,365.867,14.2185,7.2992,22.6862,0.9782,15
A,gap_3h_around_low,binary_gap_gate,0.067,60.133,39.933,0.0037,0.0,0.0111,0.9782,15
A,gap_3h_around_low,graded,0.067,3.2,100.733,0.0037,0.0,0.0111,0.9782,15
A,gap_3h_around_low,proposed,0.067,3.2,100.733,0.0037,0.0,0.0111,0.9782,15
A,gap_6h_around_low,naive,255.933,1.8,365.467,14.2185,7.9651,21.9675,0.9787,15
A,gap_6h_around_low,binary_gap_gate,0.0,60.733,39.267,0.0,0.0,0.0,0.9787,15
A,gap_6h_around_low,graded,0.0,3.533,100.333,0.0,0.0,0.0,0.9787,15
A,gap_6h_around_low,proposed,0.0,3.533,100.333,0.0,0.0,0.0,0.9787,15
A,gap_12h_around_low,naive,256.2,2.4,364.667,14.2333,7.7205,21.4722,0.9776,15
A,gap_12h_around_low,binary_gap_gate,0.0,61.4,38.8,0.0,0.0,0.0,0.9776,15
A,gap_12h_around_low,graded,0.0,4.4,99.333,0.0,0.0,0.0,0.9776,15
A,gap_12h_around_low,proposed,0.0,4.4,99.333,0.0,0.0,0.0,0.9776,15
A,gap_24h_around_low,naive,255.667,2.4,364.667,14.2037,7.9877,21.9751,0.9743,15
A,gap_24h_around_low,binary_gap_gate,0.0,60.733,39.2,0.0,0.0,0.0,0.9743,15
A,gap_24h_around_low,graded,0.067,5.4,98.467,0.0037,0.0,0.0111,0.9743,15
A,gap_24h_around_low,proposed,0.067,5.4,98.467,0.0037,0.0,0.0111,0.9743,15
A,gap_48h_around_low,naive,255.533,3.933,362.8,14.1963,7.6053,21.6258,0.9706,15
A,gap_48h_around_low,binary_gap_gate,0.0,61.667,38.8,0.0,0.0,0.0,0.9706,15
A,gap_48h_around_low,graded,0.0,6.067,97.933,0.0,0.0,0.0,0.9706,15
A,gap_48h_around_low,proposed,0.0,6.067,97.933,0.0,0.0,0.0,0.9706,15
A,gap_24h_high_to_low,naive,261.933,0.133,373.467,14.5519,8.2778,23.545,0.9994,15
A,gap_24h_high_to_low,binary_gap_gate,0.0,60.2,39.867,0.0,0.0,0.0,0.9994,15
A,gap_24h_high_to_low,graded,0.0,2.933,101.0,0.0,0.0,0.0,0.9994,15
A,gap_24h_high_to_low,proposed,0.0,2.933,101.0,0.0,0.0,0.0,0.9994,15
A,gap_24h_around_low,naive,255.8,1.867,364.6,14.2111,7.4513,21.2456,0.9763,15
A,gap_24h_around_low,binary_gap_gate,0.0,61.867,38.4,0.0,0.0,0.0,0.9763,15
A,gap_24h_around_low,graded,0.0,5.0,98.4,0.0,0.0,0.0,0.9763,15
A,gap_24h_around_low,proposed,0.0,5.0,98.4,0.0,0.0,0.0,0.9763,15
A,gap_24h_low_to_high,naive,256.867,2.267,365.533,14.2704,7.4491,20.9522,0.9785,15
A,gap_24h_low_to_high,binary_gap_gate,0.0,61.2,39.2,0.0,0.0,0.0,0.9785,15
A,gap_24h_low_to_high,graded,0.0,4.8,98.667,0.0,0.0,0.0,0.9785,15
A,gap_24h_low_to_high,proposed,0.0,4.8,98.667,0.0,0.0,0.0,0.9785,15
A,gap_24h_after_end,naive,264.333,2.8,372.6,14.6852,8.2428,21.8943,0.9725,15
A,gap_24h_after_end,binary_gap_gate,0.2,61.067,39.4,0.0111,0.0,0.0222,0.9725,15
A,gap_24h_after_end,graded,0.267,4.133,100.067,0.0148,0.0,0.0333,0.9725,15
A,gap_24h_after_end,proposed,0.267,4.133,100.067,0.0148,0.0,0.0333,0.9725,15
A,gap_24h_around_deadline,naive,261.667,0.2,373.467,14.537,8.3256,21.5095,0.9981,15
A,gap_24h_around_deadline,binary_gap_gate,0.0,59.6,40.333,0.0,0.0,0.0,0.9981,15
A,gap_24h_around_deadline,graded,0.0,2.133,101.8,0.0,0.0,0.0,0.9981,15
A,gap_24h_around_deadline,proposed,0.0,2.133,101.8,0.0,0.0,0.0,0.9981,15
A,truncate_168h,naive,260.0,0.0,372.0,14.4444,8.2208,22.7778,0.9952,15
A,truncate_168h,binary_gap_gate,0.0,59.0,41.0,0.0,0.0,0.0,0.9952,15
A,truncate_168h,graded,0.0,0.0,104.0,0.0,0.0,0.0,0.9952,15
A,truncate_168h,proposed,0.0,1.0,103.0,0.0,0.0,0.0,0.9952,15
A,truncate_336h,naive,259.0,1.0,370.0,14.3889,8.325,23.0028,0.9904,15
A,truncate_336h,binary_gap_gate,0.0,59.0,41.0,0.0,0.0,0.0,0.9904,15
A,truncate_336h,graded,0.0,1.0,103.0,0.0,0.0,0.0,0.9904,15
A,truncate_336h,proposed,0.0,2.0,102.0,0.0,0.0,0.0,0.9904,15
A,sleepgaps_fleet,naive,195.2,34.267,266.533,10.8444,5.8367,16.9148,0.6809,15
A,sleepgaps_fleet,binary_gap_gate,0.8,89.4,13.2,0.0444,0.0037,0.1111,0.6809,15
A,sleepgaps_fleet,graded,1.467,68.0,35.4,0.0815,0.0111,0.1816,0.6809,15
A,sleepgaps_fleet,proposed,1.467,68.0,35.4,0.0815,0.0148,0.1705,0.6809,15
B,mcar_5pct,naive,50.4,60.133,4016.4,2.8,1.8699,3.7855,0.9852,15
B,mcar_5pct,binary_gap_gate,17.733,147.733,3823.667,0.9852,0.4369,1.6076,0.9852,15
B,mcar_5pct,graded,18.733,60.333,3965.867,1.0407,0.4889,1.678,0.9852,15
