control,metric,true_value,control_mean,control_ci_lo,control_ci_hi,true_minus_control,true_over_control,true_outside_null_95ci,true_bootlo_exceeds_control_mean,directionally_supported,randomization_p,n_replicates,mechanism
circular_step_shift,resp_prob_24h,0.30928,0.11635,0.08763,0.15206,0.19293,2.6582,True,,,0.00332,300,A
circular_step_shift,resp_prob_72h,0.40979,0.26372,0.22545,0.31443,0.14607,1.5539,True,,,0.00332,300,A
circular_step_shift,resp_prob_168h,0.6366,0.42408,0.37236,0.47938,0.21252,1.5011,True,True,True,0.00332,300,A
circular_step_shift,confirmed_no_response_episodes,229.0,285.67667,266.0,300.525,-56.67667,0.8016,False,,,1.0,300,A
circular_step_shift,fw_like_flagged_users,25.0,32.22,27.0,37.0,-7.22,0.7759,False,,,1.0,300,A
circular_episode_shift,resp_prob_24h,0.30928,0.11523,0.08526,0.14453,0.19405,2.684,True,,,0.00332,300,A
circular_episode_shift,resp_prob_72h,0.40979,0.2607,0.21641,0.30658,0.14909,1.5719,True,,,0.00332,300,A
circular_episode_shift,resp_prob_168h,0.6366,0.41703,0.3612,0.4814,0.21957,1.5265,True,True,True,0.00332,300,A
circular_episode_shift,confirmed_no_response_episodes,229.0,283.08333,265.0,301.0,-54.08333,0.8089,False,,,1.0,300,A
circular_episode_shift,fw_like_flagged_users,25.0,31.47667,26.475,36.0,-6.47667,0.7942,False,,,0.99668,300,A
within_user_time_randomization,resp_prob_24h,0.30928,0.12577,0.09536,0.15464,0.18351,2.459,True,,,0.00332,300,A
within_user_time_randomization,resp_prob_72h,0.40979,0.28095,0.23969,0.31443,0.12885,1.4586,True,,,0.00332,300,A
within_user_time_randomization,resp_prob_168h,0.6366,0.43832,0.39948,0.4768,0.19827,1.4523,True,True,True,0.00332,300,A
within_user_time_randomization,confirmed_no_response_episodes,229.0,278.99333,266.0,295.0,-49.99333,0.8208,False,,,1.0,300,A
within_user_time_randomization,fw_like_flagged_users,25.0,31.08,27.0,35.0,-6.08,0.8044,False,,,0.99336,300,A
matched_pseudo_episode,resp_prob_24h,0.30928,0.1799,0.14416,0.21167,0.12937,1.7191,True,,,0.00332,300,A
matched_pseudo_episode,resp_prob_72h,0.40979,0.3427,0.31102,0.37635,0.06709,1.1958,True,,,0.00332,300,A
matched_pseudo_episode,resp_prob_168h,0.6366,0.5359,0.50335,0.5637,0.1007,1.1879,True,False,False,0.00332,300,A
matched_pseudo_episode,confirmed_no_response_episodes,229.0,247.4,234.475,259.0,-18.4,0.9256,False,,,0.99668,300,A
matched_pseudo_episode,fw_like_flagged_users,25.0,29.07667,25.0,33.0,-4.07667,0.8598,False,,,0.98007,300,A
