mechanism,anchor,window_h,n_episodes,n_episodes_counted,n_counted_steps,frac_steps_before_completion,frac_steps_at_or_before_completion,duplicate_attribution_rate,n_duplicate_attr,n_total_attr
A,start,24,408,187,273,0.92308,0.95238,0.0293,8,273
A,start,72,408,263,557,0.68941,0.71813,0.10054,56,557
A,start,168,408,302,971,0.48507,0.50875,0.17508,170,971
A,low,24,408,267,375,0.672,0.74667,0.05333,20,375
A,low,72,408,285,554,0.45487,0.50722,0.14079,78,554
A,low,168,408,309,974,0.25873,0.2885,0.21663,211,974
A,end,24,408,125,162,0.0,0.17901,0.03086,5,162
A,end,72,408,167,320,0.0,0.09062,0.11875,38,320
A,end,168,408,258,750,0.0,0.03867,0.19867,149,750
B,arm,24,32228,5926,9317,0.1567,0.27895,0.15305,1426,9317
B,arm,72,32228,8573,20333,0.0718,0.12792,0.42674,8677,20333
B,arm,168,32228,11816,42877,0.03405,0.06069,0.65317,28006,42877
B,end,24,32228,5708,8684,0.0,0.13151,0.1421,1234,8684
B,end,72,32228,8497,19517,0.0,0.05851,0.41881,8174,19517
B,end,168,32228,11808,42326,0.0,0.02698,0.65088,27549,42326
union,end,24,30511,5290,8067,0.0,0.13301,0.14268,1151,8067
union,end,72,30511,7839,18094,0.0,0.0593,0.41301,7473,18094
union,end,168,30511,10893,39460,0.0,0.02719,0.64007,25257,39460
