detector,retention_days,response_window_h,gap_config,recall,duplicate_rate,resolvable_rate,response_agreement,no_response_mae,storage_ratio
stateful,7,24,graded,1.0,0.0,1.0,1.0,0.0,0.0417
stateful,7,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.0417
stateful,7,72,graded,1.0,0.0,1.0,1.0,0.0,0.0417
stateful,7,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.0417
stateful,7,168,graded,1.0,0.0,1.0,1.0,0.0,0.0417
stateful,7,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.0417
stateful,14,24,graded,1.0,0.0,1.0,1.0,0.0,0.08219999999999998
stateful,14,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.08219999999999998
stateful,14,72,graded,1.0,0.0,1.0,1.0,0.0,0.08219999999999998
stateful,14,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.08219999999999998
stateful,14,168,graded,1.0,0.0,1.0,1.0,0.0,0.08219999999999998
stateful,14,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.08219999999999998
stateful,21,24,graded,1.0,0.0,1.0,1.0,0.0,0.1227
stateful,21,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.1227
stateful,21,72,graded,1.0,0.0,1.0,1.0,0.0,0.1227
stateful,21,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.1227
stateful,21,168,graded,1.0,0.0,1.0,1.0,0.0,0.1227
stateful,21,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.1227
stateful,30,24,graded,1.0,0.0,1.0,1.0,0.0,0.1747
stateful,30,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.1747
stateful,30,72,graded,1.0,0.0,1.0,1.0,0.0,0.1747
stateful,30,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.1747
stateful,30,168,graded,1.0,0.0,1.0,1.0,0.0,0.1747
stateful,30,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.1747
stateful,45,24,graded,1.0,0.0,1.0,1.0,0.0,0.2614
stateful,45,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.2614
stateful,45,72,graded,1.0,0.0,1.0,1.0,0.0,0.2614
stateful,45,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.2614
stateful,45,168,graded,1.0,0.0,1.0,1.0,0.0,0.2614
stateful,45,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.2614
stateful,60,24,graded,1.0,0.0,1.0,1.0,0.0,0.3482
stateful,60,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.3482
stateful,60,72,graded,1.0,0.0,1.0,1.0,0.0,0.3482
stateful,60,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.3482
stateful,60,168,graded,1.0,0.0,1.0,1.0,0.0,0.3482
stateful,60,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.3482
stateful,90,24,graded,1.0,0.0,1.0,1.0,0.0,0.5217
stateful,90,24,ok_only,1.0,0.0,1.0,1.0,0.0,0.5217
stateful,90,72,graded,1.0,0.0,1.0,1.0,0.0,0.5217
stateful,90,72,ok_only,1.0,0.0,1.0,1.0,0.0,0.5217
stateful,90,168,graded,1.0,0.0,1.0,1.0,0.0,0.5217
stateful,90,168,ok_only,1.0,0.0,1.0,1.0,0.0,0.5217
stateless,7,24,graded,0.9740285714285715,2.8602357142857144,0.9012,0.9033928571428572,2.6096357142857145,0.0405
stateless,7,24,ok_only,0.9824,2.8850857142857143,0.9096214285714286,0.9118285714285713,2.2981928571428574,0.0405
stateless,7,72,graded,0.9740285714285715,2.8602357142857144,0.7557285714285714,0.7614142857142857,6.828200000000001,0.0405
stateless,7,72,ok_only,0.9824,2.8850857142857143,0.7647642857142857,0.770507142857143,6.282164285714286,0.0405
stateless,7,168,graded,0.9740285714285715,2.8602357142857144,0.0,0.010607142857142857,29.402000000000005,0.0405
