threshold_kind,threshold,frac_steps_micro,n_effective_steps,users_no_effective_step,frac_users_no_effective_step,frac_no_eff_band0,frac_no_eff_band1,frac_no_eff_band2
fixed_mwh,10.0,0.0,43230,0,0.0,0.0,0.0,0.0
fixed_mwh,20.0,0.3168,29534,33,0.0477,0.0,0.0468,0.0567
fixed_mwh,30.0,0.4777,22579,122,0.1763,0.0,0.1667,0.234
fixed_mwh,40.0,0.5383,19961,130,0.1879,0.0,0.1779,0.2482
fixed_mwh,50.0,0.5814,18095,139,0.2009,0.0,0.1948,0.2482
fixed_mwh,75.0,0.6463,15290,150,0.2168,0.0588,0.2097,0.2624
fixed_mwh,100.0,0.6709,14227,152,0.2197,0.0588,0.2116,0.2695
fixed_mwh,150.0,0.7147,12334,155,0.224,0.0588,0.2154,0.2766
pct_design,0.05,0.4801,22475,124,0.1792,,,
pct_design,0.1,0.61,16858,147,0.2124,,,
pct_design,0.2,0.6841,13655,154,0.2225,,,
pct_design,0.5,0.7779,9602,162,0.2341,,,
k_quant,2.0,0.3612,27616,76,0.1098,,,
k_quant,3.0,0.5334,20169,164,0.237,,,
k_quant,4.0,0.5718,18513,175,0.2529,,,
k_quant,5.0,0.5982,17371,184,0.2659,,,
k_quant,6.0,0.6224,16324,190,0.2746,,,
k_quant,7.0,0.6394,15587,192,0.2775,,,
k_quant,8.0,0.6546,14930,196,0.2832,,,
k_quant,9.0,0.6672,14387,200,0.289,,,
k_quant,10.0,0.6797,13847,204,0.2948,,,
user_noise_p50,0.5,0.2869,30827,0,0.0,,,
hybrid_adaptive,0.0,0.6669,14400,178,0.2572,,,
