regime,naive_mean_false_no_response,proposed_mean_false_no_response,false_no_response_reduction
mcar_5pct,656.433,1.65,654.783
mcar_10pct,650.083,3.183,646.9
mcar_20pct,634.1,6.217,627.883
mcar_30pct,611.85,10.3,601.55
mcar_50pct,551.233,17.1,534.133
gap_3h_around_low,659.833,0.117,659.716
gap_6h_around_low,660.683,0.283,660.4
gap_12h_around_low,660.5,0.617,659.883
gap_24h_around_low,660.717,1.017,659.7
gap_48h_around_low,661.767,2.417,659.35
gap_24h_high_to_low,662.7,0.283,662.417
gap_24h_around_low,660.717,1.017,659.7
gap_24h_low_to_high,660.217,0.55,659.667
gap_24h_after_end,667.933,1.217,666.716
gap_24h_around_deadline,664.383,1.45,662.933
truncate_72h,648.0,0.0,648.0
truncate_168h,647.0,0.0,647.0
sleepgaps_fleet,561.617,26.45,535.167
