user_id,od2_label,baseline_label
0350LQ-PF593HRF_0350LQ,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ABUCKNER-0B0WH8_abuckner,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ADAMSTHAMESLNLB_Howes,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ADAMS_ALLOY,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ADAMS_JAGUAR3,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ADIEHL-PF4CNVD9_adiehl,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AGEORGE3-4SA7W2_ageorge3,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
AH-PF2PXA6R_ah,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
AH-PF4KXDJ8_ah,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AIII1-PF55Q7L6_aiii1,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
AIII1-PF6249QS_aiii1,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AIII1-PW0J2TQF_aiii1,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AINOW_UX,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AKOZLOWSKI-ALZD_akozlowski,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AL-SVT7_xuxru,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ALLOY-SIT_mripp,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ALLOY_FINALSVT,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AMALU_asanthosh,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AMANDELBLOO-4SM_amandelbloom,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AMANDELBLOO-9TD_amandelbloom,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AMANDELBLOO-VBQ_amandelbloom,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY
AMANDELBLOOXH8H_amandelbloom,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AMCCLARNON-1Z35_amcclarnon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AMCCLARNON-69JL_amcclarnon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AMCCLARNON-TSEM_amcclarnon,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AMIGDOL-F67CCZ1_amigdol,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AMIKAMI-F49VQPZ_amikami,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
ANAKAMURA8-3ZVB_anakamura8,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
ANDY-TH1_zuyin,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ANDY_zuyin,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY
ANIETO1-F5GNTSH_anieto1,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY
ANODA-PF5E0G8K_anoda,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ANUPT14S_avachali,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ANUP_TINY,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AOHYAMA-F3Y6JVY_aohyama,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
APARAMESWAR-G5E_aparameswara,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
APARAMESWAR-PAD_aparameswara,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ARAMAR-R9109T7G_aramar,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ARANGANATHA-8QB_aranganathan,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ASANTHOSH-9S10E_asanthosh,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ASANTHOSH-FT15Y_X1,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ASANTHOSH-FT15Y_asanthosh,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
ASANTHOSH_asanthosh,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ASHISHIDO-RHBV7_ashishido,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
ATOKYO-PF3TQD0N_atokyo,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
AVACHALI-4SM98Q_avachali,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
AVON-SVTSKU3_Avon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
AVON_SIT2,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BDILLON-F4RV0ZR_bdillon,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
BDILLON-F58TDBM_bdillon,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
BDILLON-F5CZRRY_T14,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BDILLON-F5CZRRY_bdillon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BDILLON-F62WZTG_bdillon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BDILLON-F65JXS1_bdillon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BDILLON-F67NKP7_bdillon,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BFALEIRO-0A1NXZ_bfaleiro,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY,ACTIONABLE_GAUGE_RESET_INSUFFICIENT_LEARNING_OPPORTUNITY
BFALEIRO-5C6ATS_bfaleiro,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
BFALEIRO-629K3A_bfaleiro,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BILLWORK2_ottow,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BKOCHUPARAM-BR2_bkochuparamb,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
BMIAO-PF4CFQ04_bmiao,WATCH_LOW_UPDATE_RATE_AMBIGUOUS,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
BOB_Libra2.1-ELP2-SVT34,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BRIAN_bcampbell,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
BRYAN_X1,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,WATCH_LOW_UPDATE_RATE_AMBIGUOUS
CARBON9TH_Dexter,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE
CARLLAPTOP_CarlWu,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE,ACTIONABLE_FW_CHECK_OPPORTUNITY_NO_RESPONSE
CARZADON-3JDEXX_carzadon,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
CBLACKBURN-E2WL_cblackburn,REVIEW_INSUFFICIENT_DATA,REVIEW_INSUFFICIENT_DATA
CBLACKBURN-TSG2_cblackburn,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
CBLACKBURNXY23A_cblackburn,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
CBOULTON-5METJ1_cboulton,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
CCHEN50-F3PD01M_cchen50,NORMAL_OR_RESPONDING,NORMAL_OR_RESPONDING
