variant,type,n_episodes,n_users,n_ok,ok_response_rate_72h
FULL=97,typeA,3954,476,418,0.4015
FULL=97,typeB,35603,705,33523,0.266
FULL=97,union,37303,707,31811,0.2596
FULL=99,typeA,3913,475,408,0.4175
FULL=99,typeB,34578,704,32228,0.2655
FULL=99,union,36225,706,30511,0.2587
FULL=100,typeA,3843,471,389,0.4173
FULL=100,typeB,33531,703,31036,0.2634
FULL=100,union,35102,704,29306,0.256
DEEP=4,typeA,2522,417,203,0.41
DEEP=4,typeB,34578,704,32228,0.2655
DEEP=4,union,35616,706,31033,0.26
DEEP=6,typeA,3913,475,408,0.4175
DEEP=6,typeB,34578,704,32228,0.2655
DEEP=6,union,36225,706,30511,0.2587
DEEP=8,typeA,4689,502,549,0.4241
DEEP=8,typeB,34578,704,32228,0.2655
DEEP=8,union,36573,706,30248,0.2574
DEEP=10,typeA,5486,514,746,0.4185
DEEP=10,typeB,34578,704,32228,0.2655
DEEP=10,union,36878,706,29978,0.2561
BAND=55-80,typeA,3913,475,408,0.4175
BAND=55-80,typeB,37798,704,35085,0.2701
BAND=55-80,union,39164,706,33125,0.2631
BAND=60-80,typeA,3913,475,408,0.4175
BAND=60-80,typeB,34578,704,32228,0.2655
BAND=60-80,union,36225,706,30511,0.2587
BAND=60-85,typeA,3913,475,408,0.4175
BAND=60-85,typeB,44210,713,41400,0.257
BAND=60-85,union,45541,715,39376,0.2501
ABORT=50,typeA,3913,475,408,0.4175
ABORT=50,typeB,34931,704,32282,0.2653
ABORT=50,union,36559,706,30571,0.2585
ABORT=60,typeA,3913,475,408,0.4175
ABORT=60,typeB,34578,704,32228,0.2655
ABORT=60,union,36225,706,30511,0.2587
