user_id,n_complete_ok_opportunities,expected_tail_responses_72h,observed_tail_responses_72h,response_residual,response_residual_z,ml_fw_support_score_0_100,analysis_timestamp
AH-PF2PXA6R_ah,1,0.115,0.0,-0.115,-0.361,19.6,2026-06-03T16:38:27
ATOKYO-PF3TQD0N_atokyo,1,0.921,0.0,-0.921,-3.408,32.3,2026-06-03T16:38:27
CARBON9TH_Dexter,4,0.979,0.0,-0.979,-1.213,77.1,2026-06-03T16:38:27
CARLLAPTOP_CarlWu,17,3.644,0.0,-3.644,-2.725,93.8,2026-06-03T16:38:27
CHIKARA7-3PAB5T_chikara7,5,0.27,0.0,-0.27,-0.557,63.6,2026-06-03T16:38:27
EB16034-F4414Y8_eb16034,6,1.605,0.0,-1.605,-1.526,82.1,2026-06-03T16:38:27
GKONDOXPF3TRKJD_gkondo,3,0.834,0.0,-0.834,-1.075,74.6,2026-06-03T16:38:27
GREG-WORK-X13Y_gmcneil,13,5.358,0.0,-5.358,-3.169,96.0,2026-06-03T16:38:27
HARRLIXPF4PFNTC_harrli,10,7.456,0.0,-7.456,-7.058,99.9,2026-06-03T16:38:27
IMANARANG1-3A19_imanarang1,4,1.872,0.0,-1.872,-2.084,88.9,2026-06-03T16:38:27
JANUMOLU-0A203W_janumolu,3,1.158,0.0,-1.158,-1.411,80.4,2026-06-03T16:38:27
JESTROFF-4G0AHW_jestroff,3,0.724,0.0,-0.724,-1.139,75.7,2026-06-03T16:38:27
JESTROFF-4SA4E9_jestroff,1,0.195,0.0,-0.195,-0.492,20.7,2026-06-03T16:38:27
JMATTHEWS2-YXHQ_jmatthews2,1,0.938,0.0,-0.938,-3.878,32.7,2026-06-03T16:38:27
KMAKI-PF45ET63_kmaki,5,2.062,0.0,-2.062,-2.753,94.0,2026-06-03T16:38:27
KSHIBATAX3Y83N9_KSHIBATA,24,3.895,0.0,-3.895,-2.218,90.2,2026-06-03T16:38:27
LAPTOP-CPPVM862_LL,1,0.095,0.0,-0.095,-0.324,19.3,2026-06-03T16:38:27
LAPTOP-Q6HOEUNN_tyler,1,0.214,0.0,-0.214,-0.522,20.9,2026-06-03T16:38:27
LAPTOP-SJCL3CJL_scollins1,3,0.823,0.0,-0.823,-1.324,79.0,2026-06-03T16:38:27
LAPTOP-STAV4QJC_PQM,2,0.027,0.0,-0.027,-0.164,36.1,2026-06-03T16:38:27
LAPTOP-TH5V7J86_CQE_Test,12,1.656,0.0,-1.656,-1.465,81.2,2026-06-03T16:38:27
MATT-T16G1_lietzke,8,3.247,0.0,-3.247,-2.514,92.5,2026-06-03T16:38:27
MBHAVSAR-3R8CWY_mbhavsar,12,0.791,0.0,-0.791,-0.927,71.7,2026-06-03T16:38:27
MHAGI-PF3YCK6H_mhagi,61,14.796,0.0,-14.796,-5.6,99.6,2026-06-03T16:38:27
MNISHIO1-43AFSK_Debug,1,0.097,0.0,-0.097,-0.328,19.4,2026-06-03T16:38:27
NORITY-PF3C8AE9_nority,1,0.093,0.0,-0.093,-0.32,19.3,2026-06-03T16:38:27
PRIMUS_tscott2,1,0.064,0.0,-0.064,-0.262,18.8,2026-06-03T16:38:27
RAY-X1-9_Ratan,3,2.509,0.0,-2.509,-3.926,98.1,2026-06-03T16:38:27
RSEKINOXF43CNVB_rsekino,1,0.08,0.0,-0.08,-0.295,19.1,2026-06-03T16:38:27
SDESCHENES-FH3M_sdeschenes,10,5.861,0.0,-5.861,-3.97,98.1,2026-06-03T16:38:27
SIWAI-PF43AVX9_siwai,3,2.832,0.0,-2.832,-7.115,99.9,2026-06-03T16:38:27
SIWAI-PF462GGQ_localuser,1,0.059,0.0,-0.059,-0.251,18.7,2026-06-03T16:38:27
SIWAI-PF462GGQ_siwai,1,0.104,0.0,-0.104,-0.34,19.5,2026-06-03T16:38:27
TBERDAR-F4G0ASQ_tberdar,2,0.713,0.0,-0.713,-1.054,49.4,2026-06-03T16:38:27
TNAKAMURA8-CRZW_tnakamura8,9,3.492,0.0,-3.492,-4.082,98.3,2026-06-03T16:38:27
YTAGAMI-F3TQANR_ytagami,2,0.157,0.0,-0.157,-0.412,40.1,2026-06-03T16:38:27
