feature,category,in_rule,spearman_vs_rate,p,partial_ctrl_cycles,cliff_HW_vs_active,learning_eligible
fcc_changes,LEAKY,False,0.736,0.0,0.687,-0.519,False
fcc_distinct,LEAKY,False,0.735,0.0,0.685,-0.529,False
soh_flat_tail_days,LEAKY,False,-0.641,0.0,-0.606,1.0,False
cycles_per_month,CANDIDATE,False,0.603,0.0,-0.004,0.181,True
cycles_per_year,CANDIDATE,True,0.603,0.0,0.603,0.18,True
flat_pct_of_span,LEAKY,False,-0.584,0.0,-0.56,0.844,False
rsoc_swing,CANDIDATE,False,0.422,0.0,0.11,0.1,True
ac_event_ratio,CANDIDATE,False,-0.41,0.0,-0.118,-0.018,True
fade_pct_per_year,CONSEQUENCE,False,0.4,0.0,0.114,-0.108,False
rsoc_p05,CANDIDATE,False,-0.398,0.0,-0.081,-0.133,True
ac_time_ratio,CANDIDATE,True,-0.394,0.0,-0.103,-0.043,True
battery_time_ratio,CANDIDATE,False,0.394,0.0,0.103,0.043,True
soh_peak_pct,CONSEQUENCE,False,-0.367,0.0,-0.234,-0.021,False
capacity_fade_pct,CONSEQUENCE,False,0.367,0.0,0.234,0.021,False
mean_dod_pct,CANDIDATE,False,0.353,0.0,0.129,0.044,True
time_ratio_below_20pct,CANDIDATE,False,0.337,0.0,0.098,0.165,True
median_dod_pct,CANDIDATE,False,0.323,0.0,0.076,0.075,True
mean_pct_remaining,CANDIDATE,False,-0.301,0.0,0.001,-0.145,True
frac_below_10,CANDIDATE,False,0.278,0.0,0.079,0.187,True
cycles_in_window,CANDIDATE,False,0.266,0.0,-0.099,0.614,True
n_full_range_dis,CANDIDATE,True,0.265,0.0,0.024,0.3,True
n_discharge_sessions,CANDIDATE,False,0.263,0.0,-0.065,0.557,True
n_deep_dis10,CANDIDATE,False,0.245,0.0,-0.019,0.46,True
time_ratio_full_on_ac,CANDIDATE,False,-0.235,0.0,0.054,-0.138,True
min_rsoc,CANDIDATE,True,-0.231,0.0,-0.053,-0.313,True
sleep_events,CANDIDATE,False,0.225,0.0,0.099,-0.307,True
rsoc_p95,CANDIDATE,False,0.217,0.0,0.213,-0.074,True
cycle_count_last,CANDIDATE,False,0.212,0.0,-0.102,0.616,True
frac_below_5,CANDIDATE,False,0.21,0.0,0.058,0.16,True
total_awake_hrs_last,CANDIDATE,False,-0.2,0.0,-0.185,0.578,True
total_charged_capacity_last,CANDIDATE,False,0.187,0.0,-0.089,0.591,True
soh_design_pct,CONSEQUENCE,False,-0.173,0.0,-0.057,-0.12,False
reaches_full,CANDIDATE,False,0.168,0.0,0.115,-0.033,True
observation_days,CONTROL,False,-0.136,0.0002,-0.135,0.582,False
median_pct_remaining,CANDIDATE,False,-0.129,0.0004,0.074,-0.167,True
fcc_last,LEAKY,False,-0.118,0.0012,0.021,-0.31,False
stale_days,LEAKY,False,-0.096,0.0085,-0.156,0.249,False
frac_awake_high_temp,CANDIDATE,False,0.083,0.0276,0.023,0.008,True
hours_high_temp_last,CANDIDATE,False,0.072,0.049,0.02,0.037,True
hours_at_full_charge_last,CANDIDATE,False,-0.064,0.0772,-0.062,0.306,True
median_drain_pct_per_hr,CANDIDATE,False,0.063,0.0862,-0.067,0.236,True
mean_session_minutes,CANDIDATE,False,-0.063,0.0847,0.037,-0.032,True
design_capacity,HW_attr_excluded,False,-0.056,0.1279,0.011,-0.248,False
frac_at_full,CANDIDATE,False,-0.053,0.1465,0.124,-0.218,True
fcc_first,LEAKY,False,-0.048,0.1885,0.014,-0.214,False
n_samples,CONTROL,False,0.042,0.2515,-0.081,0.524,False
fade_pct_per_100_cycles,CONSEQUENCE,False,0.026,0.5475,0.123,-0.168,False
sleep_total_hours,CANDIDATE,False,0.016,0.6696,-0.001,-0.111,True
median_sample_gap_min,CONTROL,False,-0.015,0.6793,0.014,0.008,False
fcc_peak,LEAKY,False,0.012,0.7335,0.052,-0.217,False
device_model,HW_IDENTITY,False,,,,,False
batt_vendor,HW_IDENTITY,False,,,,,False
