feature,impurity_imp,perm_imp_auc_drop
min_rsoc,0.2102,0.0
median_drain_pct_per_hr,0.197,0.081
frac_at_full,0.1419,0.0
cycles_per_month,0.128,0.0
time_ratio_below_20pct,0.1162,0.0
cycles_per_year,0.0967,0.0
mean_session_minutes,0.0537,0.0449
median_dod_pct,0.0499,0.0
mean_pct_remaining,0.0063,-0.0012
rsoc_p05,0.0,0.0
reaches_full,0.0,0.0
frac_below_5,0.0,0.0
frac_below_10,0.0,-0.0056
rsoc_swing,0.0,-0.0003
rsoc_p95,0.0,0.0
battery_time_ratio,0.0,0.0
ac_event_ratio,0.0,0.0594
mean_dod_pct,0.0,0.0
frac_awake_high_temp,0.0,0.0
time_ratio_full_on_ac,0.0,-0.0041
median_pct_remaining,0.0,0.0
ac_time_ratio,0.0,0.0
