feature,xgb_gain,mean_abs_shap,perm_imp_auc_drop
min_rsoc,22.242,0.5481,0.1038
mean_session_minutes,18.825,0.3859,0.0283
median_drain_pct_per_hr,19.436,0.3749,0.0357
ac_event_ratio,15.274,0.3486,0.0385
time_ratio_below_20pct,13.967,0.3148,-0.0042
frac_at_full,16.143,0.3079,0.0166
median_dod_pct,16.951,0.2537,0.0151
mean_pct_remaining,13.602,0.2311,0.0065
cycles_per_month,14.136,0.2245,0.0192
cycles_per_year,17.869,0.186,-0.01
time_ratio_full_on_ac,18.214,0.1842,-0.0039
frac_below_10,16.943,0.1465,0.004
rsoc_swing,13.905,0.1281,-0.0009
mean_dod_pct,12.423,0.1182,-0.0175
ac_time_ratio,12.215,0.1146,0.0021
frac_below_5,13.473,0.1063,-0.0076
rsoc_p05,12.329,0.0763,0.002
median_pct_remaining,14.664,0.0703,0.0037
frac_awake_high_temp,13.962,0.0324,0.0008
battery_time_ratio,10.179,0.0157,0.0033
rsoc_p95,12.58,0.0021,-0.0001
reaches_full,0.0,0.0,0.0
