n_per_arm,baseline_response_rate,assumed_lift,treated_rate,estimated_power,endpoint
10,0.39,0.1,0.49,0.059,effective_step_within_72h_post_first_HIGH_OK_opportunity
10,0.39,0.15,0.54,0.085,effective_step_within_72h_post_first_HIGH_OK_opportunity
10,0.39,0.25,0.64,0.18,effective_step_within_72h_post_first_HIGH_OK_opportunity
10,0.39,0.35,0.74,0.318,effective_step_within_72h_post_first_HIGH_OK_opportunity
20,0.39,0.1,0.49,0.091,effective_step_within_72h_post_first_HIGH_OK_opportunity
20,0.39,0.15,0.54,0.138,effective_step_within_72h_post_first_HIGH_OK_opportunity
20,0.39,0.25,0.64,0.326,effective_step_within_72h_post_first_HIGH_OK_opportunity
20,0.39,0.35,0.74,0.607,effective_step_within_72h_post_first_HIGH_OK_opportunity
30,0.39,0.1,0.49,0.124,effective_step_within_72h_post_first_HIGH_OK_opportunity
30,0.39,0.15,0.54,0.207,effective_step_within_72h_post_first_HIGH_OK_opportunity
30,0.39,0.25,0.64,0.502,effective_step_within_72h_post_first_HIGH_OK_opportunity
30,0.39,0.35,0.74,0.808,effective_step_within_72h_post_first_HIGH_OK_opportunity
50,0.39,0.1,0.49,0.179,effective_step_within_72h_post_first_HIGH_OK_opportunity
50,0.39,0.15,0.54,0.353,effective_step_within_72h_post_first_HIGH_OK_opportunity
50,0.39,0.25,0.64,0.729,effective_step_within_72h_post_first_HIGH_OK_opportunity
50,0.39,0.35,0.74,0.962,effective_step_within_72h_post_first_HIGH_OK_opportunity
80,0.39,0.1,0.49,0.246,effective_step_within_72h_post_first_HIGH_OK_opportunity
80,0.39,0.15,0.54,0.46,effective_step_within_72h_post_first_HIGH_OK_opportunity
80,0.39,0.25,0.64,0.876,effective_step_within_72h_post_first_HIGH_OK_opportunity
80,0.39,0.35,0.74,0.997,effective_step_within_72h_post_first_HIGH_OK_opportunity
120,0.39,0.1,0.49,0.318,effective_step_within_72h_post_first_HIGH_OK_opportunity
120,0.39,0.15,0.54,0.639,effective_step_within_72h_post_first_HIGH_OK_opportunity
120,0.39,0.25,0.64,0.976,effective_step_within_72h_post_first_HIGH_OK_opportunity
120,0.39,0.35,0.74,1.0,effective_step_within_72h_post_first_HIGH_OK_opportunity
