batt_fru,n,min,median,mean,max
5B11M90171,5,2.0,5.0,6.2,15.0
5B11M90169,6,4.0,8.0,7.5,11.0
5B11M90160,15,3.0,10.0,16.0,56.0
5B11M90163,12,4.0,10.0,17.666666666666668,41.0
5B11M90162,20,2.0,10.0,21.35,119.0
5B11M90164,5,5.0,13.0,10.6,15.0
5B11K07737,7,3.0,13.0,46.142857142857146,140.0
5B11H56412,5,2.0,14.0,19.4,40.0
5B10W51883,5,3.0,14.0,20.8,41.0
5B11H56404,14,5.0,15.0,14.0,24.0
5B11M90167,8,4.0,17.0,20.0,39.0
5B11M90098,19,5.0,17.0,35.73684210526316,151.0
5B11M90125,5,12.0,17.0,45.6,170.0
5B11M90099,14,6.0,19.0,38.92857142857143,124.0
5B11H56397,5,7.0,19.0,85.6,216.0
5B11H56401,6,4.0,20.0,18.166666666666668,32.0
5B11M90161,13,7.0,20.0,21.615384615384617,68.0
5B11H56403,23,4.0,20.0,32.47826086956522,152.0
5B11M90097,23,2.0,20.0,32.95652173913044,247.0
5B11M90102,10,6.0,20.5,68.6,305.0
5B11M37553,23,1.0,23.0,29.73913043478261,98.0
5B11M90101,13,6.0,23.0,45.30769230769231,214.0
5B11H56385,10,4.0,25.5,33.0,113.0
L24B4PE2,6,11.0,26.0,36.833333333333336,99.0
5B11M90135,8,6.0,26.5,33.5,103.0
5B11H56402,7,15.0,31.0,46.42857142857143,117.0
5B11M37552,10,1.0,32.0,37.6,109.0
5B11H56386,14,11.0,33.0,59.785714285714285,192.0
5B11M90121,7,12.0,35.0,38.714285714285715,105.0
5B11M90100,25,3.0,38.0,56.48,320.0
5B11H56406,5,20.0,40.0,39.6,72.0
5B11M90106,5,6.0,40.0,43.2,109.0
5B11H56383,23,5.0,42.0,47.65217391304348,182.0
5B11H56384,19,5.0,50.0,77.63157894736842,229.0
5B11M90129,10,9.0,56.0,81.4,214.0
5B10W51875,6,31.0,60.0,100.83333333333333,244.0
5B11M90105,7,10.0,68.0,73.28571428571429,197.0
5B10W13975,26,6.0,75.0,182.26923076923077,910.0
5B11H56407,6,3.0,84.0,92.66666666666667,217.0
5B11M90051,8,28.0,94.0,88.125,171.0
5B10W13974,19,5.0,118.0,200.57894736842104,608.0
5B10W13973,30,3.0,120.0,148.8,586.0
5B11M90056,10,107.0,254.0,238.4,350.0
