n_per_arm,baseline_response_rate,assumed_lift,treated_rate,estimated_power
10,0.39,0.15,0.54,0.098
10,0.39,0.25,0.64,0.184
10,0.39,0.35,0.74,0.332
20,0.39,0.15,0.54,0.135
20,0.39,0.25,0.64,0.316
20,0.39,0.35,0.74,0.594
30,0.39,0.15,0.54,0.223
30,0.39,0.25,0.64,0.502
30,0.39,0.35,0.74,0.808
50,0.39,0.15,0.54,0.327
50,0.39,0.25,0.64,0.737
50,0.39,0.35,0.74,0.955
80,0.39,0.15,0.54,0.468
80,0.39,0.25,0.64,0.897
80,0.39,0.35,0.74,0.996
120,0.39,0.15,0.54,0.632
120,0.39,0.25,0.64,0.972
120,0.39,0.35,0.74,1.0
