regime,detector,mean_false_no_response,mean_missed_no_response,false_per_user_point,false_per_user_ci_lo,false_per_user_ci_hi,mean_episode_recovery,n_replicates
mcar_5pct,naive,656.433,12.383,18.7552,10.4352,26.5206,0.9917,60
mcar_5pct,binary_gap_gate,7.033,538.45,0.201,0.0821,0.3687,0.9917,60
mcar_5pct,graded,10.5,21.983,0.3,0.1556,0.4534,0.9917,60
mcar_5pct,proposed,1.65,21.983,0.0471,0.0281,0.0691,0.9917,60
mcar_10pct,naive,650.083,24.433,18.5738,11.8461,27.1286,0.9829,60
mcar_10pct,binary_gap_gate,7.617,568.4,0.2176,0.0819,0.3638,0.9829,60
mcar_10pct,graded,11.867,43.617,0.339,0.1723,0.5072,0.9829,60
mcar_10pct,proposed,3.183,43.617,0.091,0.0552,0.1281,0.9829,60
mcar_20pct,naive,634.1,59.65,18.1171,11.2266,25.6171,0.9604,60
mcar_20pct,binary_gap_gate,8.967,634.417,0.2562,0.1337,0.4196,0.9604,60
mcar_20pct,graded,14.467,103.633,0.4133,0.2418,0.5881,0.9604,60
mcar_20pct,proposed,6.217,103.633,0.1776,0.1057,0.26,0.9604,60
mcar_30pct,naive,611.85,102.217,17.4814,10.9866,24.2316,0.9302,60
mcar_30pct,binary_gap_gate,10.667,715.65,0.3048,0.167,0.5005,0.9302,60
mcar_30pct,graded,18.183,175.55,0.5195,0.3342,0.692,0.9302,60
mcar_30pct,proposed,10.3,175.55,0.2943,0.1843,0.411,0.9302,60
mcar_50pct,naive,551.233,231.3,15.7495,9.8045,23.087,0.8435,60
mcar_50pct,binary_gap_gate,11.4,911.617,0.3257,0.1861,0.4782,0.8435,60
mcar_50pct,graded,24.133,386.683,0.6895,0.4838,0.9022,0.8435,60
mcar_50pct,proposed,17.1,386.683,0.4886,0.3332,0.6631,0.8435,60
gap_3h_around_low,naive,659.833,5.1,18.8524,11.7747,26.5592,0.9963,60
gap_3h_around_low,binary_gap_gate,5.967,516.867,0.1705,0.0286,0.3133,0.9963,60
gap_3h_around_low,graded,9.067,7.55,0.259,0.119,0.4548,0.9963,60
gap_3h_around_low,proposed,0.117,7.55,0.0033,0.0,0.0086,0.9963,60
gap_6h_around_low,naive,660.683,5.1,18.8767,11.734,27.364,0.9962,60
gap_6h_around_low,binary_gap_gate,6.05,517.917,0.1729,0.059,0.3414,0.9962,60
gap_6h_around_low,graded,9.25,7.817,0.2643,0.1205,0.4343,0.9962,60
gap_6h_around_low,proposed,0.283,7.817,0.0081,0.0029,0.0133,0.9962,60
gap_12h_around_low,naive,660.5,6.9,18.8714,12.3847,26.9545,0.9952,60
