control,metric,true_value,control_mean,control_ci_lo,control_ci_hi,true_minus_control,true_over_control,true_outside_null_95ci,true_bootlo_exceeds_control_mean,directionally_supported,randomization_p,n_replicates,runtime_s
circular_step_shift,resp_prob_24h,0.24891,0.11327,0.09965,0.12707,0.13565,2.1976,True,,,0.001,1000,75.4
circular_step_shift,resp_prob_72h,0.3899,0.24782,0.22498,0.27023,0.14209,1.5734,True,True,True,0.001,1000,75.4
circular_step_shift,resp_prob_168h,0.57753,0.38219,0.35463,0.41189,0.19534,1.5111,True,,,0.001,1000,75.4
circular_step_shift,eff_step_rate_72h,0.79286,0.45559,0.40338,0.51089,0.33727,1.7403,True,,,0.001,1000,75.4
circular_step_shift,median_delay_h,15.20431,27.06569,24.03907,30.16326,-11.86138,0.5618,True,,,0.001,1000,75.4
circular_step_shift,confirmed_no_response_episodes,1402.0,1728.517,1677.0,1781.0,-326.517,0.8111,True,,,1.0,1000,75.4
circular_step_shift,fw_like_flagged_users,106.0,135.813,128.0,143.0,-29.813,0.7805,True,,,1.0,1000,75.4
circular_episode_shift,resp_prob_24h,0.24891,0.11304,0.09873,0.12855,0.13588,2.2021,True,,,0.001,1000,72.51
circular_episode_shift,resp_prob_72h,0.3899,0.24728,0.22417,0.27045,0.14262,1.5767,True,True,True,0.001,1000,72.51
circular_episode_shift,resp_prob_168h,0.57753,0.38379,0.35312,0.4154,0.19375,1.5048,True,,,0.001,1000,72.51
circular_episode_shift,eff_step_rate_72h,0.79286,0.4542,0.40228,0.51061,0.33866,1.7456,True,,,0.001,1000,72.51
circular_episode_shift,median_delay_h,15.20431,26.96637,23.82426,30.03655,-11.76207,0.5638,True,,,0.001,1000,72.51
circular_episode_shift,confirmed_no_response_episodes,1402.0,1710.513,1657.0,1764.0,-308.513,0.8196,True,,,1.0,1000,72.51
circular_episode_shift,fw_like_flagged_users,106.0,134.833,128.0,142.0,-28.833,0.7862,True,,,1.0,1000,72.51
within_user_time_randomization,resp_prob_24h,0.24891,0.11775,0.10618,0.13011,0.13116,2.114,True,,,0.001,1000,70.54
within_user_time_randomization,resp_prob_72h,0.3899,0.25719,0.24281,0.27241,0.13272,1.516,True,True,True,0.001,1000,70.54
within_user_time_randomization,resp_prob_168h,0.57753,0.39531,0.37978,0.41203,0.18222,1.461,True,,,0.001,1000,70.54
within_user_time_randomization,eff_step_rate_72h,0.79286,0.47223,0.43733,0.50957,0.32064,1.679,True,,,0.001,1000,70.54
within_user_time_randomization,median_delay_h,15.20431,26.95291,24.20353,29.83714,-11.74861,0.5641,True,,,0.001,1000,70.54
within_user_time_randomization,confirmed_no_response_episodes,1402.0,1706.984,1672.0,1740.025,-304.984,0.8213,True,,,1.0,1000,70.54
within_user_time_randomization,fw_like_flagged_users,106.0,134.778,128.0,141.025,-28.778,0.7865,True,,,1.0,1000,70.54
matched_pseudo_episode,resp_prob_24h,0.24891,0.15145,0.1394,0.16367,0.09746,1.6435,True,,,0.001,1000,76.1
matched_pseudo_episode,resp_prob_72h,0.3899,0.28936,0.27741,0.30205,0.10055,1.3475,True,True,True,0.001,1000,76.1
matched_pseudo_episode,resp_prob_168h,0.57753,0.44652,0.43586,0.45717,0.13101,1.2934,True,,,0.001,1000,76.1
matched_pseudo_episode,eff_step_rate_72h,0.79286,0.54574,0.5168,0.57447,0.24712,1.4528,True,,,0.001,1000,76.1
matched_pseudo_episode,median_delay_h,15.20431,22.90275,21.45273,24.44126,-7.69845,0.6639,True,,,0.001,1000,76.1
matched_pseudo_episode,confirmed_no_response_episodes,1402.0,1602.298,1573.0,1630.0,-200.298,0.875,True,,,1.0,1000,76.1
matched_pseudo_episode,fw_like_flagged_users,106.0,120.779,115.0,127.0,-14.779,0.8776,True,,,1.0,1000,76.1
rsoc_phase_shift,resp_prob_24h,0.24891,0.18355,0.17776,0.19096,0.06536,1.3561,True,,,0.00498,200,457.8
rsoc_phase_shift,resp_prob_72h,0.3899,0.3144,0.30696,0.32157,0.0755,1.2401,True,False,False,0.00498,200,457.8
rsoc_phase_shift,resp_prob_168h,0.57753,0.45355,0.44617,0.46161,0.12398,1.2734,True,,,0.00498,200,457.8
rsoc_phase_shift,eff_step_rate_72h,0.79286,0.67198,0.65307,0.69404,0.12088,1.1799,True,,,0.00498,200,457.8
rsoc_phase_shift,median_delay_h,15.20431,20.18835,19.57926,20.83844,-4.98405,0.7531,True,,,0.00498,200,457.8
rsoc_phase_shift,confirmed_no_response_episodes,1402.0,6761.565,6691.9,6834.125,-5359.565,0.2073,True,,,1.0,200,457.8
rsoc_phase_shift,fw_like_flagged_users,106.0,269.875,266.975,273.0,-163.875,0.3928,True,,,1.0,200,457.8
