artifact,bytes,sha256
availability_probe_v4.json,1489,24ca1523b9b3975c8a2be76973fe3b53e1c3f148292723dc3fa7c009ba7fffd8
dual_track_erased_evidence_events.parquet,33748,f764d6138b7cfa45d5096c7181bf141dd00dac36ca2d23019dc32480efa97db3
dual_track_label_transitions.csv,405,a56e69bfb7ff9987de5be7c83709064f11d31209a772144add7a67beb8e84236
dual_track_reset_ablation.csv,595,23339b4f776a1cc64f735b1642b32d8d721c104be4f4b03c8012c9b137abc3a6
dual_track_threshold_stability.csv,144,8034545ed13237330bcdfa86fae1d43b96d1652721a01c87893ebd798740f4a6
effective_threshold_bootstrap.csv,103,f3eeba8c6f54d9802aa73d02045eb4843eb5f7d82d108ea4b2d4eecff2baac82
effective_threshold_label_sensitivity.csv,1244,7c6a5dc34842c85e9a79d51be7fe68549da2ce003c90b9ee723856ce8dd11ce4
effective_threshold_model_selection.csv,333,3eaaab835b1629cc5a108b49fa903ad55e46f399e0f236268306115decf7769d
effective_threshold_persistence_reversal.csv,390,94dfd6d9c686938064e3c7b12c8cd127b7fe99a5028b9d4d2c338538299cd643
effective_threshold_recommendation.json,799,713dc188e0f3ec8a08106e3de091b9e21fb632a6f8443f4687e2f052e349cd05
input_manifest_patent_v4.csv,737,4f2c77efb445bb0aa707e0f1d964cdccac25e69fa9555818f8256f768bd24c38
minimal_state_ablation.csv,1417,7ff3e1d85940bee608fbe59a4e46710c766a5582c503627c7979d757a454affd
missingness_label_transitions.csv,768,47ed491ad4761ccd904bfa51bf4bd332ae982afa085a5f97e311aca027ed7e53
missingness_stress_replicates.parquet,23666,a086b5a8a3c2fdd0840e1ddbcd375c2482ae3b1f9733ebed4a6463b5fb25048a
missingness_stress_summary.csv,5198,497961290c8f038d70d23d901189c84aa800ccd52de6f390102e3e9502901f2c
negative_control_detector_impact.csv,371,f8e95deabda661d7af5cb38317ab5f46f2efe4b7bee8e8fc915ce634c7dcbe40
negative_control_replicates.parquet,143046,d204a8d2135b1e2400bc180b41fe73f273e546be16d81b0f01acb6bdbed22af5
negative_control_summary.csv,4185,654671cef18456cefdfff650f3e0ac2981f6250eba836836fa612a44bda591d8
negative_control_user_bootstrap.csv,413,c814ba0e8b28ebfecde2b02bbb250b1f10de6528da0b9c7695808cfb563ef4c5
patent_baseline_gate_v4.csv,774,52d6ccf7acbaded0cd8c85a3194f64e14b85071adf6312a4d9868490b826c870
patent_claim_scope_recommendations_v4.csv,1006,471d4cecc63377e83fc3f1e3297e398f3b618abb5bd1648e41295c4acd6cd5a1
patent_claim_support_matrix_v4.csv,6676,21a878a156b18e2469d6f5b93043ba3bafd52fe8ee31a6bface35d03b928c2f8
patent_evidence_strength_v4.csv,2908,33f2e3afada93138bf045b588d99d51f7e9f0d51d2576429c912d46a6f3005fe
patent_prior_art_feature_matrix_v4.csv,1418,fc737a0c2948483f70d65ae380c679da0f7ea935fb75a9671407b1aaff2fc990
patent_results_manifest_v4.csv,4596,cbbd0f6309c2dd527e535f37d7e9429ae0d1da84c60406fcc2c91a2ca3c5b137
patent_technical_effects_v4.csv,2080,a8da2fe60fedea32a3e24cb9edda5ec00326c545a63ccb36712a4a74f6aa7946
reference_event_ledger.parquet,683366,31695751ffdc9896843ccc87ea0b2ef2afefeeb8e6c4e9c23a0a8718ec03846e
response_anchor_charge_termination_status.csv,128,23f5e99201137d2e45233f400c5576e6f1852928891c0dd95dd8b55d9b4e52cd
response_anchor_comparison.csv,673,6afc7399041493ed19f2bb8a9db6983bebbeeb2e84900e8019936825ed39a0e7
response_anchor_contamination_bootstrap.csv,245,50d590a2ee669f65a73b2cdad0d47af7e8b17577b19b1f4fc2f9f96fa4cdab49
response_anchor_delay_cdf_data.csv,87413,67427e8e8edfc11b83609a76194e67f27a250c217a88acfeb203c8ee25aa7ebf
response_anchor_episode_assignments.parquet,47138,66444add9ecf18ffb8aa2fcee41f9826d5ef377d4c08cb844d827f12cd905c88
response_anchor_label_transition.csv,135,ec6975915639b13fa62dd3c84b12c3b5f482d5a55199df2cf726495ad57feffa
response_hazard_curves.parquet,81073,9bf432d56994c6c5d995ec9f74879997f6f5c5fd0d146e45371c14bc8ec18562
response_hazard_summary.csv,1323,feccdbb756f39352c8ce7a96f0d4449f54604e518f4d86ca9a38b01577945774
retention_invariance_grid.parquet,25257,51eab662e822370b2f4f459fb590a583061c5b29d8e835b92da396c87c6246d9
retention_invariance_summary.csv,6561,e05fce9b17fbf78ca4dd4b746f6ea99ea23bfb4aff9b47525f7a1b14c39c66ed
retention_stateful_verification.csv,208,7a802e92987297056c8675b9a0f18b4d435f6577cf37424c4837124a2924b693
storage_compute_tradeoff.csv,307,3af5d80c4110a16615f4c98948827618efcd8b6c78cfbf5a4747284db63dbea7
reports/fcc_patent_evidence_v4_report.md,13429,03386f88ef86bac7da40aee2d5c4e2ec595ba984ba27020a30eedabe1d4ed0d4
reports/fcc_invention_disclosure_v4.md,2789,faa75819c575fb1a20c102b6c1babb8e654bc55ebf8a1571602cff84d92a9f31
reports/fcc_patent_counsel_brief_v4.md,4229,7f6cc64a37a00eff2c2f1ea8d9f52d1dd8f762a92995e1bb8f8581157f7b12e2
reports/fcc_patent_v4_adversarial_review.md,39602,6953a7c3e79e4e3445838edc3f5ca03d4df962971e55b4535b38442521174fca
