group,key,n_episodes,median_response_h,cif_24h,cif_24h_lo,cif_24h_hi,cif_72h,cif_72h_lo,cif_72h_hi,cif_168h,cif_168h_lo,cif_168h_hi
threshold,any_change,2319,6.19,0.5301,0.4406,0.6158,0.6247,0.523,0.7284,0.6948,0.5947,0.7913
threshold,20mWh,2319,20.22,0.3913,0.3194,0.4691,0.526,0.4338,0.614,0.6643,0.5741,0.7619
threshold,30mWh,2319,32.09,0.3099,0.2432,0.3838,0.4359,0.3498,0.5184,0.6029,0.5078,0.6947
threshold,40mWh,2319,43.57,0.2753,0.2256,0.3423,0.4152,0.3428,0.4977,0.5922,0.5058,0.6794
threshold,50mWh,2319,49.08,0.2481,0.2026,0.3001,0.3901,0.3216,0.4645,0.5806,0.4966,0.6671
threshold,75mWh,2319,60.33,0.2191,0.1792,0.267,0.3655,0.3056,0.4369,0.5669,0.484,0.6593
threshold,100mWh,2319,65.43,0.2105,0.1722,0.2475,0.3582,0.2946,0.4128,0.5626,0.4712,0.6415
threshold,adaptive_hybrid,2319,55.1,0.2282,,,0.3707,,,0.562,,
band,primary_80_20_80,2319,49.08,0.2481,,,0.3901,,,0.5806,,
band,secondary_85_15_85,1249,49.37,0.2588,,,0.3947,,,0.6041,,
band,strict_90_10_90,829,48.03,0.2787,,,0.3985,,,0.6222,,
quality_tier,HIGH_OK,2319,49.08,0.2481,,,0.3901,,,0.5806,,
quality_tier,MEDIUM_GAP,2731,43.07,0.266,,,0.3959,,,0.5593,,
quality_tier,LOW_LARGE_GAP,6292,24.19,0.2957,,,0.4047,,,0.5117,,
true_vs_pseudo,true,2319,49.08,0.2481,,,0.3901,,,0.5806,,
true_vs_pseudo,pseudo,2319,64.36,0.149,,,0.2862,,,0.4139,,
