detector,retention_days,response_window_h,gap_config,recall,duplicate_rate,response_agreement,no_response_mae,storage_ratio
stateful,7,24,graded,1.0,0.0,1.0,0.0,0.0417
stateful,7,24,ok_only,1.0,0.0,1.0,0.0,0.0417
stateful,7,72,graded,1.0,0.0,1.0,0.0,0.0417
stateful,7,72,ok_only,1.0,0.0,1.0,0.0,0.0417
stateful,7,168,graded,1.0,0.0,1.0,0.0,0.0417
stateful,7,168,ok_only,1.0,0.0,1.0,0.0,0.0417
stateful,14,24,graded,1.0,0.0,1.0,0.0,0.08219999999999998
stateful,14,24,ok_only,1.0,0.0,1.0,0.0,0.08219999999999998
stateful,14,72,graded,1.0,0.0,1.0,0.0,0.08219999999999998
stateful,14,72,ok_only,1.0,0.0,1.0,0.0,0.08219999999999998
stateful,14,168,graded,1.0,0.0,1.0,0.0,0.08219999999999998
stateful,14,168,ok_only,1.0,0.0,1.0,0.0,0.08219999999999998
stateful,21,24,graded,1.0,0.0,1.0,0.0,0.1227
stateful,21,24,ok_only,1.0,0.0,1.0,0.0,0.1227
stateful,21,72,graded,1.0,0.0,1.0,0.0,0.1227
stateful,21,72,ok_only,1.0,0.0,1.0,0.0,0.1227
stateful,21,168,graded,1.0,0.0,1.0,0.0,0.1227
stateful,21,168,ok_only,1.0,0.0,1.0,0.0,0.1227
stateful,30,24,graded,1.0,0.0,1.0,0.0,0.1747
stateful,30,24,ok_only,1.0,0.0,1.0,0.0,0.1747
stateful,30,72,graded,1.0,0.0,1.0,0.0,0.1747
stateful,30,72,ok_only,1.0,0.0,1.0,0.0,0.1747
stateful,30,168,graded,1.0,0.0,1.0,0.0,0.1747
stateful,30,168,ok_only,1.0,0.0,1.0,0.0,0.1747
stateful,45,24,graded,1.0,0.0,1.0,0.0,0.2614
stateful,45,24,ok_only,1.0,0.0,1.0,0.0,0.2614
stateful,45,72,graded,1.0,0.0,1.0,0.0,0.2614
stateful,45,72,ok_only,1.0,0.0,1.0,0.0,0.2614
stateful,45,168,graded,1.0,0.0,1.0,0.0,0.2614
stateful,45,168,ok_only,1.0,0.0,1.0,0.0,0.2614
stateful,60,24,graded,1.0,0.0,1.0,0.0,0.3482
stateful,60,24,ok_only,1.0,0.0,1.0,0.0,0.3482
stateful,60,72,graded,1.0,0.0,1.0,0.0,0.3482
stateful,60,72,ok_only,1.0,0.0,1.0,0.0,0.3482
stateful,60,168,graded,1.0,0.0,1.0,0.0,0.3482
stateful,60,168,ok_only,1.0,0.0,1.0,0.0,0.3482
stateful,90,24,graded,1.0,0.0,1.0,0.0,0.5217
stateful,90,24,ok_only,1.0,0.0,1.0,0.0,0.5217
stateful,90,72,graded,1.0,0.0,1.0,0.0,0.5217
stateful,90,72,ok_only,1.0,0.0,1.0,0.0,0.5217
stateful,90,168,graded,1.0,0.0,1.0,0.0,0.5217
stateful,90,168,ok_only,1.0,0.0,1.0,0.0,0.5217
stateless,7,24,graded,0.7713428571428571,2.003157142857143,0.6922357142857143,1.13015,0.0405
stateless,7,24,ok_only,0.8578642857142856,2.2576071428571427,0.7808499999999999,0.5085214285714286,0.0405
stateless,7,72,graded,0.7713428571428571,2.003157142857143,0.5190357142857143,1.7702642857142856,0.0405
stateless,7,72,ok_only,0.8578642857142856,2.2576071428571427,0.6208285714285714,0.8863000000000001,0.0405
stateless,7,168,graded,0.7713428571428571,2.003157142857143,0.0009857142857142857,3.8972,0.0405
stateless,7,168,ok_only,0.8578642857142856,2.2576071428571427,0.0010999999999999998,2.4252,0.0405
stateless,14,24,graded,0.948857142857143,5.530992857142857,0.939492857142857,0.23721428571428574,0.081
stateless,14,24,ok_only,0.9786428571428571,5.949092857142857,0.9720785714285715,0.051242857142857146,0.081
stateless,14,72,graded,0.948857142857143,5.530992857142857,0.9159071428571428,0.3079071428571428,0.081
stateless,14,72,ok_only,0.9786428571428571,5.949092857142857,0.96025,0.07455714285714286,0.081
stateless,14,168,graded,0.948857142857143,5.530992857142857,0.7569071428571429,0.8608071428571428,0.081
stateless,14,168,ok_only,0.9786428571428571,5.949092857142857,0.8424357142857143,0.3413285714285714,0.081
stateless,21,24,graded,0.9718714285714285,9.226964285714285,0.9670642857142857,0.12633571428571427,0.1214
stateless,21,24,ok_only,0.9878428571428571,9.72867857142857,0.9844357142857143,0.016757142857142856,0.1214
stateless,21,72,graded,0.9718714285714285,9.226964285714285,0.9585142857142858,0.14910714285714285,0.1214
stateless,21,72,ok_only,0.9878428571428571,9.72867857142857,0.9790928571428571,0.023314285714285714,0.1214
stateless,21,168,graded,0.9718714285714285,9.226964285714285,0.9312214285714286,0.23689285714285716,0.1214
stateless,21,168,ok_only,0.9878428571428571,9.72867857142857,0.9612928571428572,0.05585714285714286,0.1214
stateless,30,24,graded,0.9830214285714286,13.8909,0.9792571428571428,0.07292142857142857,0.1735
stateless,30,24,ok_only,0.9907642857142857,14.463542857142857,0.9874642857142858,0.009471428571428572,0.1735
stateless,30,72,graded,0.9830214285714286,13.8909,0.9732928571428571,0.08318571428571428,0.1735
stateless,30,72,ok_only,0.9907642857142857,14.463542857142857,0.9834714285714286,0.011657142857142857,0.1735
stateless,30,168,graded,0.9830214285714286,13.8909,0.9567642857142857,0.1221,0.1735
stateless,30,168,ok_only,0.9907642857142857,14.463542857142857,0.9713642857142857,0.025500000000000002,0.1735
stateless,45,24,graded,0.9882071428571428,21.497107142857143,0.9851785714285715,0.03779285714285714,0.2602
stateless,45,24,ok_only,0.9924499999999999,22.108742857142857,0.9894714285714284,0.005342857142857142,0.2602
stateless,45,72,graded,0.9882071428571428,21.497107142857143,0.9803785714285714,0.045,0.2602
stateless,45,72,ok_only,0.9924499999999999,22.108742857142857,0.9857428571428571,0.007042857142857142,0.2602
stateless,45,168,graded,0.9882071428571428,21.497107142857143,0.9679785714285715,0.07271428571428572,0.2602
stateless,45,168,ok_only,0.9924499999999999,22.108742857142857,0.9747142857142856,0.018214285714285714,0.2602
stateless,60,24,graded,0.9896785714285714,28.870021428571427,0.9868214285714286,0.03047142857142857,0.347
stateless,60,24,ok_only,0.9924499999999999,29.52347142857143,0.9894714285714284,0.005342857142857142,0.347
stateless,60,72,graded,0.9896785714285714,28.870021428571427,0.9823214285714286,0.035635714285714284,0.347
stateless,60,72,ok_only,0.9924499999999999,29.52347142857143,0.9857714285714286,0.007042857142857142,0.347
stateless,60,168,graded,0.9896785714285714,28.870021428571427,0.9705071428571428,0.05857142857142857,0.347
stateless,60,168,ok_only,0.9924499999999999,29.52347142857143,0.9750071428571429,0.017485714285714285,0.347
stateless,90,24,graded,0.9915,42.86472857142858,0.9887142857142858,0.014328571428571428,0.5205
stateless,90,24,ok_only,0.9924499999999999,43.718242857142855,0.9894714285714284,0.005342857142857142,0.5205
stateless,90,72,graded,0.9915,42.86472857142858,0.9844071428571429,0.01782142857142857,0.5205
stateless,90,72,ok_only,0.9924499999999999,43.718242857142855,0.9857714285714286,0.007042857142857142,0.5205
stateless,90,168,graded,0.9915,42.86472857142858,0.9726928571428571,0.04094285714285715,0.5205
stateless,90,168,ok_only,0.9924499999999999,43.718242857142855,0.9750071428571429,0.017485714285714285,0.5205
